question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Yes, the context suggests that histone lysine methylation has a significant role in medulloblastoma. Specifically, genetic events in genes targeting H3K27 and H3K9 methylation are frequently observed","Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in, Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro, Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro, Context: in medulloblastoma cell lines was associated with their epigenetic  transcriptional silencing and methylation-dependent re-expression following  treatment with the DNA methyltransferase inhibitor, 5-aza-2'-deoxycytidine. The","23179372, 19270706, 19270706, 19270706, 14688019","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which human gene encode for DNA polymerase θ?,"Yes, the POLQ gene encodes for DNA polymerase θ in mammalian genomes. This is explicitly stated in the context provided.","Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated, Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated, Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated, Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated, Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated","28668117, 28668117, 28668117, 28668117, 28668117",DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by the POLQ gene in mammalian genomes,"27264557, 28668117"
Which lncRNAS are regulated by SAM68?,"Yes, Hotair, Mir155hg, SR-lncRNA-1, and SR-lncRNA-2 are lncRNAs that are regulated by Sam68. This information is provided in","Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the","29137239, 29137239, 29137239, 29137239, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
What is ectopia lentis?,"Yes, ectopia lentis is a condition where the lens of the eye becomes displaced due to the disruption of the zonular fibers. This can lead to a significant loss in visual acuity and can be associated with","Context: Ectopia lentis (EL) is a zonular disease where alteration of the zonular fibers  leads progressively to lens dislocation. It is most often associated with  systemic diseases such as Marfan syndrome, Weill-Marchesani syndrome or, Context: Ectopia lentis is a genetically heterogeneous condition that is characterized by  the subluxation of the lens resulting from the disruption of the zonular fibers.  Patients with ectopia lentis commonly present with a marked loss in visual, Context: Ectopia lentis is a genetically heterogeneous condition that is characterized by  the subluxation of the lens resulting from the disruption of the zonular fibers.  Patients with ectopia lentis commonly present with a marked loss in visual, Context: Ectopia lentis is a genetically heterogeneous condition that is characterized by  the subluxation of the lens resulting from the disruption of the zonular fibers.  Patients with ectopia lentis commonly present with a marked loss in visual, Context: Ectopia lentis (EL) is a condition that can either herald underlying systemic  conditions, or be isolated. The recent expansion in the genetics of these  conditions has furthered the understanding of the underlying molecular","20141359, 19200529, 19200529, 19200529, 24406422",Ectopia Lentis is dislocation of the optic lens in the eye.,"25939784, 19200529, 25797933"
Describe RIblast,"Yes, RIblast is a program that achieves a level of prediction accuracy similar to existing programs for predicting RNA secondary structures. It differs from these programs in its speed, which is over 64 times faster than existing programs","Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: method based on the seed-and-extension approach. RIblast discovers seed regions  using suffix arrays and subsequently extends seed regions based on an RNA  secondary structure energy model. Computational experiments indicate that","28459942, 28459942, 28459942, 28459942, 28459942","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Are piRNAs involved in gene silencing?,"Yes, according to the context, piRNAs are indeed involved in gene silencing. They silence foreign genes like transposons to maintain genome integrity and also target endogenous mRNAs. However, the mechanisms by which they","Context: piRNAs silence foreign genes, such as transposons, to preserve genome integrity,  but they also target endogenous mRNAs by mechanisms that are poorly understood.  Caenorhabditis elegans piRNAs interact with both transposon and nontransposon, Context: to the next generation. Small noncoding piwi-interacting RNAs (piRNAs) recognize  and silence a diverse set of TEs in germ cells. In mice, piRNA-guided transposon  repression correlates with establishment of CpG DNA methylation on their, Context: Although Piwi proteins and Piwi-interacting RNAs (piRNAs) genetically repress  transposable elements (TEs), it is unclear how the highly diverse piRNA  populations direct Piwi proteins to silence TE targets without silencing the, Context: To examine whether the piRNA pathway can be used to silence genes of interest in  germ cells, we have generated knock-in mice in which a foreign DNA fragment was  inserted into a region generating pachytene piRNAs. The knock-in sequence was, Context: gene regulation. Reporter constructs containing several target sites that were  robustly silenced by miRNAs were not silenced to the same degrees by piRNAs.  However, another set of reporters we designed to enable a large number of both","26279487, 24939875, 25336588, 23132912, 25336588",Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.,"24178563, 20439430, 25336588, 21775629, 23625890, 21764773, 25842866, 18809914, 20559422, 26279487, 23465540, 20080197, 26302790, 26472911, 23124062, 23392610, 24939875, 23132912, 25313140, 24288375, 17872506"
Give an overview of visualizing genomes with oligopaint FISH probes.,"Yes, Oligopaint FISH (Fluorescence In Situ Hybridization) probes are used to visualize specific genomic regions. These probes are single-stranded DNA oligonucleotides that are","Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint","24510436, 24510436, 24510436, 24510436, 24510436","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
What is the minimal genome build?,"No, the context does not provide information about a minimal genome build. The text mentions the concept of a minimal genome and its context-dependency in synthetic biology but does not specify what a minimal genome build would be.","Context: minimal genome and the potential applications are introduced, Context: minimal genome and the potential applications are introduced, Context: minimal genome and the potential applications are introduced, Context: A central undertaking in synthetic biology (SB) is the quest for the 'minimal  genome'. However, 'minimal sets' of essential genes are strongly  context-dependent and, in all prokaryotic genomes sequenced to date, not a, Context: A central undertaking in synthetic biology (SB) is the quest for the 'minimal  genome'. However, 'minimal sets' of essential genes are strongly  context-dependent and, in all prokaryotic genomes sequenced to date, not a","22916492, 22916492, 22916492, 23219343, 23219343","The identification of the essential genes of bacteria and the minimal genome for the free-living cellular life could provide insights into the origin, evolution, and essence of life forms. The field of Synthetic Biology seeks to apply engineering principles to biology in order to produce novel biological systems. One approach to accomplish this goal is the genome-driven cell engineering approach, which searches for functioning minimal genomes in naturally occurring microorganisms, which can then be used as a template for future systems. Currently a prototypical minimal genome has not been discovered.","21987714, 23420643, 23873957, 26539175, 22916492, 23219343, 21203957"
Which histone marks are deposited by Set7?,"Yes, SET7 deposits monomethylated H3K4 (lysine 4 of histone H3) mark. This is mentioned in the context as ""SET7 specifically monomethylates Lys-14","Context: The SET domain contains the catalytic center of lysine methyltransferases that  target the N-terminal tails of histones and regulate chromatin function. Here we  report the structure of the SET7/9 protein in the absence and presence of its, Context: The SET domain contains the catalytic center of lysine methyltransferases that  target the N-terminal tails of histones and regulate chromatin function. Here we  report the structure of the SET7/9 protein in the absence and presence of its, Context: The SET domain contains the catalytic center of lysine methyltransferases that  target the N-terminal tails of histones and regulate chromatin function. Here we  report the structure of the SET7/9 protein in the absence and presence of its, Context: SET7, a known histone methyltransferase, is involved in the regulation of  protein stability of DNMT1. SET7 colocalizes and directly interacts with DNMT1  and specifically monomethylates Lys-142 of DNMT1. Methylated DNMT1 peaks during, Context: SET7, a known histone methyltransferase, is involved in the regulation of  protein stability of DNMT1. SET7 colocalizes and directly interacts with DNMT1  and specifically monomethylates Lys-142 of DNMT1. Methylated DNMT1 peaks during","12389038, 12389038, 12389038, 19282482, 19282482",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?,"No, the context does not provide information on the most common monogenic cause of CVID in Europeans. The context only mentions that CVID is a heterogeneous group of diseases and that there are sub-groups of CVID patients with","Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: prevalent neurodegenerative disorder after Alzheimer disease. Although the  majority of PD cases are sporadic, 5-10% of PD is monogenic form of PD as  familial PD (FPD). Multifactorial genetic-environmental interaction has been, Context: disorders were associated with CV events and mortality. STUDY DESIGN: Prospective multicenter cohort study. SETTING & PARTICIPANTS: Thyroid status and clinical outcomes were explored in  1,000 diabetic hemodialysis patients from 178 centers in Germany, Context: We are now in an aging population, so neurological disorders, particularly the  neurodegenerative diseases, are becoming more prevalent in society. As per the  epidemiological studies, Europe alone suffers 35% of the burden, indicating an, Context: Cystic fibrosis is the most common, severe, inherited disease in the Caucasian  population. As a consequence, the demand for genetic counselling of patients  with cystic fibrosis and their families is large. In Denmark the incidence of","28054583, 17713120, 24315768, 22848160, 1392366",Loss-of-function nuclear factor κB subunit 1 (NFKB1) variants are the most common monogenic cause of common variable immunodeficiency in Europeans.,"29477724, 30063981"
