question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,Defective control of the histone code contributes to medulloblastoma.,"Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the, Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro, Context: concordant methylation phenotype in this disease. We conclude that epigenetic  TSG inactivation is a significant feature of medulloblastoma, and identify  RASSF1A, HIC1 and CASP8 as potentially critical genes in its pathogenesis","19270706, 23179372, 19270706, 14688019","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which lncRNAS are regulated by SAM68?,"Hotair, Mir155hg, SR-lncRNA-1, and SR-lncRNA-2. These lncRNAs contain consensus Sam68 binding sites and their regulation was affected in Sam68-deficient cells.","Context: depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation, Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As, Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As","29137239, 29137239, 29137239, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
Describe RIblast,"RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs. The source code of RIblast is freely available.","Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: essential for hypoxic survival in M. tuberculosis, but it is not known how the  regulon promotes survival. Here we report that mycobacteria, in contrast to  enteric bacteria, do not form higher-order structures (e.g. ribosomal dimers), Context: at https://github.com/fukunagatsu/RIblast . CONTACT: t.fukunaga@kurenai.waseda.jp or mhamada@waseda.jp. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online, Context: autosomal-recessive encephalopathy in children that is characterized by  mutations in numerous nucleic acid repair enzymes and elevated IFN levels.  Phenotypically, patients with AGS and SLE share many similarities. Ribonuclease","28459942, 22544737, 28459942, 25500879","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Give an overview of visualizing genomes with oligopaint FISH probes.,"Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases using Fluorescence In Situ Hybridization","Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: probes can be synthesized using basic molecular biological techniques, and  provides protocols for FISH, 3D-FISH, and sample preparation, Context: consecutive genomic regions (BACs) have been simultaneously labeled by  multicolor FISH. We have acquired two sets of four consecutive genomic regions  with an overlap of three regions. From the experimental results, it turned out","24510436, 24510436, 24510436, 18789978","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
Which histone marks are deposited by Set7?,H4 Lys 20 methylation.,"Context: We describe distinct patterns of histone methylation during human cell cycle  progression. Histone H4 methyltransferase activity was found to be cell  cycle-regulated, consistent with increased H4 Lys 20 methylation at mitosis, Context: (H3K4me2 and H3K4me3) and acylation of H3K9 and H3K27 (H3K9ac and H3K27ac) in  Oryza sativa L. japonica. By analyzing published DNase-Seq data, this study  explored DNase-Hypersensitive (DH) sites along the rice genome. The histone, Context: transient H4 Lys 16 acetylation in early S-phase. These data suggest that H4 Lys  20 methylation by PR-Set7 during mitosis acts to antagonize H4 Lys 16  acetylation and to establish a mechanism by which this mark is epigenetically  transmitted, Context: mark exist in vivo. Importantly, we show that this lysine residue is highly  conserved through evolution, and provide evidence that this methylation event  also occurs in higher eukaryotes. By identifying a novel site of histone","12208845, 23355544, 12208845, 21249157",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What are the targets of pemigatinib?,"FGFR1, FGFR2, and FGFR3.","Context: for the treatment of myeloid/lymphoid neoplasms with eosinophilia and  rearrangement of PDGFRA, PDGFRB or FGFR1, or with PCM1-JAK2 in August 2019 in  the USA. A regulatory assessment for pemigatinib as a treatment for adults with, Context: various countries worldwide for use in several other FGFR-driven malignancies  (e.g. solid tumour, urothelial carcinoma). This article summarizes the  milestones in the development of pemigatinib leading to this first approval for, Context: Pemigatinib (PEMAZYRE™), a small molecule inhibitor of fibroblast growth factor  receptor (FGFR) 1, FGFR2 and FGFR3, received accelerated approval in April 2020  in the USA for the treatment of adults with previously treated, unresectable,, Context: frequently because of disease progression (61 [42%]); no deaths were deemed to  be treatment related. INTERPRETATION: These data support the therapeutic potential of pemigatinib in","32472305, 32472305, 32472305, 32203698","Pemigatinib is a small molecule inhibitor of fibroblast growth factor receptor (FGFR) 1, FGFR2 and FGFR3, received accelerated approval  for the treatment of adults with previously treated, unresectable, locally advanced or metastatic cholangiocarcinoma and a FGFR2 fusion or other rearrangement, as detected by a US FDA-approved test.","32677452, 32472305, 32203698, 32315352, 32684989"
How do HBS1L-MYB intergenic variants regulate fetal hemoglobin?,"These variants increase the expression of MYB, which in turn suppresses the expression of BCL11A. This suppression leads to increased production of fetal hemoglobin (HbF).","Context: (HbF) levels and alterations of other clinically important human erythroid  traits. It is unclear how these noncoding sequence variants affect multiple  erythrocyte characteristics. Here, we determined that several HBS1L-MYB, Context: Genetic studies have identified common variants within the intergenic region  (HBS1L-MYB) between GTP-binding elongation factor HBS1L and myeloblastosis  oncogene MYB on chromosome 6q that are associated with elevated fetal hemoglobin, Context: Genetic studies have identified common variants within the intergenic region  (HBS1L-MYB) between GTP-binding elongation factor HBS1L and myeloblastosis  oncogene MYB on chromosome 6q that are associated with elevated fetal hemoglobin, Context: the control of globin gene expression and Hb switching","24614105, 24614105, 24614105, 18379999","HBS1L-MYB intergenic variants modulate fetal hemoglobin via long-range MYB enhancers. Several HBS1L-MYB intergenic variants affect regulatory elements that are occupied by key erythroid transcription factors within this region. These elements interact with MYB, a critical regulator of erythroid development and HbF levels. Several HBS1L-MYB intergenic variants reduce transcription factor binding, affecting long-range interactions with MYB and MYB expression levels.",24614105
Is avelumab effective for bladder cancer?,Yes. A manageable safety profile was reported in all avelumab-treated patients with platinum-refractory metastatic urothelial carcinoma.,"Context: This selection from the NCCN Clinical Practice Guidelines in Oncology (NCCN  Guidelines) for Bladder Cancer focuses on systemic therapy for muscle-invasive  urothelial bladder cancer, as substantial revisions were made in the 2017, Context: in bladder cancer therapeutics have rejuvenated the field. Nivolumab,  pembrolizumab, atezolizumab, durvalumab, and avelumab are among the exciting  recent novel therapeutic advances gaining approvals by the FDA for treatment of, Context: including non-muscle-invasive urothelial bladder cancer and nonurothelial  histologies, as well as staging, evaluation, and follow-up, Context: with platinum-refractory metastatic urothelial carcinoma; a manageable safety  profile was reported in all avelumab-treated patients. These data provide the  rationale for therapeutic use of avelumab in metastatic urothelial carcinoma and","28982750, 29784744, 28982750, 29217288","Yes, avelumab is effective treatment of bladder cancer.","29103968, 29606979, 29784744, 29644490, 28864844, 28493171, 29540084, 29069302, 28214651, 29416316, 28982750"
HER-2 belongs to what family of proteins?,The EGFR family.   This is because the context mentions that HER-2/neu is a transmembrane protein belonging to the EGFR family.,"Context: HER-2/neu, also known as c-erbB-2/neu, is an oncogene located in chromosome 17  which encodes HER-2/neu, a transmembrane protein belonging to the EGFR family.  The external domain of this protein is released by the cell and can be studied, Context: Metastatic breast cancer is an incurable disease in a very high percentage of  patients. Despite new progress in endocrine and other systemic therapies, this  evidence remains challenging for patients and clinicians. HER2 protein is a, Context: in serum by immunoassay. HER-2/neu in serum is a specific tumor marker and only  slight elevations may be found in the absence of malignancy, mainly in  association with liver diseases. Likewise, the highest concentrations of this, Context: The locus control region of the beta-globin cluster contains five DNase I  hypersensitive sites (5'HS1-5) required for locus activation. 5'HS3 contains six  G-rich motifs that are essential for its activity. Members of a protein family,","22505536, 16800251, 22505536, 9744863",Her-2 belongs to the family of the human epidermal growth factor receptors (EGFRs).,"16707458, 26545934, 15173008, 27993109, 30312728, 15920544, 21896992, 33202212, 11785652, 17536308, 15782071, 11694782, 22505536, 17867585, 12767812, 25620423, 27426127, 30384340, 10480346, 11180765, 19048033, 7612897, 21805036, 19279475, 29389942, 16800251, 18505086"
Which company developed eptinezumab?,Lundbeck Seattle BioPharmaceuticals.,"Context: Eptinezumab-jjmr (referred to as eptinezumab hereafter; Vyepti™) is a humanised  monoclonal antibody that binds to calcitonin gene-related peptide (CGRP) and  blocks its binding to the receptor. CGRP is believed to play a major role in the, Context: TNF blockers have been available to treat various inflammatory disorders since  more than a decade. T cells and macrophages mainly express TNF and activate many  cells through two types of receptors. Pharmaceutical companies developed two, Context: pathophysiology of migraine. Eptinezumab, delivered by intravenous (IV)  administration, is being developed by Lundbeck Seattle BioPharmaceuticals for  the prevention of migraine. In February 2020, eptinezumab was approved in the, Context: efficacy in IBD. However, treatment was associated with the occurrence of  progressive multifocal leukoencephalopathy, which has limited its use,  especially in Europe. Vedolizumab (MNL-0002), Millennium Pharmaceutical's","32266704, 24611432, 32266704, 21157649",Eptinezumab was developed by Lundbeck Seattle BioPharmaceuticals.,32266704
