question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Yes, histone lysine methylation has significant implications in medulloblastoma. Recent studies suggest that genetic events targeting this modification, particularly at H3K9 and H3K27, contribute to the pathogenesis","Context:  Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels were shown to be higher in Group 3 and 4 tumors compared to WNT and SHH  medulloblastomas, also in tumors without detectable mutations in demethylases.  Here, we report that polycomb genes, required for H3K27 methylation, are consistently upregulated in Group 3 and 4 tumors. These tumors show high  expression of the homeobox transcription factor OTX2. Silencing of OTX2 in D425  medulloblastoma cells resulted in downregulation of polycomb genes such as EZH2,, Context: genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in  determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro.  Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the pathogenesis of medulloblastoma.","23179372, 19270706","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which human gene encode for DNA polymerase θ?,"Yes, the POLQ gene encodes for DNA polymerase θ in humans. This is explicitly stated in the context, as it mentions that pol θ is encoded by the POLQ gene in mammalian cells.","Context:  DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional insertion elements relative to prokaryotic homologs. The N-terminal third is a  helicase-like domain with DNA-dependent ATPase activity. Pol θ is important in  the repair of genomic double-strand breaks (DSBs) from many sources. These include breaks formed by ionizing radiation and topoisomerase inhibitors, breaks  arising at stalled DNA replication forks, breaks introduced during  diversification steps of the mammalian immune system, and DSB induced by, Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional  insertion elements relative to prokaryotic homologs. The N-terminal third is a  helicase-like domain with DNA-dependent ATPase activity. Pol θ is important in  the repair of genomic double-strand breaks (DSBs) from many sources. These include breaks formed by ionizing radiation and topoisomerase inhibitors, breaks  arising at stalled DNA replication forks, breaks introduced during  diversification steps of the mammalian immune system, and DSB induced by CRISPR-Cas9. Pol θ participates in a route of DSB repair termed ""alternative  end-joining"" (altEJ). AltEJ is independent of the DNA binding Ku protein complex  and requires DNA end resection. Pol θ is able to mediate joining of two resected","27264557, 27264557",DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by the POLQ gene in mammalian genomes,"27264557, 28668117"
Which lncRNAS are regulated by SAM68?,"Yes, Hotair, Mir155hg, SR-lncRNA-1, and SR-lncRNA-2 are regulated by Sam68. This is evident as these lncRNAs contain consensus","Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As  expected, downregulated genes were significantly associated with GO terms linked  to cell migration, motility, and fat cell differentiation, while upregulated  genes were mostly associated with GO terms linked to neurogenesis. Of the  lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the half-life of Hotair, and increased the half-lives of Mir155hg and SR-lncRNA-2,  while the stability of SR-lncRNA-1 was unaffected. Depletion of Hotair and  SR-lncRNA-1 in wild type 3T3-L1 cells led to defects in adipogenesis, whereas depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation., Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the  half-life of Hotair, and increased the half-lives of Mir155hg and SR-lncRNA-2,  while the stability of SR-lncRNA-1 was unaffected. Depletion of Hotair and  SR-lncRNA-1 in wild type 3T3-L1 cells led to defects in adipogenesis, whereas  depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation.","29137239, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
What is ectopia lentis?,"Ectopia lentis is a condition characterized by displacement or malposition of the eye's lens. This condition can be an isolated issue or associated with systemic conditions. The context describes a specific genetic aspect, mentioning that mut","Context:  Ectopia lentis (EL) is a condition that can either herald underlying systemic  conditions, or be isolated. The recent expansion in the genetics of these  conditions has furthered the understanding of the underlying molecular aetiology. It is becoming apparent that novel genes, and in particular the  ADAMTS (a disintegrin and metalloproteinase with thrombospondin motifs) family,  are important in ocular development. The common link in these genes seems to be EL. The clinical management of EL is challenging. In particular, the options for  addressing surgically induced aphakia in the context of an ectopic capsule are  varied. Little evidence exists to direct management of these issues. This review, Context: of the family. CONCLUSIONS: We report a recurrent R240C mutation in FBN1 in an autosomal  dominant ectopia lentis family. This mutation has previously been reported in a  family with isolated ectopia lentis, in another family with ectopia lentis and  involvement of the skeleton and integument, and in one person with classic  Marfan syndrome. This is the largest family with isolated ectopia lentis  reported to date. The results of the present study provide convincing evidence  for a correlation of R240C and isolated ectopia lentis. In addition, this is the  first report of molecular characterization in an ectopia lentis family of Indian  origin.","24406422, 18079676",Ectopia Lentis is dislocation of the optic lens in the eye.,"25939784, 19200529, 25797933"
Describe RIblast,"Yes, RIblast is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. It discovers seed regions using suffix arrays and extends them based on an RNA secondary structure energy model. This","Context: It is thought that during latent infection, Mycobacterium tuberculosis bacilli  are retained within granulomas in a low-oxygen environment. The dormancy  survival (Dos) regulon, regulated by the response regulator DosR, appears to be  essential for hypoxic survival in M. tuberculosis, but it is not known how the  regulon promotes survival. Here we report that mycobacteria, in contrast to  enteric bacteria, do not form higher-order structures (e.g. ribosomal dimers) upon entry into stasis. Instead, ribosomes are stabilized in the associated form  (70S). Using a strategy incorporating microfluidic, proteomic, and ribosomal  profiling techniques to elucidate the fate of mycobacterial ribosomes during hypoxic stasis, we show that the dormancy regulator DosR is required for optimal  ribosome stabilization. We present evidence that the majority of this effect is  mediated by the DosR-regulated protein MSMEG_3935 (a S30AE domain protein),, Context: indispensable technique. However, the high computational costs of existing  RNA-RNA interaction prediction tools prevent their application to large-scale  lncRNA datasets. RESULTS: Here, we present 'RIblast', an ultrafast RNA-RNA interaction prediction  method based on the seed-and-extension approach. RIblast discovers seed regions  using suffix arrays and subsequently extends seed regions based on an RNA  secondary structure energy model. Computational experiments indicate that  RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available at https://github.com/fukunagatsu/RIblast . CONTACT: t.fukunaga@kurenai.waseda.jp or mhamada@waseda.jp. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online.","22544737, 28459942","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Are piRNAs involved in gene silencing?,"Yes, piRNAs are involved in gene silencing. This is demonstrated by the fact that in a repressive background, functional I elements (which are transcribed) still have some of their sense transcripts kept in nurse cell nuclear","Context: PIWI-interacting RNAs (piRNAs) are endogenous small noncoding RNAs that act as  guardians of the genome, protecting it from invasive transposable elements in  the germline. Animals lacking piRNA functions show defects in gametogenesis and  exhibit sterility. Their descendants are also predisposed to inheriting  mutations. Thus, the piRNA pathway has evolved to repress transposons  post-transcriptionally and/or transcriptionally. A growing number of studies on  piRNAs have investigated piRNA-mediated gene silencing, including piRNA  biogenesis. However, piRNAs remain the most enigmatic among all of the  silencing-inducing small RNAs because of their complexity and uniqueness. Although piRNAs have been previously suggested to be germline-specific, recent  studies have shown that piRNAs also play crucial roles in nongonadal cells.  Furthermore, piRNAs have also recently been shown to have roles in multigenerational epigenetic phenomena in worms. The purpose of this review is  to highlight new piRNA factors and novel insights in the piRNA world., Context: functional I elements. Finally, we demonstrate that the piRNA-induced silencing  of the functional I elements is at least partially posttranscriptional. In a  repressive background, these elements are still transcribed, but some of their  sense transcripts are kept in nurse cell nuclear foci together with those of the  Doc retrotransposon. In the absence of I element piRNAs, either in dysgenic  females or in mutants of the piRNA silencing pathway, sense I element  transcripts are transported toward the oocyte where retrotransposition occurs.  Our results indicate that piRNAs are involved in a posttranscriptional  gene-silencing mechanism resulting in RNA nuclear accumulation.","23124062, 18809914",Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.,"24178563, 20439430, 25336588, 21775629, 23625890, 21764773, 25842866, 18809914, 20559422, 26279487, 23465540, 20080197, 26302790, 26472911, 23124062, 23392610, 24939875, 23132912, 25313140, 24288375, 17872506"
Give an overview of visualizing genomes with oligopaint FISH probes.,"Yes, Oligopaint FISH (Fluorescence In Situ Hybridization) probes are valuable tools for visually examining genomic regions. These probes consist of single-stranded DNA oligonucleot","Context:  Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint probes can be synthesized using basic molecular biological techniques, and  provides protocols for FISH, 3D-FISH, and sample preparation., Context:  Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint probes can be synthesized using basic molecular biological techniques, and  provides protocols for FISH, 3D-FISH, and sample preparation.","24510436, 24510436","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
What is the minimal genome build?,"No, the context does not provide information about a minimal genome build. Instead, it discusses the concept of gene persistence as an alternative to defining a minimal genome. The text also explains that the study of minimal cellular systems focuses on","Context: A central undertaking in synthetic biology (SB) is the quest for the 'minimal  genome'. However, 'minimal sets' of essential genes are strongly  context-dependent and, in all prokaryotic genomes sequenced to date, not a  single protein-coding gene is entirely conserved. Furthermore, a lack of  consensus in the field as to what attributes make a gene truly essential adds  another aspect of variation. Thus, a universal minimal genome remains elusive. Here, as an alternative to defining a minimal genome, we propose that the  concept of gene persistence can be used to classify genes needed for robust  long-term survival. Persistent genes, although not ubiquitous, are conserved in a majority of genomes, tend to be expressed at high levels, and are frequently  located on the leading DNA strand. These criteria impose constraints on genome  organization, and these are important considerations for engineering cells and, Context:  The minimal cell concept represents a pragmatic approach to the question of how  few genes are required to run a cell. This is a helpful way to build a  parts-list, and has been more successful than attempts to deduce a minimal gene set for life by inferring the gene repertoire of the last universal common  ancestor, as few genes trace back to this hypothetical ancestral state. However,  the study of minimal cellular systems is the study of biological outliers where, by practical necessity, coevolutionary interactions are minimized or ignored. In  this paper, we consider the biological context from which minimal genomes have  been removed. For instance, some of the most reduced genomes are from","23219343, 26539175","The identification of the essential genes of bacteria and the minimal genome for the free-living cellular life could provide insights into the origin, evolution, and essence of life forms. The field of Synthetic Biology seeks to apply engineering principles to biology in order to produce novel biological systems. One approach to accomplish this goal is the genome-driven cell engineering approach, which searches for functioning minimal genomes in naturally occurring microorganisms, which can then be used as a template for future systems. Currently a prototypical minimal genome has not been discovered.","21987714, 23420643, 23873957, 26539175, 22916492, 23219343, 21203957"
Which histone marks are deposited by Set7?,"Yes, Set7 deposits H4 Lys 20 methylation. In the study, it was observed that PR-Set7, which is a H4 Lys 20 methyltransferase, is cell cycle-reg","Context: While previous studies have shown that histone modifications could influence  plant growth and development by regulating gene transcription, knowledge about  the relationships between these modifications and gene expression is still  limited. This study used chromatin immunoprecipitation followed by  high-throughput sequencing (ChIP-Seq), to investigate the genome-wide  distribution of four histone modifications: di and trimethylation of H3K4  (H3K4me2 and H3K4me3) and acylation of H3K9 and H3K27 (H3K9ac and H3K27ac) in  Oryza sativa L. japonica. By analyzing published DNase-Seq data, this study  explored DNase-Hypersensitive (DH) sites along the rice genome. The histone marks appeared mainly in generic regions and were enriched around the  transcription start sites (TSSs) of genes. This analysis demonstrated that the  four histone modifications and the DH sites were all associated with active transcription. Furthermore, the four histone modifications were highly  concurrent with transcript regions-a promising feature that was used to predict  missing genes in the rice gene annotation. The predictions were further, Context:  We describe distinct patterns of histone methylation during human cell cycle  progression. Histone H4 methyltransferase activity was found to be cell  cycle-regulated, consistent with increased H4 Lys 20 methylation at mitosis. This increase closely followed the cell cycle-regulated expression of the H4 Lys  20 methyltransferase, PR-Set7. Localization of PR-Set7 to mitotic chromosomes  and subsequent increase in H4 Lys 20 methylation were inversely correlated to transient H4 Lys 16 acetylation in early S-phase. These data suggest that H4 Lys  20 methylation by PR-Set7 during mitosis acts to antagonize H4 Lys 16  acetylation and to establish a mechanism by which this mark is epigenetically  transmitted.","23355544, 12208845",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?,"No, the context does not provide information about the most common monogenic cause of CVID in Europeans.","Context: early diagnosis and treatment of cardiovascular diseases (CVD). SUBJECTS AND METHODS: From the Ansung-Ansan prospective cohort study, 10,038  participants were recruited from years 2001-2002. Of 10,038 original  participants, 3022 subjects underwent Sasang Constitutional Type (SCT)  evaluation. The Cox proportional hazard model was used to predict CVD during the  ten year follow-up period.  RESULTS: Of 3022 participants, SCT classified into 364 (12%) SE, 1053 (34.8%)  SY, 1605 (53.1%) TE, and no TY. Three hundred seventy nine (16%) newly developed  CVD during the following period, yielding 10-year cumulative incidence of 160/1000 person. The frequency of CVD within three SCT without metabolic  syndrome (MetS) shows 13.4% in SE, 13.6% in SY, and 14.3% in TE, respectively  (p=NS). The CVD events were significantly different among the types when MetS was present. The demographic and clinical characteristics revealed the TE group  was significantly older, more obese, higher blood pressure, glucose values, and  lipid profiles levels. The frequency of MetS and type 2 diabetes mellitus (T2DM), Context:  Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B- and T-cell phenotypes in a cohort of 88 CVID patients and 48 healthy donors. A  hierarchical clustering of probability binning ""bins"" yielded a separate cluster  of 22 CVID patients with an abnormal phenotype. We showed coordinated proportional changes in naïve CD4+ T-cells (decreased), intermediate CD27- CD28+  CD4+ T-cells (increased) and CD21low B-cells (increased) that were stable for  over three years. Moreover, the lymphocytes' immunophenotype in this patient","24290090, 28054583",Loss-of-function nuclear factor κB subunit 1 (NFKB1) variants are the most common monogenic cause of common variable immunodeficiency in Europeans.,"29477724, 30063981"
