question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Yes, histone lysine methylation has implications in medulloblastoma. The context suggests that frequent mutations in H3K27 demethylases are observed in Group 3 and Group 4 medulloblast","Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the, Context: concordant methylation phenotype in this disease. We conclude that epigenetic  TSG inactivation is a significant feature of medulloblastoma, and identify  RASSF1A, HIC1 and CASP8 as potentially critical genes in its pathogenesis., Context: critical genes in its development, we profiled the promoter methylation status  of 11 candidate tumour-suppressor genes (TSGs; p14(ARF), p15(INK4b), p16(INK4a),  CASP8, HIC1, EDNRB, TIMP3, TP73, TSLC1, RIZ1 and RASSF1A) in medulloblastoma, Context: methyltransferases. In particular, the MLL family of methyltransferases for  histone H3 lysine 4 were mutated in 20% of tumors. CONCLUSION: The NFE2L2-KEAP1 and MLL pathways are recurrently mutated in  multiple cohorts of HCC.","23179372, 19270706, 14688019, 14688019, 23728943","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which human gene encode for DNA polymerase θ?,"Yes, the POLQ gene encodes for DNA polymerase θ in humans. This is explicitly stated in the context provided.","Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional, Context: insertion elements relative to prokaryotic homologs. The N-terminal third is a  helicase-like domain with DNA-dependent ATPase activity. Pol θ is important in  the repair of genomic double-strand breaks (DSBs) from many sources. These, Context: Aberrant oxidation is a property of many tumor cells. Oxidation of DNA  precursors, i.e., deoxynucleotide triphosphates (dNTPs), as well as DNA is a  major cause of genome instability. Here, we report that human DNA polymerase eta, Context: (10 - 18), and 287 healthy age-matched females adolescents. The anthropometric  parameters of the AIS group, including age, body height, weight, arm span, Cobb  angle, time of menarche, and Risser's sign were recorded. Polymerase chain, Context: of DNA polymerase III.","27264557, 27264557, 18242151, 19192405, 16083981",DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by the POLQ gene in mammalian genomes,"27264557, 28668117"
Which lncRNAS are regulated by SAM68?,"Yes, Hotair, Mir155hg as well as two new lncRNAs (SR-lncRNA-1 and SR-lncRNA-2) are regulated by Sam68. This is","Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation., Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As, Context: and 1782 transcripts of uncertain coding potential (TUCP) were differentially  expressed by pairwise comparison. These lncRNAs were shorter in length, fewer in  exon number and higher in expression levels as compared with mRNAs. 683 lncRNAs, Context: migration and atherosclerosis partly via the ABCG1/MMP3 pathway. On the whole,  the present study demonstrates that the inhibition of lncRNA AL355711 may serve  as a novel therapeutic target for atherosclerosis. lncRNA AL355711 in","29137239, 29137239, 29137239, 29228702, 34608503","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
What is ectopia lentis?,"Yes, ectopia lentis is a condition where there is subluxation of the lens due to the disruption of the zonular fibers. This results in a marked loss in visual acuity and can either be isolated","Context: Ectopia lentis (EL) is a condition that can either herald underlying systemic  conditions, or be isolated. The recent expansion in the genetics of these  conditions has furthered the understanding of the underlying molecular, Context: for a correlation of R240C and isolated ectopia lentis. In addition, this is the  first report of molecular characterization in an ectopia lentis family of Indian  origin., Context: Ectopia lentis is a genetically heterogeneous condition that is characterized by  the subluxation of the lens resulting from the disruption of the zonular fibers.  Patients with ectopia lentis commonly present with a marked loss in visual, Context: PURPOSE: To identify the genetic defect in an autosomal dominant isolated  ectopia lentis (EL) family. METHODS: Detailed family history and clinical data were collected from the  family including sixteen patients with isolated EL. Blood samples of nine, Context: Ectopia lentis (EL) is a zonular disease where alteration of the zonular fibers  leads progressively to lens dislocation. It is most often associated with  systemic diseases such as Marfan syndrome, Weill-Marchesani syndrome or","24406422, 18079676, 19200529, 22539873, 20141359",Ectopia Lentis is dislocation of the optic lens in the eye.,"25939784, 19200529, 25797933"
Describe RIblast,"Yes, RIblast is a program for sequence similarity searches that achieves a level of prediction accuracy similar to existing programs but at significantly faster speeds. It is freely available and implemented in C++.","Context: essential for hypoxic survival in M. tuberculosis, but it is not known how the  regulon promotes survival. Here we report that mycobacteria, in contrast to  enteric bacteria, do not form higher-order structures (e.g. ribosomal dimers), Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: autosomal-recessive encephalopathy in children that is characterized by  mutations in numerous nucleic acid repair enzymes and elevated IFN levels.  Phenotypically, patients with AGS and SLE share many similarities. Ribonuclease, Context: subpopulations to the overall mass spectrum. We confirm the existence of these  subpopulations using tandem mass spectrometry of intact 30S subunits. Overall,  the results show that, rather than uniform particles, gas-phase ribosomes, Context: 25% of cases. Mutations in RPS24, RPS17, and RPL35A described in a minority of  patients show that Diamond-Blackfan anemia is a disorder of ribosome biogenesis.  Two new genes (RPL5, RPL11), encoding for ribosomal proteins of the large","22544737, 28459942, 25500879, 16939266, 19773262","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Are piRNAs involved in gene silencing?,"Yes, according to the context, piRNAs are indeed involved in gene silencing. They play a role in a posttranscriptional gene-silencing mechanism that results in RNA nuclear accumulation. Additionally, they protect essential genes from","Context: piRNAs have investigated piRNA-mediated gene silencing, including piRNA  biogenesis. However, piRNAs remain the most enigmatic among all of the  silencing-inducing small RNAs because of their complexity and uniqueness., Context: transcripts are transported toward the oocyte where retrotransposition occurs.  Our results indicate that piRNAs are involved in a posttranscriptional  gene-silencing mechanism resulting in RNA nuclear accumulation., Context: mRNAs to initiate sustained silencing via the RNAi pathway. To assess the  dysregulation of gene silencing caused by lack of piRNAs, we restored RNA  silencing in RNAi-defective animals in the presence or absence of piRNAs. In the, Context: RNAi, we uncovered a role for piRNAs in protecting essential genes from RNA  silencing., Context: targets of piRNA-mediated silencing. We have demonstrated that expression of  reporter genes driven by the HeT-A promoter is under the control of the piRNA  silencing pathway independent of the transgene location. In order to test","23124062, 18809914, 26279487, 26279487, 21764773",Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.,"24178563, 20439430, 25336588, 21775629, 23625890, 21764773, 25842866, 18809914, 20559422, 26279487, 23465540, 20080197, 26302790, 26472911, 23124062, 23392610, 24939875, 23132912, 25313140, 24288375, 17872506"
Give an overview of visualizing genomes with oligopaint FISH probes.,"Yes, Oligopaint FISH probes are used for visualizing genomic regions. They are single-stranded DNA oligonucleotides, fluorescently labeled and can be utilized to observe regions ranging from tens of","Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: technologies reconstruct intermolecular interactions, others have enhanced our  ability to visualize chromosomes in situ. Here, we describe an oligonucleotide-  and PCR-based strategy for fluorescence in situ hybridization (FISH) and a, Context: consecutive genomic regions (BACs) have been simultaneously labeled by  multicolor FISH. We have acquired two sets of four consecutive genomic regions  with an overlap of three regions. From the experimental results, it turned out, Context: processed using an Ion Torrent Suite 3.2 software to generate sequence reads.  After sequence alignment and extraction of SNPs and indels, all the variants  were filtered against dbSNP137. DNA sequences were visualized with an Integrated","24510436, 24510436, 23236188, 18789978, 23744319","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
What is the minimal genome build?,"No, the context does not provide enough details about what the minimal genome build is. However, it does mention that the minimal cell concept represents a pragmatic approach to determining how few genes are required to run a cell and has been more successful","Context: single protein-coding gene is entirely conserved. Furthermore, a lack of  consensus in the field as to what attributes make a gene truly essential adds  another aspect of variation. Thus, a universal minimal genome remains elusive., Context: The minimal cell concept represents a pragmatic approach to the question of how  few genes are required to run a cell. This is a helpful way to build a  parts-list, and has been more successful than attempts to deduce a minimal gene, Context: by practical necessity, coevolutionary interactions are minimized or ignored. In  this paper, we consider the biological context from which minimal genomes have  been removed. For instance, some of the most reduced genomes are from, Context: strong preconditions for synthesis of artificial minimal genome. Here in this  article, we review briefly the history and current state of research in this  field and summarize the main methods for making a minimal genome. We also, Context: minimal genome and the potential applications are introduced.","23219343, 26539175, 26539175, 21203957, 22916492","The identification of the essential genes of bacteria and the minimal genome for the free-living cellular life could provide insights into the origin, evolution, and essence of life forms. The field of Synthetic Biology seeks to apply engineering principles to biology in order to produce novel biological systems. One approach to accomplish this goal is the genome-driven cell engineering approach, which searches for functioning minimal genomes in naturally occurring microorganisms, which can then be used as a template for future systems. Currently a prototypical minimal genome has not been discovered.","21987714, 23420643, 23873957, 26539175, 22916492, 23219343, 21203957"
Which histone marks are deposited by Set7?,"Yes, Set7 deposits H3K4me2 and H4K20me1 based on the context. Set7 is a histone methyltransferase that specifically methylates lysine 4 of histone H3","Context: (H3K4me2 and H3K4me3) and acylation of H3K9 and H3K27 (H3K9ac and H3K27ac) in  Oryza sativa L. japonica. By analyzing published DNase-Seq data, this study  explored DNase-Hypersensitive (DH) sites along the rice genome. The histone, Context: We describe distinct patterns of histone methylation during human cell cycle  progression. Histone H4 methyltransferase activity was found to be cell  cycle-regulated, consistent with increased H4 Lys 20 methylation at mitosis., Context: mark exist in vivo. Importantly, we show that this lysine residue is highly  conserved through evolution, and provide evidence that this methylation event  also occurs in higher eukaryotes. By identifying a novel site of histone, Context: active gene transcription in meiotic and post-meiotic cells. In addition,  H4K8ac-associated genes are included in and constitute only a subfraction of  H4K8hib-labeled genes. The histone Khib mark is conserved and widely, Context: in internal human exons and that this positioning is independent of expression.  We observed a similarly strong nucleosome-positioning signal in internal exons  of Caenorhabditis elegans. Among the 38 histone modifications analyzed in man,","23355544, 12208845, 21249157, 24681537, 19687145",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?,"No, the context does not provide information on the most common monogenic cause of CVID in Europeans.","Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: variable immunodeficiency (CVID). MATERIALS AND METHODS: Review of clinical charts and laboratory results of  pediatric patients followed-up in the outpatient clinic of PID with a diagnosis  of ES and humoral immunodeficiency., Context: immunodeficiency has played a critical role in the recent identification of the  molecular mechanism involved in these disorders., Context: of Medicine, University of Freiburg, Freiburg, Germany. (22)Center for Chronic Immunodeficiency (CCI), Medical Center, University of  Freiburg, Freiburg, Germany. (23)Department of Clinical Pathology, Medical University Vienna, Vienna,  Austria., Context: primary immunodeficiency.","28054583, 28937520, 22032885, 33782605, 25395816",Loss-of-function nuclear factor κB subunit 1 (NFKB1) variants are the most common monogenic cause of common variable immunodeficiency in Europeans.,"29477724, 30063981"
