question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Yes, the context suggests that histone lysine methylation, particularly at H3K9 and H3K27, plays a significant role in medulloblastoma. Genetic events targeting these modifications are implicated in","Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the, Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro, Context: concordant methylation phenotype in this disease. We conclude that epigenetic  TSG inactivation is a significant feature of medulloblastoma, and identify  RASSF1A, HIC1 and CASP8 as potentially critical genes in its pathogenesis, Context: genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in","23179372, 19270706, 19270706, 14688019, 19270706","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which human gene encode for DNA polymerase θ?,"Yes, the POLQ gene in mammalian cells encodes for DNA polymerase θ. This is explicitly stated in the context as Pol θ is encoded by the POLQ gene in mammalian cells.","Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional, Context: insertion elements relative to prokaryotic homologs. The N-terminal third is a  helicase-like domain with DNA-dependent ATPase activity. Pol θ is important in  the repair of genomic double-strand breaks (DSBs) from many sources. These, Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional, Context: of DNA polymerase III, Context: include breaks formed by ionizing radiation and topoisomerase inhibitors, breaks  arising at stalled DNA replication forks, breaks introduced during  diversification steps of the mammalian immune system, and DSB induced by","27264557, 27264557, 27264557, 16083981, 27264557",DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by the POLQ gene in mammalian genomes,"27264557, 28668117"
Which lncRNAS are regulated by SAM68?,"Yes, Hotair, Mir155hg, SR-lncRNA-1, and SR-lncRNA-2 are lncRNAs regulated by Sam68. This is stated in the context as","Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation, Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As, Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As, Context: expected, downregulated genes were significantly associated with GO terms linked  to cell migration, motility, and fat cell differentiation, while upregulated  genes were mostly associated with GO terms linked to neurogenesis. Of the","29137239, 29137239, 29137239, 29137239, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
What is ectopia lentis?,"Yes, ectopia lentis is a condition characterized by the subluxation of the lens resulting from the disruption of the zonular fibers. This disorder is genetically heterogeneous and can either be isolated or associated","Context: Ectopia lentis (EL) is a condition that can either herald underlying systemic  conditions, or be isolated. The recent expansion in the genetics of these  conditions has furthered the understanding of the underlying molecular, Context: for a correlation of R240C and isolated ectopia lentis. In addition, this is the  first report of molecular characterization in an ectopia lentis family of Indian  origin, Context: involvement of the skeleton and integument, and in one person with classic  Marfan syndrome. This is the largest family with isolated ectopia lentis  reported to date. The results of the present study provide convincing evidence, Context: Ectopia lentis is a genetically heterogeneous condition that is characterized by  the subluxation of the lens resulting from the disruption of the zonular fibers.  Patients with ectopia lentis commonly present with a marked loss in visual, Context: eye. She has no evidence of ectopia lentis. DNA analysis revealed that she has  the same FBN1 mutation. Seven other maternal family members also have ectopia  lentis. In conclusion, we report on a case of early-onset autosomal dominant","24406422, 18079676, 18079676, 19200529, 25900864",Ectopia Lentis is dislocation of the optic lens in the eye.,"25939784, 19200529, 25797933"
Describe RIblast,"Yes, RIblast is a ribonucleic acid (RNA) sequence aligner that uses a seed-and-extension approach. It discovers seed regions using suffix arrays and extends those regions based on an RNA secondary structure","Context: essential for hypoxic survival in M. tuberculosis, but it is not known how the  regulon promotes survival. Here we report that mycobacteria, in contrast to  enteric bacteria, do not form higher-order structures (e.g. ribosomal dimers), Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: at https://github.com/fukunagatsu/RIblast . CONTACT: t.fukunaga@kurenai.waseda.jp or mhamada@waseda.jp. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online, Context: autosomal-recessive encephalopathy in children that is characterized by  mutations in numerous nucleic acid repair enzymes and elevated IFN levels.  Phenotypically, patients with AGS and SLE share many similarities. Ribonuclease, Context: method based on the seed-and-extension approach. RIblast discovers seed regions  using suffix arrays and subsequently extends seed regions based on an RNA  secondary structure energy model. Computational experiments indicate that","22544737, 28459942, 28459942, 25500879, 28459942","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Are piRNAs involved in gene silencing?,"Yes, according to the context, piRNAs are indeed involved in gene silencing. This is stated explicitly when describing the results of certain experiments that indicate piRNAs are part of a posttranscriptional gene-silencing mechanism,","Context: piRNAs have investigated piRNA-mediated gene silencing, including piRNA  biogenesis. However, piRNAs remain the most enigmatic among all of the  silencing-inducing small RNAs because of their complexity and uniqueness, Context: transcripts are transported toward the oocyte where retrotransposition occurs.  Our results indicate that piRNAs are involved in a posttranscriptional  gene-silencing mechanism resulting in RNA nuclear accumulation, Context: complexes from testes displayed activity in cleaving target RNA containing  sequences complementary to Stellate and vasa transcripts. These results provide  the first biochemical insights into gene silencing mechanisms mediated by Aub, Context: mRNAs to initiate sustained silencing via the RNAi pathway. To assess the  dysregulation of gene silencing caused by lack of piRNAs, we restored RNA  silencing in RNAi-defective animals in the presence or absence of piRNAs. In the, Context: In the Drosophila germline, retrotransposons are silenced by the  PIWI-interacting RNA (piRNA) pathway. Telomeric retroelements HeT-A, TART and  TAHRE, which are involved in telomere maintenance in Drosophila, are also the","23124062, 18809914, 17872506, 26279487, 21764773",Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.,"24178563, 20439430, 25336588, 21775629, 23625890, 21764773, 25842866, 18809914, 20559422, 26279487, 23465540, 20080197, 26302790, 26472911, 23124062, 23392610, 24939875, 23132912, 25313140, 24288375, 17872506"
Give an overview of visualizing genomes with oligopaint FISH probes.,"Yes, oligopaint FISH probes can be used to visually analyze genomic regions in 3D-preserved nuclei using techniques like FISH and confocal microscopy. These probes are single-stranded DNA","Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: probes can be synthesized using basic molecular biological techniques, and  provides protocols for FISH, 3D-FISH, and sample preparation, Context: consecutive genomic regions (BACs) have been simultaneously labeled by  multicolor FISH. We have acquired two sets of four consecutive genomic regions  with an overlap of three regions. From the experimental results, it turned out, Context: on three-dimensionally preserved nuclei (3D-FISH), in combination with confocal  microscopy, has become an effective technique for analyzing 3D genome structure  and spatial patterns of defined nucleus targets including entire chromosome","24510436, 24510436, 24510436, 18789978, 24305663","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
What is the minimal genome build?,"No, the context does not provide enough information to define a specific minimal genome build. The text mentions that the concept of a minimal genome is strongly context-dependent and that there is no consensus on what attributes make a gene truly essential.","Context: strong preconditions for synthesis of artificial minimal genome. Here in this  article, we review briefly the history and current state of research in this  field and summarize the main methods for making a minimal genome. We also, Context: A central undertaking in synthetic biology (SB) is the quest for the 'minimal  genome'. However, 'minimal sets' of essential genes are strongly  context-dependent and, in all prokaryotic genomes sequenced to date, not a, Context: The minimal cell concept represents a pragmatic approach to the question of how  few genes are required to run a cell. This is a helpful way to build a  parts-list, and has been more successful than attempts to deduce a minimal gene, Context: minimal genome and the potential applications are introduced, Context: single protein-coding gene is entirely conserved. Furthermore, a lack of  consensus in the field as to what attributes make a gene truly essential adds  another aspect of variation. Thus, a universal minimal genome remains elusive","21203957, 23219343, 26539175, 22916492, 23219343","The identification of the essential genes of bacteria and the minimal genome for the free-living cellular life could provide insights into the origin, evolution, and essence of life forms. The field of Synthetic Biology seeks to apply engineering principles to biology in order to produce novel biological systems. One approach to accomplish this goal is the genome-driven cell engineering approach, which searches for functioning minimal genomes in naturally occurring microorganisms, which can then be used as a template for future systems. Currently a prototypical minimal genome has not been discovered.","21987714, 23420643, 23873957, 26539175, 22916492, 23219343, 21203957"
Which histone marks are deposited by Set7?,"Yes, Set7 deposits H4 Lys 20 methylation. This is explicitly stated in the context, where it mentions that ""the increase closely followed the cell cycle-regulated expression of the H4 Lys 2","Context: (H3K4me2 and H3K4me3) and acylation of H3K9 and H3K27 (H3K9ac and H3K27ac) in  Oryza sativa L. japonica. By analyzing published DNase-Seq data, this study  explored DNase-Hypersensitive (DH) sites along the rice genome. The histone, Context: We describe distinct patterns of histone methylation during human cell cycle  progression. Histone H4 methyltransferase activity was found to be cell  cycle-regulated, consistent with increased H4 Lys 20 methylation at mitosis, Context: transient H4 Lys 16 acetylation in early S-phase. These data suggest that H4 Lys  20 methylation by PR-Set7 during mitosis acts to antagonize H4 Lys 16  acetylation and to establish a mechanism by which this mark is epigenetically  transmitted, Context: sequestered within the nucleosome. Furthermore, H3 and H4 trapped in their  tetrameric state can be used as substrates in nucleosome assembly and  chaperone-mediated lysine acetylation. This alternate mode of histone, Context: This increase closely followed the cell cycle-regulated expression of the H4 Lys  20 methyltransferase, PR-Set7. Localization of PR-Set7 to mitotic chromosomes  and subsequent increase in H4 Lys 20 methylation were inversely correlated to","23355544, 12208845, 12208845, 21329878, 12208845",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?,"No, the context does not provide information about the most common monogenic cause of CVID in Europeans.","Context: RESULTS: Of 3022 participants, SCT classified into 364 (12%) SE, 1053 (34.8%)  SY, 1605 (53.1%) TE, and no TY. Three hundred seventy nine (16%) newly developed  CVD during the following period, yielding 10-year cumulative incidence of, Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: variable immunodeficiency (CVID). MATERIALS AND METHODS: Review of clinical charts and laboratory results of  pediatric patients followed-up in the outpatient clinic of PID with a diagnosis  of ES and humoral immunodeficiency, Context: CONCLUSIONS: The presence of CVD was significantly associated with aggressive  presentations. The Borden and Cognard classifications showed little  interobserver variability. Endovascular treatment for CS DAVF is safe and, Context: and T-cell phenotypes in a cohort of 88 CVID patients and 48 healthy donors. A  hierarchical clustering of probability binning ""bins"" yielded a separate cluster  of 22 CVID patients with an abnormal phenotype. We showed coordinated","24290090, 28054583, 28937520, 23582488, 28054583",Loss-of-function nuclear factor κB subunit 1 (NFKB1) variants are the most common monogenic cause of common variable immunodeficiency in Europeans.,"29477724, 30063981"
