Query-Context-Relevance-sem_similarity
Query,Context_0_Score,Context_1_Score,Context_2_Score,Context_3_Score,Context_4_Score,Context_5_Score
Ich habe auf einer Dienstreise über Nacht gearbeitet. Wie buche ich das korrekterweise im HCM,0.393,0.248,0.261,0.239,0.201,0.16
"Gib mir das Dokument für Zusammenarbeit mit anderen Institutionen, wenn ich DSGVO-relevante Informationen verarbeite.",0.229,0.15,0.32,0.168,0.2,0.168
Wo finde ich in der W01 die Information über die Unterschriftenregelung.,0.388,0.333,0.401,0.198,0.205,0.345
Wie erstelle ich einen Dienstreiseantrag?,0.478,0.507,0.453,0.442,0.242,0.607
Welche Publikationen müssen in der Publikationsdatenbank eingetragen werden und wie mache ich das?,0.675,0.51,0.691,0.142,0.296,0.055
"Welche Verträge müssen in der Vertragsdatenbank eingetragen werden, wie mache ich das und wie finde ich diese Verträge wieder?",0.572,0.394,0.461,0.314,0.363,0.204
Welche Richtlinien muss ein Projektleiter kennen?,0.35,0.326,0.37,0.353,0.118,0.308
Wie viele Gegenangebote brauche ich für Einkauf im Wert 10.000 Euro?,0.474,0.286,0.303,0.222,0.25,0.293
Ab welchen Betrag brauche ich Vergleichtsangebot?,0.166,0.122,0.304,0.206,0.294,0.329
Was muss ich in Doxis für G1 ablegen?,0.195,0.224,0.244,0.075,0.133,0.336
Welche Aktivitäten muss ich beim Stage Gate 3 vorab machen (Checkliste)?,0.528,0.527,0.541,0.125,0.192,0.198
Ich möchte die Cloud-Anwendung XYZ für ein Forschungsprojekt einsetzen. Welche Richtlinien und Prozesse sind beim Umgang mit Cloud Services zu beachten? ,0.324,0.229,0.329,0.149,0.284,0.205
"Ein Beispiel könnte sein: Welche Schritte muss ich zu welchen Zeitpunkten setzen, um einen Antrag bis zur Einreichung zu bringen. Als Antwort hätte ich dann gerne: Wann muss die Kalkulation erfolgen, wann soll die Beschreibung für die Vorstellung des Projektansatzes fertig sein, wo finde ich dann die Vorlage, wann muss die Kalkulation gemacht werden, wann und wo wird das Projekt in Salesforce angelegt, wie funktioniert die Kalkulation in Unit4, .....",0.33,0.302,0.303,0.147,0.336,0.199
Ab welchem Wert braucht man ein Gegenangebot bei der Beschaffung?,0.228,0.293,0.311,0.318,0.281,0.357
Wann endet die fiktive Normalarbeitszeit am Freitag?,0.486,0.424,0.57,0.46,0.341,0.391
Welche Schritte muss ich für das Anlegen eines neuen Projektes durchlaufen?,0.337,0.374,0.231,0.207,0.324,0.138
Welche Schulungen brauche ich um ins nächste Level innerhalb meines Karrierewegs zu kommen?,0.164,0.189,0.219,0.11,0.31,0.273
Wo wird Customer Feedback dokumentiert?,0.556,0.41,0.439,0.452,0.407,0.454
Wie lege ich einen unterschriebenen NDA in Doxis ab?,0.237,0.299,0.259,0.141,0.212,0.131
Q: Wie beantrage ich eine virtual machine? A: ,0.563,0.305,0.188,0.051,0.318,0.186
Wie lautet die Kostenstelle für Aus- und Fortbildung?,0.093,0.248,0.115,0.12,0.098,0.219
Muss ich das Formular für die Refundierung an mein Sekretariat schicken oder gibt es in Doxis einen eigenen Prozess dafür?,0.498,0.383,0.297,0.301,0.148,0.208
"Wen kontaktiere ich, wenn der Beamer in einem GG4 Besprechungsraum schon wieder nicht funktioniert?",0.547,0.247,0.421,0.419,0.337,0.547
Wer unterschreibt ein Angebot?,0.417,0.599,0.384,0.246,0.216,0.221
Was ist der Ablauf vom Technical Auditing?,0.544,0.458,0.47,0.444,0.429,0.318
"Wie trage ich korrekt Reise- und Arbeitszeiten ein, wenn ich z.B. im Flugzeug außerhalb der fiktiven Normalarbeitszeit arbeite?",0.615,0.657,0.656,0.181,0.274,0.15
Wie führe ich eine KM-Geld Abrechnung durch?,0.667,0.554,0.642,0.252,0.296,0.117
Under what circumstances should data be considered personal information?,0.681,0.723,0.616,0.597,0.391,0.256
Who should participate in an internal(external) ISO Audit?,0.529,0.549,0.503,0.619,0.597,0.565
Ich reise beruflich nach xy. Darf ich meinen Laptop / Handy mitnehmen?,0.151,0.218,0.175,0.22,0.131,0.087
Gibt es Vorlagen / Best practice im Haus zur IPR Regelung in Projekten?,0.169,0.121,0.209,0.211,0.154,0.084
Welche Vorgaben gibt es für die Nutzung von ChatGPT im AIT?,0.202,0.259,0.176,0.217,0.205,0.19
"z.B.: Wie errechnet sich die fiktive Normalarbeitszeit, wenn ich nicht Vollzeit arbeite?",0.589,0.488,0.394,0.225,0.28,0.223
"Welche Schulungen braucht man, um den Junior loszuwerden?",0.186,0.174,0.206,0.154,0.165,0.26
During what hours am I allowed to book my working hours?,0.399,0.555,0.582,0.318,0.217,0.398
Wie funktioniert das Entwicklungsgespräch? Gerne. Bitte sieh Dir im QM-System unter der dem Reiter Personal die Prozessbeschreibung P06-AIT Entwicklungsgespräch an.,0.438,0.462,0.468,0.493,0.259,0.51
Was gibt es für Prozesse und Richtlinien für QM-Dokumente?,0.557,0.355,0.484,0.134,0.203,0.336
Wer unterschreibt Consortium Agreement?,0.26,0.257,0.146,0.316,0.374,0.533
Wie gebe ich Privataufenthalt bei einer Dienstreise ein,0.284,0.372,0.349,0.345,0.27,0.286
"In welchem Dokument finde ich Anweisungen, wie ich die Zahlungen an Konsortialpartner abwickeln soll wenn AIT Koordinator ist?",0.177,0.362,0.352,0.218,0.255,0.233
Bitte erkläre mir den Stage-Gate-Prozess in einfachen Worten.,0.563,0.626,0.668,0.236,0.173,0.257
Was sind bei datenschutzrechtlichen Anforderungen an Proband:innen zu bedenken?,0.343,0.353,0.443,0.329,0.286,0.329
Für welche Art von Stellen muss man den P01-Formular erstellen lassen?,0.291,0.308,0.323,0.265,0.256,0.217
"Ich bin neu am AIT. Was sind die wichtigsten Informationen, dich ich zum Einstieg wissen muss?",0.188,0.35,0.409,0.237,0.158,0.279
Wie ist die Kosten- und Erlösplanung auszufüllen?,0.19,0.372,0.48,0.203,0.212,0.239
Wie berechne ich Aufschläge und Erträge?,0.376,0.298,0.469,0.056,0.089,0.06
Wo melde ich ein defektes Türschloss (Batterie zu tauschen),0.404,0.22,0.18,0.153,0.153,0.107
Im welchen Prozess finde ich etwas über Mobbing?,0.552,0.486,0.414,0.125,0.021,0.263
"Beispiel 1: PL aus Unit xxx reicht KF-Projektantrag in der ersten Stufe eines zweistufigen Verfahrens ein. AIT-Kosten/Revenue in der Höhe von xxx. Förderorganisation ist xxx. Wer (konkrete Personennamen!) muss das Antragsformular, welches an die Förderorganisation geschickt wird, unterschreiben und was ist der konkrete(!) Ablauf damit gegenüber extern unterschrieben werden darf?",0.357,0.447,0.51,0.407,0.255,0.321
"Beispiel 2: (a) Privatstiftung, (b) externe Firma (z.B. Microsoft) schreibt einen Call für Forschungsprojekte zu folgenden Konditionen aus: xxx. Ist dies intern als AF oder als KF zu behandeln?",0.352,0.384,0.447,0.083,0.46,0.478
"Welchen Wechselkurs kann ich heranziehen, um eine Fremdwährungsrechnung auf den korrekten Rechnungsbetrag im Zuge des Freigabeprozesses überprüfen zu können und wo finde ich einen solchen korrekten Wechselkurs?",0.214,0.319,0.335,0.227,0.269,0.167
