question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Yes, histone lysine methylation has significant implications in medulloblastoma. Recent studies have shown frequent mutations in genes responsible for H3K27 demethylation in specific subgroups of medulloblastomas","Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the, Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro, Context: methyltransferases. In particular, the MLL family of methyltransferases for  histone H3 lysine 4 were mutated in 20% of tumors. CONCLUSION: The NFE2L2-KEAP1 and MLL pathways are recurrently mutated in  multiple cohorts of HCC, Context: genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in","19270706, 23179372, 19270706, 23728943, 19270706","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which human gene encode for DNA polymerase θ?,"Yes, the POLQ gene encodes for DNA polymerase theta (pol θ) in humans. This is explicitly stated in the context.","Context: insertion elements relative to prokaryotic homologs. The N-terminal third is a  helicase-like domain with DNA-dependent ATPase activity. Pol θ is important in  the repair of genomic double-strand breaks (DSBs) from many sources. These, Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional, Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional, Context: Aberrant oxidation is a property of many tumor cells. Oxidation of DNA  precursors, i.e., deoxynucleotide triphosphates (dNTPs), as well as DNA is a  major cause of genome instability. Here, we report that human DNA polymerase eta, Context: immune system, during repair of CRISPR-Cas9, and in many DNA integration events.  Pol θ is a potentially important clinical target, particularly for cancers  deficient in other break repair strategies. The enzyme is uniquely able to","27264557, 27264557, 27264557, 18242151, 28668117",DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by the POLQ gene in mammalian genomes,"27264557, 28668117"
Which lncRNAS are regulated by SAM68?,"Yes, there is an uncharacterized long non-coding RNA (LOC90784) that was downregulated in Sam68 deficient 3T3-L1 mouse preadipocytes. This suggests","Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As, Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As, Context: expected, downregulated genes were significantly associated with GO terms linked  to cell migration, motility, and fat cell differentiation, while upregulated  genes were mostly associated with GO terms linked to neurogenesis. Of the, Context: in stage III. Resistin, a gene that is linked to obesity, insulin resistance,  and breast cancer, was expressed more than four times higher in AA tumors. An  uncharacterized, long, non-coding RNA, LOC90784, was down-regulated in AA, Context: The KH-type RNA binding protein Sam68 is required for adipogenesis. We have  previously shown that Sam68-deficient mice have a lean phenotype and are  protected against dietary-induced obesity due to defects in mTOR and S6K1","29137239, 29137239, 29137239, 24324792, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
What is ectopia lentis?,"Yes, ectopia lentis is a condition characterized by the subluxation of the lens resulting from the disruption of the zonular fibers. It can either be isolated or occur in association with systemic conditions such as","Context: for a correlation of R240C and isolated ectopia lentis. In addition, this is the  first report of molecular characterization in an ectopia lentis family of Indian  origin, Context: Ectopia lentis (EL) is a condition that can either herald underlying systemic  conditions, or be isolated. The recent expansion in the genetics of these  conditions has furthered the understanding of the underlying molecular, Context: involvement of the skeleton and integument, and in one person with classic  Marfan syndrome. This is the largest family with isolated ectopia lentis  reported to date. The results of the present study provide convincing evidence, Context: Ectopia lentis is a genetically heterogeneous condition that is characterized by  the subluxation of the lens resulting from the disruption of the zonular fibers.  Patients with ectopia lentis commonly present with a marked loss in visual, Context: eye. She has no evidence of ectopia lentis. DNA analysis revealed that she has  the same FBN1 mutation. Seven other maternal family members also have ectopia  lentis. In conclusion, we report on a case of early-onset autosomal dominant","18079676, 24406422, 18079676, 19200529, 25900864",Ectopia Lentis is dislocation of the optic lens in the eye.,"25939784, 19200529, 25797933"
Describe RIblast,"Yes, RIblast is a program that achieves high prediction accuracy at speeds faster than existing programs. It is an alignment-free method based on the seed-and-extension approach, using suffix arrays to discover seed regions and extending them based","Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: essential for hypoxic survival in M. tuberculosis, but it is not known how the  regulon promotes survival. Here we report that mycobacteria, in contrast to  enteric bacteria, do not form higher-order structures (e.g. ribosomal dimers), Context: at https://github.com/fukunagatsu/RIblast . CONTACT: t.fukunaga@kurenai.waseda.jp or mhamada@waseda.jp. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online, Context: autosomal-recessive encephalopathy in children that is characterized by  mutations in numerous nucleic acid repair enzymes and elevated IFN levels.  Phenotypically, patients with AGS and SLE share many similarities. Ribonuclease, Context: method based on the seed-and-extension approach. RIblast discovers seed regions  using suffix arrays and subsequently extends seed regions based on an RNA  secondary structure energy model. Computational experiments indicate that","28459942, 22544737, 28459942, 25500879, 28459942","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Are piRNAs involved in gene silencing?,"Yes, according to the context, piRNAs are indeed involved in gene silencing. This is stated explicitly in the first sentence of the context, which mentions that ""piRNAs are involved in a posttranscriptional gene-","Context: transcripts are transported toward the oocyte where retrotransposition occurs.  Our results indicate that piRNAs are involved in a posttranscriptional  gene-silencing mechanism resulting in RNA nuclear accumulation, Context: piRNAs have investigated piRNA-mediated gene silencing, including piRNA  biogenesis. However, piRNAs remain the most enigmatic among all of the  silencing-inducing small RNAs because of their complexity and uniqueness, Context: complexes from testes displayed activity in cleaving target RNA containing  sequences complementary to Stellate and vasa transcripts. These results provide  the first biochemical insights into gene silencing mechanisms mediated by Aub, Context: mRNAs to initiate sustained silencing via the RNAi pathway. To assess the  dysregulation of gene silencing caused by lack of piRNAs, we restored RNA  silencing in RNAi-defective animals in the presence or absence of piRNAs. In the, Context: In the Drosophila germline, retrotransposons are silenced by the  PIWI-interacting RNA (piRNA) pathway. Telomeric retroelements HeT-A, TART and  TAHRE, which are involved in telomere maintenance in Drosophila, are also the","18809914, 23124062, 17872506, 26279487, 21764773",Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.,"24178563, 20439430, 25336588, 21775629, 23625890, 21764773, 25842866, 18809914, 20559422, 26279487, 23465540, 20080197, 26302790, 26472911, 23124062, 23392610, 24939875, 23132912, 25313140, 24288375, 17872506"
Give an overview of visualizing genomes with oligopaint FISH probes.,"Yes, Oligopaint FISH (Fluorescence In Situ Hybridization) probes are used to visualize genomic regions, from tens of kilobases to many megabases, through a process that involves synthesizing","Context: probes can be synthesized using basic molecular biological techniques, and  provides protocols for FISH, 3D-FISH, and sample preparation, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Slides were subsequently hybridized with fluorescently labeled DNA probes. FISH  images were taken at the previously recorded positions allowing for direct  comparison of protein expression and gene copy number signals within the same, Context: territories and single gene loci. This technique usually requires the  simultaneous visualization of numerous targets labeled with different colored  fluorochromes. Thus, the number of channels and lasers must be sufficient for","24510436, 24510436, 24510436, 20966547, 24305663","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
What is the minimal genome build?,"The context does not provide explicit details about what the minimal genome build is. However, it mentions that the minimal cell concept is a parts-list for running a cell and research is being done to make a minimal genome. The context also","Context: The minimal cell concept represents a pragmatic approach to the question of how  few genes are required to run a cell. This is a helpful way to build a  parts-list, and has been more successful than attempts to deduce a minimal gene, Context: strong preconditions for synthesis of artificial minimal genome. Here in this  article, we review briefly the history and current state of research in this  field and summarize the main methods for making a minimal genome. We also, Context: set for life by inferring the gene repertoire of the last universal common  ancestor, as few genes trace back to this hypothetical ancestral state. However,  the study of minimal cellular systems is the study of biological outliers where,, Context: minimal genome and the potential applications are introduced, Context: by practical necessity, coevolutionary interactions are minimized or ignored. In  this paper, we consider the biological context from which minimal genomes have  been removed. For instance, some of the most reduced genomes are from","26539175, 21203957, 26539175, 22916492, 26539175","The identification of the essential genes of bacteria and the minimal genome for the free-living cellular life could provide insights into the origin, evolution, and essence of life forms. The field of Synthetic Biology seeks to apply engineering principles to biology in order to produce novel biological systems. One approach to accomplish this goal is the genome-driven cell engineering approach, which searches for functioning minimal genomes in naturally occurring microorganisms, which can then be used as a template for future systems. Currently a prototypical minimal genome has not been discovered.","21987714, 23420643, 23873957, 26539175, 22916492, 23219343, 21203957"
Which histone marks are deposited by Set7?,"Yes, Set7 deposits H3K4me1 and H3K9me1 histone marks. This is stated in the context when describing PR-Set7 (also known as Set7), a histone methyltransferase that","Context: Methylation of certain lysine residues in the N-terminal tails of core histone  proteins in nucleosome is of fundamental importance in the regulation of  chromatin structure and gene expression. Such histone modification is catalyzed, Context: now further investigated this unusual location for H3K9me3 in ZNF genes. Neither  bioinformatic nor experimental approaches support the hypothesis that the 3'  exons of ZNFs are promoters. We further characterized the histone modifications, Context: by protein lysine methyltransferases (PKMTs). PKMTs contain a conserved SET  domain in almost all of the cases and may transfer one to three methyl groups  from S-adenosyl-L-methionine (AdoMet) to the epsilon-amino group of the target, Context: histone methyltransferase PR-Set7. PR-Set7 depletion in mammalian cells results  in defective S phase progression and the accumulation of DNA damage, which has  been partially attributed to defects in origin selection and activation, Context: these two enzyme classes has drawn significant attention from the pharmaceutical  industry. Herein, the authors describe the development and optimization of  homogeneous LANCE Ultra and AlphaLISA antibody-based assays for measuring the","17517655, 21347206, 17517655, 27131378, 21940714",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?,"No, the context does not provide information on the most common monogenic cause of CVID in Europeans.","Context: BACKGROUND: Evans syndrome (ES) is a rare immune disorder in children,  manifested by simultaneous or sequential autoimmune cytopenias (ACs) of unknown  cause and having a chronic course with periods of exacerbation and remission, Context: immunodeficiency has played a critical role in the recent identification of the  molecular mechanism involved in these disorders, Context: results indicate that 3.6% of the Neanderthal genome is shared with roughly  65.4% of the average European gene pool, which clinally diminishes with distance  from Europe. Our results suggest that Neanderthal genetic associations with, Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: Some primary immunodeficiencies (PIDs) may present with autoimmune  manifestations without infections, masking suspicion of them. The PIDs that can  typically manifest as ES are autoimmune lymphoproliferative syndrome and common","28937520, 22032885, 23872234, 28054583, 28937520",Loss-of-function nuclear factor κB subunit 1 (NFKB1) variants are the most common monogenic cause of common variable immunodeficiency in Europeans.,"29477724, 30063981"
What are the targets of pemigatinib?,"Yes, the context mentions the targets of pemigatinib. Pemigatinib is a drug that targets FGFR2 fusion or rearrangement, PDGFRA, PDGFRB, FGFR1,","Context: locally advanced or metastatic cholangiocarcinoma and a FGFR2 fusion or  rearrangement that is relapsed or refractory after ≥ 1 line of systemic therapy  is underway in the EU. Pemigatinib is also undergoing clinical development in, Context: patients received a starting dose of 13·5 mg oral pemigatinib once daily (21-day  cycle; 2 weeks on, 1 week off) until disease progression, unacceptable toxicity,  withdrawal of consent, or physician decision. The primary endpoint was the, Context: for the treatment of myeloid/lymphoid neoplasms with eosinophilia and  rearrangement of PDGFRA, PDGFRB or FGFR1, or with PCM1-JAK2 in August 2019 in  the USA. A regulatory assessment for pemigatinib as a treatment for adults with, Context: frequently because of disease progression (61 [42%]); no deaths were deemed to  be treatment related. INTERPRETATION: These data support the therapeutic potential of pemigatinib in, Context: USA. The recommended dosage of pemigatinib is 13.5 mg once daily, administered  orally with or without food, on days 1-14 of a 21-day cycle until disease  progression or unacceptable toxicity. Pemigatinib received orphan designation","32472305, 32203698, 32472305, 32203698, 32472305","Pemigatinib is a small molecule inhibitor of fibroblast growth factor receptor (FGFR) 1, FGFR2 and FGFR3, received accelerated approval  for the treatment of adults with previously treated, unresectable, locally advanced or metastatic cholangiocarcinoma and a FGFR2 fusion or other rearrangement, as detected by a US FDA-approved test.","32677452, 32472305, 32203698, 32315352, 32684989"
Which de novo mutation in FGFR cause achondroplasia?,"No, the context does not provide information about which de novo mutation in FGFR causes achondroplasia.","Context: associated with tumour proliferation and invasion, as well as other genes  related to HER-2/neu expression, ER expression, and progesterone receptor (PR)  expression. RESEARCH QUESTIONS: What is the laboratory performance of Oncotype-DX?How, Context: B1-Alu gene differs markedly from a classical pol III gene (tRNAiMet) in  terminator sequence requirements. B1-Alu genes that differ only in terminator  sequence context direct differential RNA 3' end formation. These genes are, Context: commentary, we illustrate what is possible in the genomic era, and indicate what  we should expect from genetic studies in adolescent idiopathic scoliosis, a  complex trait disease, Context: criteria used for identifying human CpG islands, which suggests that these CpG  clusters may be regarded as plant CpG islands. The position of each island  relative to the 5'-end of its associated gene varied considerably. Genes in the, Context: What is the topic of this review? The topic of this review is how Tibetans have  adapted genetically to high altitude, particularly with reference to  altitude-induced changes in metabolism. What advances does it highlight? It","23074401, 9748291, 17534191, 11489175, 26053282","Recurrent missense mutations in a CpG doublet of the transmembrane domain of the FGFR3 protein (glycine substituted with arginine at residue 380, G380R).",8078586
