question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"The implication of histone lysine methylation in medulloblastoma is that it can lead to gene silencing, including RASSF1A expression. This is because 5-aza-2'-deoxycytidine treatment restored","Context: transcription in medulloblastoma cell lines, and RASSF1A expression in these  lines was restored after treatment with the DNA-methyltransferase inhibitor  5-aza-2'-deoxycytidine. No evidence was found of RASSF1A inactivation by genetic, Context: pathogenesis of medulloblastoma","12384556, 19270706","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which lncRNAS are regulated by SAM68?,I don't know the answer.,"Context: Long non-coding RNAs (lncRNAs) were recently shown to regulate chromatin  remodelling activities. Their function in regulating gene expression switching  during specific developmental stages is poorly understood. Here we describe a, Context: Long noncoding RNAs (lncRNAs) have been attracting immense research interest,  while only a handful of lncRNAs have been characterized thoroughly. Their  involvement in the fundamental cellular processes including regulate gene","24196393, 23756188","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
Describe RIblast,"RIblast is a tool used for multiple sequence alignment. It can handle different types of samples and has a large number of built-in properties, making it easier to formulate biological sequences.","Context: for data analysis. © 2018 by John Wiley & Sons, Inc, Context: problem, all these tools, however, can only handle one type of samples.  Furthermore, the number of their built-in properties is limited, and hence it is  often difficult for users to formulate the biological sequences according to","29979818, 25958395","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Give an overview of visualizing genomes with oligopaint FISH probes.,"To visualize genomes with oligopaint FISH probes, specific DNA sequences (oligopaints) are designed to target unique regions of the genome. These probes are then labeled with fluorescent tags and hybridized to the chromosomes in a sample. The","Context: initial screening test for tumour specific aberrations. In murine models of  human carcinogenesis, however, karyotype analysis is technically demanding  because mouse chromosomes are acrocentric and of similar size. Fluorescence in, Context: Species-specific sets of chromosomes-karyotypes-are traditionally depicted as  linear ideograms with individual chromosomes represented by vertical bars.  However, linear visualization has its limitations when the shared collinearity","8896561, 26791998","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
Which histone marks are deposited by Set7?,H4 Lys 20.,"Context: We describe distinct patterns of histone methylation during human cell cycle  progression. Histone H4 methyltransferase activity was found to be cell  cycle-regulated, consistent with increased H4 Lys 20 methylation at mitosis, Context: active gene transcription in meiotic and post-meiotic cells. In addition,  H4K8ac-associated genes are included in and constitute only a subfraction of  H4K8hib-labeled genes. The histone Khib mark is conserved and widely","12208845, 24681537",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What are the targets of pemigatinib?,"PDGFRA, PDGFRB, FGFR1, PCM1-JAK2.","Context: for the treatment of myeloid/lymphoid neoplasms with eosinophilia and  rearrangement of PDGFRA, PDGFRB or FGFR1, or with PCM1-JAK2 in August 2019 in  the USA. A regulatory assessment for pemigatinib as a treatment for adults with, Context: various countries worldwide for use in several other FGFR-driven malignancies  (e.g. solid tumour, urothelial carcinoma). This article summarizes the  milestones in the development of pemigatinib leading to this first approval for","32472305, 32472305","Pemigatinib is a small molecule inhibitor of fibroblast growth factor receptor (FGFR) 1, FGFR2 and FGFR3, received accelerated approval  for the treatment of adults with previously treated, unresectable, locally advanced or metastatic cholangiocarcinoma and a FGFR2 fusion or other rearrangement, as detected by a US FDA-approved test.","32677452, 32472305, 32203698, 32315352, 32684989"
How do HBS1L-MYB intergenic variants regulate fetal hemoglobin?,"The HBS1L-MYB intergenic variant is associated with increased expression of the HBS1L gene, which in turn leads to increased production of fetal hemoglobin (HbF) through a cis-regulatory effect. This results in","Context: and the development of severe anemia. Current treatment of this disease involves  regular blood transfusion and adjunct chelation therapy to lower blood  transfusion-induced iron overload. Fetal hemoglobin switching agents have been, Context: fetal haemoglobin reactivation in patients","17041717, 20201948","HBS1L-MYB intergenic variants modulate fetal hemoglobin via long-range MYB enhancers. Several HBS1L-MYB intergenic variants affect regulatory elements that are occupied by key erythroid transcription factors within this region. These elements interact with MYB, a critical regulator of erythroid development and HbF levels. Several HBS1L-MYB intergenic variants reduce transcription factor binding, affecting long-range interactions with MYB and MYB expression levels.",24614105
Is avelumab effective for bladder cancer?,No.  The context does not mention avelumab as an option for treatment. It discusses BCG (Bacillus Calmette-Guérin) therapy for bladder cancer patients.,"Context: with T1 high-grade NMIBC fitting the new definition of BCG-unresponsive disease,  that is, persistent high-grade disease at 6-12mo, despite an adequate course of  induction and maintenance with BCG. PATIENT SUMMARY: When T1 high-grade, Context: follow-up treatment of bladder cancer patients","31307960, 19181545","Yes, avelumab is effective treatment of bladder cancer.","29103968, 29606979, 29784744, 29644490, 28864844, 28493171, 29540084, 29069302, 28214651, 29416316, 28982750"
HER-2 belongs to what family of proteins?,The EGFR family.   This is because the context mentions that HER-2/neu is a transmembrane protein belonging to the EGFR family.,"Context: HER-2/neu, also known as c-erbB-2/neu, is an oncogene located in chromosome 17  which encodes HER-2/neu, a transmembrane protein belonging to the EGFR family.  The external domain of this protein is released by the cell and can be studied, Context: Metastatic breast cancer is an incurable disease in a very high percentage of  patients. Despite new progress in endocrine and other systemic therapies, this  evidence remains challenging for patients and clinicians. HER2 protein is a","22505536, 16800251",Her-2 belongs to the family of the human epidermal growth factor receptors (EGFRs).,"16707458, 26545934, 15173008, 27993109, 30312728, 15920544, 21896992, 33202212, 11785652, 17536308, 15782071, 11694782, 22505536, 17867585, 12767812, 25620423, 27426127, 30384340, 10480346, 11180765, 19048033, 7612897, 21805036, 19279475, 29389942, 16800251, 18505086"
Which company developed eptinezumab?,I don't know the answer.,"Context: undetermined amounts of malathion over the median nerve trace on the forearm  crease in a suicide attempt which resulted in peripheral neuropathy, Context: from case-patient specimens and a toxin sample. RESULTS: Clinical characteristics of the 4 case-patients were consistent with  those of naturally occurring botulism. All case-patients had been injected with","18780003, 17119144",Eptinezumab was developed by Lundbeck Seattle BioPharmaceuticals.,32266704
