question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,The defective control of the histone code contributes to the pathogenesis of medulloblastoma. Restoration of expression of genes controlling H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro.,"Context: known tumor suppressor genes (TSG), most not previously implicated in  medulloblastoma. Notably, we identified previously unknown amplifications and  homozygous deletions, including recurrent, mutually exclusive, highly focal  genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in  determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro. Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the pathogenesis of medulloblastoma, Context: and Wnt developmental pathways is associated with medulloblastoma, but  deregulation of other molecular pathways, including insulin-like growth factor  (IGF) signaling, has also been implicated in the pathogenesis of the tumor.  Recent observations in mouse models have demonstrated the importance of genome  surveillance, as defects in DNA repair pathways in animals can lead to genomic  instability in neural progenitor cells, resulting in medulloblastoma. The  current review will focus on the most recent findings on the molecular pathology  of medulloblastoma and discuss their potential contribution to treatments  directed by the molecular alterations","19270706, 19747111","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which lncRNAS are regulated by SAM68?,"Hotair, Mir155hg, SR-lncRNA-1, and SR-lncRNA-2. These lncRNAs contain consensus Sam68 binding sites and their stability is affected by Sam68 deficiency.","Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the  half-life of Hotair, and increased the half-lives of Mir155hg and SR-lncRNA-2,  while the stability of SR-lncRNA-1 was unaffected. Depletion of Hotair and  SR-lncRNA-1 in wild type 3T3-L1 cells led to defects in adipogenesis, whereas  depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation, Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As  expected, downregulated genes were significantly associated with GO terms linked  to cell migration, motility, and fat cell differentiation, while upregulated  genes were mostly associated with GO terms linked to neurogenesis. Of the  lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the half-life of Hotair, and increased the half-lives of Mir155hg and SR-lncRNA-2,  while the stability of SR-lncRNA-1 was unaffected. Depletion of Hotair and  SR-lncRNA-1 in wild type 3T3-L1 cells led to defects in adipogenesis, whereas depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation","29137239, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
Describe RIblast,"RIblast is a tool for rapid identification of weak similarity in large nucleotide sequence datasets. It was developed as an alternative to existing alignment tools such as BLAST and BLAT, which were found to be too slow for metagenomic analyses with next","Context: of viruses and phages, and in prokaryotic metagenomic sequences, as well as in  EST sequences with spliced-out introns. These bioinformatics tools were  demonstrated to have state-of-the-art accuracy and have been frequently used for  gene annotation in novel nucleotide sequences. An additional advantage of these  sequence-analysis tools is that the problem of algorithm parameterization is  solved automatically, with parameters estimated by iterative self-training  (unsupervised training), Context: BACKGROUND: Metagenomics is a powerful methodology to study microbial  communities, but it is highly dependent on nucleotide sequence similarity  searching against sequence databases. Metagenomic analyses with next-generation  sequencing technologies produce enormous numbers of reads from microbial  communities, and many reads are derived from microbes whose genomes have not yet  been sequenced, limiting the usefulness of existing sequence similarity search  tools. Therefore, there is a clear need for a sequence similarity search tool  that can rapidly detect weak similarity in large datasets. RESULTS: We developed a tool, which we named CLAST (CUDA implemented large-scale alignment search tool), that enables analyses of millions of reads and thousands  of reference genome sequences, and runs on NVIDIA Fermi architecture graphics  processing units. CLAST has four main advantages over existing alignment tools. First, CLAST was capable of identifying sequence similarities ~80.8 times faster  than BLAST and 9.6 times faster than BLAT. Second, CLAST executes global  alignment as the default (local alignment is also an option), enabling CLAST to","21901741, 25495907","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Give an overview of visualizing genomes with oligopaint FISH probes.,Oligopaint probes are used to visualize genomic regions ranging in size from tens of kilobases to many megabases using Fluorescence In Situ Hybridization (FISH). This allows for the precise localization and measurement of large genomic structures,"Context:  Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint probes can be synthesized using basic molecular biological techniques, and  provides protocols for FISH, 3D-FISH, and sample preparation, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint  probes can be synthesized using basic molecular biological techniques, and  provides protocols for FISH, 3D-FISH, and sample preparation","24510436, 24510436","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
Which histone marks are deposited by Set7?,I don't know the answer.,"Context: show that, in vitro, TFL2/LHP1 binds to histone H3 di- or tri-methylated at  lysine 9 (H3K9me2 or H3K9me3), the marks recognized by HP1, and to histone H3  trimethylated at lysine 27 (H3K27me3), the mark deposited by PRC2. However, in  vivo TFL2/LHP1 association with chromatin occurs almost exclusively and  co-extensively with domains marked by H3K27me3, but not H3K9me2 or -3. Moreover,  the distribution of H3K27me3 is unaffected in lhp1 mutant plants, indicating  that unlike PRC2 components, TFL2/LHP1 is not involved in the deposition of this  mark. Rather, our data suggest that TFL2/LHP1 recognizes specifically H3K27me3  in vivo as part of a mechanism that represses the expression of many genes  targeted by PRC2, Context: histone code will require a complete understanding of all the modifications that  putatively contribute to it. Here, using the top-down mass spectrometry approach  for identifying PTMs on full-length histones, we report that lysine 37 of  histone H2B is dimethylated in the budding yeast Saccharomyces cerevisiae. By  generating a modification-specific antibody and yeast strains that harbor  mutations in the putative site of methylation, we provide evidence that this  mark exist in vivo. Importantly, we show that this lysine residue is highly  conserved through evolution, and provide evidence that this methylation event  also occurs in higher eukaryotes. By identifying a novel site of histone methylation, this study adds to our overall understanding of the complex number  of histone modifications that contribute to chromatin function","17542647, 21249157",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What are the targets of pemigatinib?,"The targets of pexidartinib (not pemigatinib) are CSF1 receptor, KIT proto-oncogene receptor tyrosine kinase (KIT), and FMS-like tyrosine kinase 3 harboring an internal tandem","Context: Conventional cancer treatment modalities have several limitations including lack  of sufficient efficacy, serious untoward toxicity, as well as innate and  acquired drug resistance. In contrast, targeted imaging agents can identify  patients with receptors overexpressed on the surface of cancer cells, thus  allowing appropriate selection of patients for personalized treatment with a  desirable targeted therapeutic. The folate receptor (FR) has been identified as a new molecularly targeted entity, which is highly overexpressed on the surface  of a spectrum of solid tumor cells, including ovarian, kidney, lung, brain,  endometrial, colorectal, pancreatic, gastric, prostate, testicular, bladder, head and neck, breast, and non-small cell lung cancer. Folic acid conjugation is  a novel approach for targeting FR-expressing tissues for personalized treatment.  With the development of FRα-targeted therapies comes a concomitant prerequisite, Context: Pexidartinib (TURALIO™) is an orally administered small molecule tyrosine kinase  inhibitor with selective activity against the colony-stimulating factor 1 (CSF1)  receptor, KIT proto-oncogene receptor tyrosine kinase (KIT) and FMS-like  tyrosine kinase 3 harboring an internal tandem duplication mutation (FLT3-ITD).  In August 2019, the US FDA approved pexidartinib capsules for the treatment of  adult patients with symptomatic tenosynovial giant cell tumor (TGCT) associated  with severe morbidity or functional limitations and not amenable to improvement  with surgery. This approval was based on positive results from the phase III  ENLIVEN trial. Pexidartinib is being investigated in various malignancies as monotherapy or combination therapy. This article summarizes the milestones in  the development of pexidartinib leading to its first approval for TGCT","25457975, 31602563","Pemigatinib is a small molecule inhibitor of fibroblast growth factor receptor (FGFR) 1, FGFR2 and FGFR3, received accelerated approval  for the treatment of adults with previously treated, unresectable, locally advanced or metastatic cholangiocarcinoma and a FGFR2 fusion or other rearrangement, as detected by a US FDA-approved test.","32677452, 32472305, 32203698, 32315352, 32684989"
How do HBS1L-MYB intergenic variants regulate fetal hemoglobin?,I don't know the answer.,"Context: amniotic fluid optical density readings were found in four samples (29%).  Overall, 12 of 54 fetuses (22%) with increased bowel echogenicity had a  detectable peak at 410 nm. Three of the 12 (25%) fetuses with echogenic bowel  and positive readings for hemoglobin were chromosomally abnormal. CONCLUSIONS: Fetal small bowel echogenicity is associated with the presence of  heme pigments in amniotic fluid as determined by amniotic fluid optical density  at 410 nm. Swallowing of amniotic fluid after intraamniotic bleeding seems  implicated in the etiology of second-trimester echogenic bowel in both euploid  and aneuploid fetuses, Context: switch in haemoglobin expression, as well as the fetal to adult switch that is  unique to humans and old world monkeys. We discuss the nature of these switches  and models of their regulation. The factors that have been suggested to regulate  this process are then discussed. With the increased understanding and discovery  of molecular regulators of haemoglobin switching, such as BCL11A, new avenues of  research may lead ultimately to novel therapeutic, mechanism-based approaches to  fetal haemoglobin reactivation in patients","8633653, 20201948","HBS1L-MYB intergenic variants modulate fetal hemoglobin via long-range MYB enhancers. Several HBS1L-MYB intergenic variants affect regulatory elements that are occupied by key erythroid transcription factors within this region. These elements interact with MYB, a critical regulator of erythroid development and HbF levels. Several HBS1L-MYB intergenic variants reduce transcription factor binding, affecting long-range interactions with MYB and MYB expression levels.",24614105
Is avelumab effective for bladder cancer?,"No. The context only mentions BCG vaccine as the main treatment for non-muscle-invasive bladder cancer (NMIBC), with no mention of avelumab.","Context: Intravesical immunotherapy with bacille Calmette-Guérin (BCG) vaccine is the  main treatment for non-muscle-invasive bladder cancer (NMIBC), with proven  effects on reducing recurrence, progression, and death from NMIBC. However, it  is not effective in all patients, and recurrence after adequate BCG therapy can  frequently lead to progression to more life-threatening disease. This  point-counterpoint review considers how to treat a healthy 60-yr-old patient  with T1 high-grade NMIBC fitting the new definition of BCG-unresponsive disease,  that is, persistent high-grade disease at 6-12mo, despite an adequate course of  induction and maintenance with BCG. PATIENT SUMMARY: When T1 high-grade non-muscle-invasive bladder cancer is persistent or recurs shortly after a full  course of bacille Calmette-Guérin (BCG) plus maintenance, further BCG is not  likely to work; this meets the new definition of a ""BCG unresponsive"" disease. For this situation, the safest (curative) option is removal of the bladder. If  that is not an accepted alternative, then a clinical trial or combination  intravesical chemotherapy or hyperchemotherapy may be another option, Context: cancers. Importantly, hypermethylation was detected in the urine DNA of 90%  (18/20) superficial tumors with negative or atypia cytology. CONCLUSIONS: Hypermethylation of E-cadherin, p14 or RASSF1A in urine sediment  DNA is a potential biomarker for detecting superficial, low grade cancer.  Besides, hypermethylation of these 3 genes is a valuable adjunct diagnostic  marker to urine cytology, which can enhance the diagnostic accuracy and  follow-up treatment of bladder cancer patients","31307960, 19181545","Yes, avelumab is effective treatment of bladder cancer.","29103968, 29606979, 29784744, 29644490, 28864844, 28493171, 29540084, 29069302, 28214651, 29416316, 28982750"
HER-2 belongs to what family of proteins?,The EGFR (Epidermal Growth Factor Receptor) family.,"Context:  HER-2/neu, also known as c-erbB-2/neu, is an oncogene located in chromosome 17  which encodes HER-2/neu, a transmembrane protein belonging to the EGFR family.  The external domain of this protein is released by the cell and can be studied in serum by immunoassay. HER-2/neu in serum is a specific tumor marker and only  slight elevations may be found in the absence of malignancy, mainly in  association with liver diseases. Likewise, the highest concentrations of this oncoprotein are found in patients with breast cancer, but lower concentrations  may be found in other malignancies, particularly ovarian, prostate and lung  cancer (mainly adenocarcinomas). HER-2/neu assay sensitivity in patients with, Context:  Metastatic breast cancer is an incurable disease in a very high percentage of  patients. Despite new progress in endocrine and other systemic therapies, this  evidence remains challenging for patients and clinicians. HER2 protein is a member of the epidermal growth factor family of transmembrane receptors. HER2 is  overexpressed in approximately 20% to 30% of breast cancers. Overexpression of  HER2 has been shown to be associated with increased tumor proliferation and relative resistance to some types of chemotherapy and hormonal therapies.  Trastuzumab, a humanized monoclonal antibody directed against HER2 protein, has  been shown to be an efficacious and well tolerated treatment for","22505536, 16800251",Her-2 belongs to the family of the human epidermal growth factor receptors (EGFRs).,"16707458, 26545934, 15173008, 27993109, 30312728, 15920544, 21896992, 33202212, 11785652, 17536308, 15782071, 11694782, 22505536, 17867585, 12767812, 25620423, 27426127, 30384340, 10480346, 11180765, 19048033, 7612897, 21805036, 19279475, 29389942, 16800251, 18505086"
Which company developed eptinezumab?,I don't know the answer.,"Context: Immunotherapy Research & Development, LLC. JB serves as a neuroradiological  consultant to SYNARC Inc., an imaging contract research organization contracted  by both sponsor companies (Janssen Alzheimer Immunotherapy Research &  Development, LLC. and Pfizer Inc.); he also serves as a consultant to Janssen  Alzheimer Immunotherapy Research & Development, LLC. for non-clinical research  activities. NF has provided consulting and/or image analysis services to Elan  Corporation, plc., Janssen Alzheimer Immunotherapy Research & Development, LLC.,  Pfizer Inc., and Wyeth Pharmaceuticals as well as to AstraZeneca, Bristol-Myers  Squibb, Eli Lilly and Company, GE Healthcare, Lundbeck A/S, and IXICO. MR serves as consultant to Janssen Alzheimer Immunotherapy Research & Development, LLC. MS  participates in a consulting/advisory capacity for Eli Lilly and Company,  Amerisciences, Takeda Pharmaceuticals Inc., Eisai Co., Ltd., Pfizer Inc., and GlaxoSmithKline plc. and receives royalties from Wiley and AmeriSciences, LP. He  receives contracting fees/grants from Celgene Corporation, Ceregene, Inc., Bayer  AG, Baxter International Inc., Bristol-Myers Squibb, Eli Lilly and Company,, Context: Since 2010, mAbs has documented the biopharmaceutical industry's progress in  transitioning antibody therapeutics to first Phase 3 clinical studies and  regulatory review, and its success at gaining first marketing approvals for  antibody-based products. This installment of the ""Antibodies to watch"" series  outlines events anticipated to occur between December 2013 and the end of 2014,  including first regulatory actions on marketing applications for vedolizumab, siltuximab, and ramucirumab, as well as the Fc fusion proteins Factor IX-Fc and  Factor VIII-Fc; and the submission of first marketing applications for up to  five therapeutics (secukinumab, ch14.18, onartuzumab, necitumumab, gevokizumab). Antibody therapeutics in Phase 3 studies are described, with an emphasis on  those with study completion dates in 2014, including antibodies targeting  interleukin-17a or the interleukin-17a receptor (secukinumab, ixekizumab,","22305802, 24284914",Eptinezumab was developed by Lundbeck Seattle BioPharmaceuticals.,32266704
