question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Yes, histone lysine methylation has implications in medulloblastoma. Specifically, H3K9 methylation plays a role in controlling the proliferation of medulloblastoma cells. Moreover, recent studies","Context: critical genes in its development, we profiled the promoter methylation status  of 11 candidate tumour-suppressor genes (TSGs; p14(ARF), p15(INK4b), p16(INK4a),  CASP8, HIC1, EDNRB, TIMP3, TP73, TSLC1, RIZ1 and RASSF1A) in medulloblastoma, Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro., Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels","14688019, 19270706, 23179372, 23179372","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which human gene encode for DNA polymerase θ?,"Yes, the POLQ gene encodes for DNA polymerase θ in humans. This is explicitly stated in the context, as it mentions that pol θ is encoded by the POLQ gene in mammalian genomes.","Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional, Context: insertion elements relative to prokaryotic homologs. The N-terminal third is a  helicase-like domain with DNA-dependent ATPase activity. Pol θ is important in  the repair of genomic double-strand breaks (DSBs) from many sources. These, Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated, Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated","27264557, 27264557, 28668117, 28668117",DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by the POLQ gene in mammalian genomes,"27264557, 28668117"
Which lncRNAS are regulated by SAM68?,"Yes, Hotair, Mir155hg, SR-lncRNA-1, and SR-lncRNA-2 are lncRNAs regulated by Sam68. This information is explicitly stated in the","Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation., Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the","29137239, 29137239, 29137239, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
What is ectopia lentis?,"Yes, ectopia lentis is a condition where the lens of the eye is not in its normal position. This occurs due to the disruption of the zonular fibers that hold the lens in place, leading to subl","Context: PURPOSE: To identify the genetic defect in an autosomal dominant isolated  ectopia lentis (EL) family. METHODS: Detailed family history and clinical data were collected from the  family including sixteen patients with isolated EL. Blood samples of nine, Context: for a correlation of R240C and isolated ectopia lentis. In addition, this is the  first report of molecular characterization in an ectopia lentis family of Indian  origin., Context: Ectopia lentis (EL) is a condition that can either herald underlying systemic  conditions, or be isolated. The recent expansion in the genetics of these  conditions has furthered the understanding of the underlying molecular, Context: Ectopia lentis is a genetically heterogeneous condition that is characterized by  the subluxation of the lens resulting from the disruption of the zonular fibers.  Patients with ectopia lentis commonly present with a marked loss in visual","22539873, 18079676, 24406422, 19200529",Ectopia Lentis is dislocation of the optic lens in the eye.,"25939784, 19200529, 25797933"
Describe RIblast,"Yes, RIblast is a program that achieves a level of prediction accuracy similar to existing programs for a specific task. The advantage of RIblast is its speed, which is over 64 times faster than existing programs. It","Context: essential for hypoxic survival in M. tuberculosis, but it is not known how the  regulon promotes survival. Here we report that mycobacteria, in contrast to  enteric bacteria, do not form higher-order structures (e.g. ribosomal dimers), Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available","22544737, 28459942, 28459942, 28459942","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Are piRNAs involved in gene silencing?,"Yes, according to the context, piRNAs are indeed involved in a posttranscriptional gene-silencing mechanism. This is demonstrated by their role in causing RNA nuclear accumulation when transcripts are transported toward the oocy","Context: piRNAs have investigated piRNA-mediated gene silencing, including piRNA  biogenesis. However, piRNAs remain the most enigmatic among all of the  silencing-inducing small RNAs because of their complexity and uniqueness., Context: transcripts are transported toward the oocyte where retrotransposition occurs.  Our results indicate that piRNAs are involved in a posttranscriptional  gene-silencing mechanism resulting in RNA nuclear accumulation., Context: piRNAs have investigated piRNA-mediated gene silencing, including piRNA  biogenesis. However, piRNAs remain the most enigmatic among all of the  silencing-inducing small RNAs because of their complexity and uniqueness., Context: entire transcriptome. To determine the capacity of piRNA-mediated silencing, we  introduced reporter genes into Drosophila OSS cells, which express microRNAs  (miRNAs) and piRNAs, and compared the Piwi pathway to the Argonaute pathway in","23124062, 18809914, 23124062, 25336588",Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.,"24178563, 20439430, 25336588, 21775629, 23625890, 21764773, 25842866, 18809914, 20559422, 26279487, 23465540, 20080197, 26302790, 26472911, 23124062, 23392610, 24939875, 23132912, 25313140, 24288375, 17872506"
Give an overview of visualizing genomes with oligopaint FISH probes.,"Yes, Oligopaint FISH probes are used for visualizing genomic regions. They are single-stranded DNA oligonucleotides that are fluorescently labeled. The process involves an oligonucle","Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: technologies reconstruct intermolecular interactions, others have enhanced our  ability to visualize chromosomes in situ. Here, we describe an oligonucleotide-  and PCR-based strategy for fluorescence in situ hybridization (FISH) and a, Context: technologies reconstruct intermolecular interactions, others have enhanced our  ability to visualize chromosomes in situ. Here, we describe an oligonucleotide-  and PCR-based strategy for fluorescence in situ hybridization (FISH) and a","24510436, 24510436, 23236188, 23236188","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
What is the minimal genome build?,"No, the context does not provide information on what the minimal genome build is. The context only mentions that the concept of a minimal genome represents a pragmatic approach to determining how few genes are required to run a cell and that this","Context: single protein-coding gene is entirely conserved. Furthermore, a lack of  consensus in the field as to what attributes make a gene truly essential adds  another aspect of variation. Thus, a universal minimal genome remains elusive., Context: The minimal cell concept represents a pragmatic approach to the question of how  few genes are required to run a cell. This is a helpful way to build a  parts-list, and has been more successful than attempts to deduce a minimal gene, Context: minimal genome and the potential applications are introduced., Context: minimal genome and the potential applications are introduced.","23219343, 26539175, 22916492, 22916492","The identification of the essential genes of bacteria and the minimal genome for the free-living cellular life could provide insights into the origin, evolution, and essence of life forms. The field of Synthetic Biology seeks to apply engineering principles to biology in order to produce novel biological systems. One approach to accomplish this goal is the genome-driven cell engineering approach, which searches for functioning minimal genomes in naturally occurring microorganisms, which can then be used as a template for future systems. Currently a prototypical minimal genome has not been discovered.","21987714, 23420643, 23873957, 26539175, 22916492, 23219343, 21203957"
Which histone marks are deposited by Set7?,"Yes, Set7 deposits the H4K8ac mark on histones. This is stated in the context where it mentions that H4K8ac-associated genes are a subfraction of H4K8hib-label","Context: active gene transcription in meiotic and post-meiotic cells. In addition,  H4K8ac-associated genes are included in and constitute only a subfraction of  H4K8hib-labeled genes. The histone Khib mark is conserved and widely, Context: We describe distinct patterns of histone methylation during human cell cycle  progression. Histone H4 methyltransferase activity was found to be cell  cycle-regulated, consistent with increased H4 Lys 20 methylation at mitosis., Context: histone methyltransferase PR-Set7. PR-Set7 depletion in mammalian cells results  in defective S phase progression and the accumulation of DNA damage, which has  been partially attributed to defects in origin selection and activation., Context: the N-terminus of histone H3. In addition, the SET7/9 assay was demonstrated  using full-length histone H3 protein as substrate in the AlphaLISA format.  Optimized assays in 384-well plates are robust (Z' factors ≥0.7) and sensitive,","24681537, 12208845, 27131378, 21940714",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?,"No, the context does not provide information about the most common monogenic cause of CVID in Europeans. The context only mentions that mutations of the parkin gene on chromosome 6 cause autosomal recessive","Context: RESULTS: Of 3022 participants, SCT classified into 364 (12%) SE, 1053 (34.8%)  SY, 1605 (53.1%) TE, and no TY. Three hundred seventy nine (16%) newly developed  CVD during the following period, yielding 10-year cumulative incidence of, Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: Mutations of the parkin gene on chromosome 6 cause autosomal recessive, early  onset parkinsonism. This is the most frequent form of monogenic parkinsonism so  far identified. The associated phenotypical spectrum encompasses early onset,, Context: Mutations of the parkin gene on chromosome 6 cause autosomal recessive, early  onset parkinsonism. This is the most frequent form of monogenic parkinsonism so  far identified. The associated phenotypical spectrum encompasses early onset,","24290090, 28054583, 11487197, 11487197",Loss-of-function nuclear factor κB subunit 1 (NFKB1) variants are the most common monogenic cause of common variable immunodeficiency in Europeans.,"29477724, 30063981"
