question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Yes, histone lysine methylation has implications in medulloblastoma. Specifically, H3K27 methylation appears to play a role in medulloblastomas of Group 3 and Group 4,","Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the, Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels","23179372, 19270706, 23179372, 23179372, 23179372","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
Which human gene encode for DNA polymerase θ?,"Yes, the POLQ gene encodes for DNA polymerase θ in humans. This is explicitly stated in the context, as it mentions that Pol θ is encoded by the POLQ gene in mammalian genomes.","Context: Electronic PCR, OrfFinder, Splign, ProSplign, RefSeq, UniGene, HomoloGene,  ProtEST, dbMHC, dbSNP, dbVar, Epigenomics, Cancer Chromosomes, Entrez Genomes  and related tools, the Map Viewer, Model Maker, Evidence Viewer, Trace Archive,, Context: DNA polymerase theta (pol θ) is encoded in the genomes of many eukaryotes,  though not in fungi. Pol θ is encoded by the POLQ gene in mammalian cells. The  C-terminal third of the protein is a family A DNA polymerase with additional, Context: DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by  the POLQ gene in mammalian genomes. Pol θ is the defining enzyme for a pathway  of DSB repair termed ""alternative end-joining"" (altEJ) or ""theta-mediated, Context: of DNA polymerase III., Context: DNA polymerase θ protects against genomic instability via an alternative  end-joining repair pathway for DNA double-strand breaks. Polymerase θ is  overexpressed in breast, lung and oral cancers, and reduction of its activity in","21097890, 27264557, 28668117, 16083981, 25775267",DNA polymerase theta (pol θ) is an evolutionarily conserved protein encoded by the POLQ gene in mammalian genomes,"27264557, 28668117"
Which lncRNAS are regulated by SAM68?,"Yes, there are four lncRNAs regulated by Sam68. They are Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1 and SR","Context: 210 831. Owing to similar alternative splicing pattern to mRNAs, the concept of  lncRNA genes was put forward to help systematic understanding of lncRNAs. The 56  018 and 46 475 lncRNA genes were generated from 95 135 and 67 628 lncRNAs for, Context: depletion of SR-lncRNA-2 in Sam68-deficient 3T3-L1 cells partially rescued the  adipogenesis defect observed in these cells. Collectively, our findings define a  new role for Sam68 as a regulator of lncRNAs during adipogenic differentiation., Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: lncRNAs, we identified Hotair, Mir155hg, as well as two new lncRNAs (SR-lncRNA-1  and SR-lncRNA-2) that were regulated by Sam68, and contained consensus Sam68  binding sites. RNA stability assays showed that Sam68-deficiency decreased the, Context: alternative splicing. Herein we profiled the transcriptome of Sam68 wild type  and deficient 3T3-L1 mouse preadipocytes. We identified 652 protein-coding genes  and 9 ncRNAs that were significantly altered with the loss of Sam68. As","24285305, 29137239, 29137239, 29137239, 29137239","Hotair, Mir155hg, as well as SR-lncRNA-1 and SR-lncRNA-2 are regulated by Sam68, and contained consensus Sam68 binding sites.",29137239
What is ectopia lentis?,"Yes, ectopia lentis is a condition where the lens of the eye is not in its normal position. It can either be an isolated issue or a sign of underlying systemic conditions. The recent expansion in genetics has helped understand","Context: Ectopia lentis (EL) is a condition that can either herald underlying systemic  conditions, or be isolated. The recent expansion in the genetics of these  conditions has furthered the understanding of the underlying molecular, Context: for a correlation of R240C and isolated ectopia lentis. In addition, this is the  first report of molecular characterization in an ectopia lentis family of Indian  origin., Context: Annular ligament displacement (ALD)--also termed radial head subluxation,  nursemaid's elbow, or pulled elbow--can be successfully diagnosed and treated  over the telephone by properly trained medical professionals instructing, Context: the new term annular ligament displacement as well as areas for additional  investigation are discussed. To our knowledge, this is the first published  account of ALD reduction via telephone., Context: The paper deals with the displacement of the uterus observed during management  of Malgaigne type pelvic fracture in a 33 years old female. An intrauterine  device seen on the radiographs revealed displacement of the uterus towards","24406422, 18079676, 12093966, 12093966, 7555349",Ectopia Lentis is dislocation of the optic lens in the eye.,"25939784, 19200529, 25797933"
Describe RIblast,"Yes, RIblast is an ultrafast RNA-RNA interaction prediction tool that uses a seed-and-extension approach. It first discovers seed regions using suffix arrays and then extends those regions based on an RNA secondary structure energy","Context: autosomal-recessive encephalopathy in children that is characterized by  mutations in numerous nucleic acid repair enzymes and elevated IFN levels.  Phenotypically, patients with AGS and SLE share many similarities. Ribonuclease, Context: RIblast achieves a level of prediction accuracy similar to those of existing  programs, but at speeds over 64 times faster than existing programs. AVAILABILITY AND IMPLEMENTATION: The source code of RIblast is freely available, Context: indispensable technique. However, the high computational costs of existing  RNA-RNA interaction prediction tools prevent their application to large-scale  lncRNA datasets. RESULTS: Here, we present 'RIblast', an ultrafast RNA-RNA interaction prediction, Context: method based on the seed-and-extension approach. RIblast discovers seed regions  using suffix arrays and subsequently extends seed regions based on an RNA  secondary structure energy model. Computational experiments indicate that, Context: at https://github.com/fukunagatsu/RIblast . CONTACT: t.fukunaga@kurenai.waseda.jp or mhamada@waseda.jp. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online.","25500879, 28459942, 28459942, 28459942, 28459942","LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",28459942
Are piRNAs involved in gene silencing?,"Yes, according to the context, piRNAs are indeed involved in gene silencing. They play a role in a posttranscriptional gene-silencing mechanism that results in RNA nuclear accumulation. Additionally, they protect essential genes from","Context: piRNAs have investigated piRNA-mediated gene silencing, including piRNA  biogenesis. However, piRNAs remain the most enigmatic among all of the  silencing-inducing small RNAs because of their complexity and uniqueness., Context: transcripts are transported toward the oocyte where retrotransposition occurs.  Our results indicate that piRNAs are involved in a posttranscriptional  gene-silencing mechanism resulting in RNA nuclear accumulation., Context: RNAi, we uncovered a role for piRNAs in protecting essential genes from RNA  silencing., Context: RNAi, we uncovered a role for piRNAs in protecting essential genes from RNA  silencing., Context: piRNAs silence foreign genes, such as transposons, to preserve genome integrity,  but they also target endogenous mRNAs by mechanisms that are poorly understood.  Caenorhabditis elegans piRNAs interact with both transposon and nontransposon","23124062, 18809914, 26279487, 26279487, 26279487",Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.,"24178563, 20439430, 25336588, 21775629, 23625890, 21764773, 25842866, 18809914, 20559422, 26279487, 23465540, 20080197, 26302790, 26472911, 23124062, 23392610, 24939875, 23132912, 25313140, 24288375, 17872506"
Give an overview of visualizing genomes with oligopaint FISH probes.,"Yes, oligopaint FISH (Fluorescence In Situ Hybridization) probes can be used to visually represent genomes. Oligopaint probes are single-stranded DNA oligonucleot","Context: efforts there still exists a shortage of tools dedicated to visualizing the  genome. Creating a tool that can accurately visualize the genome can aid  researchers by highlighting structural relationships that may not be obvious, Context: CONCLUSION: We have developed an online system for the identification and  visualization of synteny blocks among multiple genomes. The system is freely  available at (http://genome.sfu.ca/orthoclusterdb/)., Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint, Context: Oligopaint probes are fluorescently labeled, single-stranded DNA  oligonucleotides that can be used to visualize genomic regions ranging in size  from tens of kilobases to many megabases. This unit details how Oligopaint","26868282, 19549318, 24510436, 24510436, 24510436","Oligopaint probes are fluorescently labeled, single-stranded DNA oligonucleotides that can be used to visualize genomic regions ranging in size from tens of kilobases to many megabases. Coupled with fluorescence in situ hybridization (FISH) and a bioinformatic platform, this technology could be extended to any organism whose genome has been sequenced. The oligonucleotide probes are renewable, highly efficient, and able to robustly label chromosomes in cell culture, fixed tissues, and metaphase spreads. The method gives researchers precise control over the sequences they target and allows for single and multicolor imaging of chromosomal regions. It is anticipated that this technology will lead to an enhanced ability to visualize interphase and metaphase chromosomes.","24510436, 23236188"
What is the minimal genome build?,"No, the context does not provide enough details about what the minimal genome build is. The text mentions that there isn't a functioning minimal genome in naturally occurring microorganisms that can be used as a template for future systems. Instead","Context: Kinds of approaches, based on bioinformatics and molecular biology, have been  developed and proceeded to derive essential genes and minimal gene sets for the  synthetic minimal genome. Experiments about streamlining genomes of model, Context: The minimal cell concept represents a pragmatic approach to the question of how  few genes are required to run a cell. This is a helpful way to build a  parts-list, and has been more successful than attempts to deduce a minimal gene, Context: minimal genome and the potential applications are introduced., Context: A central undertaking in synthetic biology (SB) is the quest for the 'minimal  genome'. However, 'minimal sets' of essential genes are strongly  context-dependent and, in all prokaryotic genomes sequenced to date, not a, Context: functioning minimal genomes in naturally occurring microorganisms, which can  then be used as a template for future systems. Currently a prototypical minimal  genome has not been discovered. This review analyzes the organisms Mycoplasma","21203957, 26539175, 22916492, 23219343, 21987714","The identification of the essential genes of bacteria and the minimal genome for the free-living cellular life could provide insights into the origin, evolution, and essence of life forms. The field of Synthetic Biology seeks to apply engineering principles to biology in order to produce novel biological systems. One approach to accomplish this goal is the genome-driven cell engineering approach, which searches for functioning minimal genomes in naturally occurring microorganisms, which can then be used as a template for future systems. Currently a prototypical minimal genome has not been discovered.","21987714, 23420643, 23873957, 26539175, 22916492, 23219343, 21203957"
Which histone marks are deposited by Set7?,"Yes, Set7 deposits a specific histone mark. According to the context, Set7 is a histone methyltransferase that deposits the H3K4me1 activating methylation mark on histone H3 lys","Context: active gene transcription in meiotic and post-meiotic cells. In addition,  H4K8ac-associated genes are included in and constitute only a subfraction of  H4K8hib-labeled genes. The histone Khib mark is conserved and widely, Context: We describe distinct patterns of histone methylation during human cell cycle  progression. Histone H4 methyltransferase activity was found to be cell  cycle-regulated, consistent with increased H4 Lys 20 methylation at mitosis., Context: imprinting control regions, inhibiting production of an activating methylation  mark on histone H3 lysine 4. H1-dependent recruitment of DNMT1 and DNMT3B and  interference with the binding of SET7/9 also were observed with chromatin, Context: imprinting control regions, inhibiting production of an activating methylation  mark on histone H3 lysine 4. H1-dependent recruitment of DNMT1 and DNMT3B and  interference with the binding of SET7/9 also were observed with chromatin, Context: histone methyltransferase PR-Set7. PR-Set7 depletion in mammalian cells results  in defective S phase progression and the accumulation of DNA damage, which has  been partially attributed to defects in origin selection and activation.","24681537, 12208845, 23302691, 23302691, 27131378",Set7 is H4K20 monomethyltransferase. Upregulation of PR-Set7 expression upon loss of HCF-1 leads to improper mitotic H4-K20 methylation. Set7 (or some variant) has also been reported to perform mono-methylation on lysine-4 of H3.,"21963854, 12086618, 12208845, 15200950"
What is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?,"No, the context does not provide information on the most common monogenic cause of CVID in Europeans.","Context: RESULTS: Of 3022 participants, SCT classified into 364 (12%) SE, 1053 (34.8%)  SY, 1605 (53.1%) TE, and no TY. Three hundred seventy nine (16%) newly developed  CVD during the following period, yielding 10-year cumulative incidence of, Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: Common variable immunodeficiency (CVID) is a heterogeneous group of diseases.  Our aim was to define sub-groups of CVID patients with similar phenotypes and  clinical characteristics. Using eight-color flow cytometry, we analyzed both B-, Context: Some primary immunodeficiencies (PIDs) may present with autoimmune  manifestations without infections, masking suspicion of them. The PIDs that can  typically manifest as ES are autoimmune lymphoproliferative syndrome and common","24290090, 28054583, 28054583, 28054583, 28937520",Loss-of-function nuclear factor κB subunit 1 (NFKB1) variants are the most common monogenic cause of common variable immunodeficiency in Europeans.,"29477724, 30063981"
