question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Histone lysine methylation, particularly H3K9, implies epigenetic tumor suppressor gene (TSG) inactivation, which is a significant feature of medulloblastoma."," Context: concordant methylation phenotype in this disease. We conclude that epigenetic  TSG inactivation is a significant feature of medulloblastoma, and identify  RASSF1A, HIC1 and CASP8 as potentially critical genes in its pathogenesis. ,  Context: genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in ","14688019, 19270706","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
What is the role of STAG1/STAG2 proteins in differentiation?,"The role of STAG1/STAG2 proteins in differentiation is not explicitly stated in the given context. However, it is mentioned that there are expression patterns in genes and individual isoforms with man-mouse orthology data, which might be related"," Context: with inactivating alterations of STAG2. ,  Context: expression patterns both in genes as well as in individual isoforms with  man-mouse orthology data. In combination with the features for  combining/contrasting the genes expressed in different tissues, T-STAG ","28430577, 15980556",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799"
What is the association between cell phone use and glioblastoma?,"There is no mention of glioblastoma in the provided context. However, it does mention that previous studies have shown a consistent association between long-term use of mobile and cordless phones and glioma (but not specifically glioblastoma)."," Context: Previous studies have shown a consistent association between long-term use of  mobile and cordless phones and glioma and acoustic neuroma, but not for  meningioma. When used these phones emit radiofrequency electromagnetic fields ,  Context: OR=1.35, 95% CI=0.81-2.23, respectively. Regarding acoustic neuroma ipsilateral  mobile phone use in the latency group ≥10 years gave OR=1.81, 95% CI=0.73-4.45.  For ipsilateral cumulative use ≥1640h OR=2.55, 95% CI=1.50-4.40 was obtained. ","24064953, 23261330","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042"
What is the applicability of the No Promoter Left Behind method?,"The No Promoter Left Behind (NPLB) method is organism-independent, meaning it can be applied to any organism."," Context: (TSS). No Promoter Left Behind (NPLB) is an efficient, organism-independent  method for characterizing such diverse architectures directly from  experimentally identified genome-wide TSSs, without relying on known promoter ,  Context: library preparation methods for successful data acquisition by RNA-seq. TRAP  offers an ideal tool for plant research as many developmental processes involve  cell wall-related and mechanical signaling pathways. The use of promoters to ","26530723, 32478741","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723
Does the Oncotype DX test work with paraffin embedded tissues?,"Yes, the Oncotype DX Colon Cancer Assay works with fixed paraffin embedded (FPE) primary colon tumor tissues."," Context: formalin-fixed paraffin-embedded (FFPE) tumour blocks that are obtained during  initial surgery (lumpectomy, mastectomy, or core biopsy) of women with early  breast cancer that is newly diagnosed. The panel of 21 genes include genes ,  Context: BACKGROUND: The Oncotype DX Colon Cancer Assay is a new diagnostic test for  determining the likelihood of recurrence in stage II colon cancer patients after  surgical resection using fixed paraffin embedded (FPE) primary colon tumor ","23074401, 21176237","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,Lewy body disease (LBD) is characterized by the presence of Lewy bodies.," Context: We proposed the term 'Lewy body disease' (LBD) in 1980. Subsequently, we  classified LBD into three types according to the distribution pattern of Lewy  bodies: a brainstem type, a transitional type and a diffuse type. Later, we ,  Context: accompanied by subcortical multisystem degeneration with neuronal loss and  gliosis with or without Alzheimer pathologic state. Lewy bodies also occur in  numerous other disorders, including pure autonomic failure, neuroaxonal ","24597591, 14502650",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999"
The NoSAS Score can be used for screening of which disorders?,The NoSAS score is used for screening sleep-disordered breathing.," Context: sleep-disordered breathing. The NoSAS score was externally validated in an  independent sleep cohort (EPISONO). We compared its performance to existing  screening scores (STOP-Bang and Berlin scores). ,  Context: is necessary to further evaluate the diagnostic value of NoSAS score. ","27321086, 29518851","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086"
What species is associated with Tetrodotoxin?,Pufferfish (Takifugu niphobles) is associated with Tetrodotoxin.," Context: Puffer fish, Takifugu niphobles, collected from the Hong Kong coastal waters  were screened for tetrodotoxin-producing bacteria. A Gram-negative,  non-acid-fast, non-sporing and rod shaped bacterial strain (designated as ,  Context: the food chain that starts with the bacteria. Pufferfish become nontoxic when  fed TTX-free diets in a closed environment in which there is no possible  invasion of TTX-bearing organisms. On the other hand, TTX poisoning due to ","22163191, 23724281","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694"
Does a selective sweep increase genetic variation?,"No, a selective sweep does not increase genetic variation. In fact, it reduces genetic variation by fixing one allele in a population."," Context: novel variation arising from mutations during a sweep, it does not rely on  preexisting variation and can also be applied to loci that lack recombination.  Compared with standard approaches that infer selection coefficients from the ,  Context: An unexpectedly large number of human autosomal genes are subject to monoallelic  expression (MAE). Our analysis of 4,227 such genes uncovers surprisingly high  genetic variation across human populations. This increased diversity is unlikely ","22491190, 26808112","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120"
List markers for autophagy.,Marker genes involved in autophagy can be detected using quantitative real-time PCR (qRT-PCR).," Context: Various methods have been used to detect the marker genes and the proteins  involved in these processes. Quantitative real-time PCR (qRT-PCR) method for  monitoring the expression of genes involved in autophagy or autophagic cell ,  Context: responses to viral and bacterial infections. Some viruses encode virulence  factors for blocking autophagy, whereas others utilize some autophagy components  for their intracellular growth or cellular budding. The ""core"" autophagy-related ","28889353, 21175768",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619"
