question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"There is no mention of histone lysine methylation in the provided context. The context only mentions DNA methylation, specifically the abnormal methylation of CpG islands in critical genes, but does not provide information on histone lysine methylation."," Context: epigenetic mechanism. During this process cytosine residues preceding a  guanosine in the DNA sequence are methylated. CpG-islands are short-interspersed  DNA sequences with clusters of CG sequences. The abnormal methylation of CpG ,  Context: critical genes in its development, we profiled the promoter methylation status  of 11 candidate tumour-suppressor genes (TSGs; p14(ARF), p15(INK4b), p16(INK4a),  CASP8, HIC1, EDNRB, TIMP3, TP73, TSLC1, RIZ1 and RASSF1A) in medulloblastoma ","22234702, 14688019","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
What is the role of STAG1/STAG2 proteins in differentiation?,"The role of STAG1/STAG2 proteins in differentiation is not explicitly mentioned. However, it is mentioned that there are inactivating alterations of STAG2, but no information about their function or role in differentiation is provided."," Context: with inactivating alterations of STAG2. ,  Context: dynamic regulation than previously thought, such as cell cycle dependent  activation and oscillating gene expression. We discuss here recent advances in  understanding how Notch signaling is regulated in the developing nervous system ","28430577, 19783418",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799"
What is the association between cell phone use and glioblastoma?,"There is no mention of glioblastoma in the provided context. However, there is a mention of an association between long-term use of mobile and cordless phones and glioma (a type of brain tumor)."," Context: Previous studies have shown a consistent association between long-term use of  mobile and cordless phones and glioma and acoustic neuroma, but not for  meningioma. When used these phones emit radiofrequency electromagnetic fields ,  Context: Also use of cordless phones increased the risk for glioma and acoustic neuroma  in the Hardell group studies. Survival of patients with glioma was analysed in  the Hardell group studies yielding in the >10 years latency period hazard ratio ","24064953, 23261330","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042"
What is the applicability of the No Promoter Left Behind method?,"The No Promoter Left Behind method can be applied to a comprehensive promoter data set for any tissue, as evidenced by its use in creating such a data set for hippocampus."," Context: conserved motifs in a set of genes that are either coregulated or orthologous.  However, although recent approaches seem promising, in general, unambiguous  identification of regulatory elements is not straightforward. The delineation of ,  Context: comprehensive promoter data set for any tissue to date. Using these data, we  present evidence indicating a key role for the Arnt2 transcription factor in  hippocampus gene regulation. DeepCAGE can also detect promoters used only in a ","12857799, 19074369","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723
Does the Oncotype DX test work with paraffin embedded tissues?,"Yes, the Oncotype DX Colon Cancer Assay works with fixed paraffin embedded (FPE) primary colon tumor tissue."," Context: formalin-fixed paraffin-embedded (FFPE) tumour blocks that are obtained during  initial surgery (lumpectomy, mastectomy, or core biopsy) of women with early  breast cancer that is newly diagnosed. The panel of 21 genes include genes ,  Context: BACKGROUND: The Oncotype DX Colon Cancer Assay is a new diagnostic test for  determining the likelihood of recurrence in stage II colon cancer patients after  surgical resection using fixed paraffin embedded (FPE) primary colon tumor ","23074401, 21176237","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,Lewy body disease (LBD) is characterized by the presence of numerous Lewy bodies throughout the cerebral cortex and the brainstem.," Context: Pathological studies have also individualized a new disorder characterized by  the presence of numerous Lewy bodies throughout the cerebral cortex and the  brainstem: Lewy body disease. The clinical syndrome associates dementia, ,  Context: We proposed the term 'Lewy body disease' (LBD) in 1980. Subsequently, we  classified LBD into three types according to the distribution pattern of Lewy  bodies: a brainstem type, a transitional type and a diffuse type. Later, we ","1534893, 24597591",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999"
The NoSAS Score can be used for screening of which disorders?,The NoSAS score is a new screening tool for sleep-disordered breathing.," Context: OSA was 0.538 and 0.624, respectively. The sensitivity and specificity of NoSAS  combined with improved Mallampati grading for screening OSA were 0.813 and  0.710, respectively. Conclusion:As a new screening tool, NoSAS questionnaire is ,  Context: sleep-disordered breathing. The NoSAS score was externally validated in an  independent sleep cohort (EPISONO). We compared its performance to existing  screening scores (STOP-Bang and Berlin scores). ","32842224, 27321086","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086"
What species is associated with Tetrodotoxin?,Takifugu pufferfish is associated with Tetrodotoxin.," Context: the Takifugu pufferfish. Predation experiments demonstrated that juveniles of  all the species of fish used as predators ingested pufferfish larvae, but spat  them out promptly. Liquid Chromatography-Tandem Mass Spectrometry (LC-MSMS) ,  Context: Botulism disease in both humans and animals is a worldwide concern. Botulinum  neurotoxins produced by Clostridium botulinum and other Clostridium species are  the most potent biological substances known and are responsible for flaccid ","24279996, 23971804","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694"
Does a selective sweep increase genetic variation?,"No, a selective sweep reduces linked genetic variation due to strong positive selection."," Context: Selective sweeps are typically associated with a local reduction of genetic  diversity around the adaptive site. However, selective sweeps can also quickly  carry neutral mutations to observable population frequencies if they arise early ,  Context: A selective sweep describes the reduction of linked genetic variation due to  strong positive selection. If s is the fitness advantage of a homozygote for the  beneficial allele and h its dominance coefficient, it is usually assumed that ","22491190, 21076829","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120"
List markers for autophagy.,"MAPK15 activity is a marker for autophagy, as its activity was induced in response to serum and amino-acid starvation, which stimulates the formation of autophagic compartments."," Context: Various methods have been used to detect the marker genes and the proteins  involved in these processes. Quantitative real-time PCR (qRT-PCR) method for  monitoring the expression of genes involved in autophagy or autophagic cell ,  Context: consequently, for stimulation of the formation of these compartments.  Furthermore, we reveal that MAPK15 activity was induced in response to serum and  amino-acid starvation and that this stimulus, in turn, required endogenous ","28889353, 22948227",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619"
