question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Histone lysine methylation, particularly that of histone 3, lysine 9 (H3K9), plays a critical role in medulloblastoma. The identification of recurrent, mutually exclusive, highly focal genetic events in genes"," Context: We used high-resolution SNP genotyping to identify regions of genomic gain and  loss in the genomes of 212 medulloblastomas, malignant pediatric brain tumors.  We found focal amplifications of 15 known oncogenes and focal deletions of 20  known tumor suppressor genes (TSG), most not previously implicated in  medulloblastoma. Notably, we identified previously unknown amplifications and  homozygous deletions, including recurrent, mutually exclusive, highly focal genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro.  ,  Context: Medulloblastoma arises in the cerebellum and is the most common malignant brain  tumour of childhood, however its molecular basis is not well understood. To  assess the role of aberrant epigenetic events in medulloblastoma and identify  critical genes in its development, we profiled the promoter methylation status  of 11 candidate tumour-suppressor genes (TSGs; p14(ARF), p15(INK4b), p16(INK4a),  CASP8, HIC1, EDNRB, TIMP3, TP73, TSLC1, RIZ1 and RASSF1A) in medulloblastoma cell lines, primary tumours and the normal cerebellum. Gene-specific TSG  methylation was a significant feature of both medulloblastomas and the  cerebellum. Extensive hypermethylation of RASSF1A was detected frequently in medulloblastomas but not in the normal cerebellum (41/44 primary tumours versus  0/5 normal cerebella). In contrast, complete methylation of HIC1 and CASP8 in a  subset of primary tumours (17/44 and 14/39) occurred against a consistent  ","19270706, 14688019","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
What is the role of STAG1/STAG2 proteins in differentiation?,"The role of STAG1/STAG2 proteins in differentiation is not explicitly mentioned. However, it is stated that they retain partially overlapping functions and are involved in cell proliferation, suggesting a potential role in cellular processes, but their specific involvement in differentiation"," Context: alterations and act as tumour suppressors in several tumour types. This has led  to increased interest in cohesin as potential target in anti-cancer therapy.  Here we show that the loss-of-function of STAG2, a core component of cohesin and  an emerging tumour suppressor, leads to synthetic dependency of mutated cancer  cells on its paralog STAG1. STAG1 and STAG2 share high sequence identity, encode  mutually exclusive cohesin subunits and retain partially overlapping functions.  We inhibited STAG1 and STAG2 in several cancer cell lines where the two genes  have variable mutation and copy number status. In all cases, we observed that  the simultaneous blocking of STAG1 and STAG2 significantly reduces cell proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers with inactivating alterations of STAG2.  ,  Context: Lamins are type V intermediate filament proteins that support nuclear membranes.  They are divided into A-type lamins, which include lamin A and C, and B-type  lamins, which include lamin B1 and B2. In the rat brain, lamin A and C are  expressed in relatively equal amounts, while the expressions of lamin B1 and B2  vary depending on the cell type. Lamins play important roles in normal  morphogenesis and function. In the nervous system, their abnormal expression causes several neurodegenerative diseases such as peripheral neuropathy,  leukodystrophy and lissencephaly. The retina belongs to the central nervous  system (CNS) and has widely been used as a source of CNS neurons. We investigated the expression patterns of lamin subtypes in the adult rat retina  by immunohistochemistry and found that the staining patterns differed when  compared with the brain. All retinal neurons expressed lamin B1 and B2 in  ","28430577, 21842415",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799"
What is the association between cell phone use and glioblastoma?,"For glioblastoma (astrocytoma grade IV), the hazard ratio (HR) was 1.1 (95% CI = 0.95-1.4). With >10-year latency, HR increased to 1."," Context: BACKGROUND: We analysed the survival of patients after glioma diagnosis in  relation to the use of wireless phones. METHODS: All cases diagnosed between 1997 and 2003 with a malignant brain tumour  (n = 1,251) in our case-control studies were included and followed from the date  of diagnosis to the date of death or until May 30, 2012. RESULTS: For glioma, the use of wireless phones (mobile and cordless phones)  gave a hazard ratio (HR) = 1.1 (95% confidence interval, CI = 0.9-1.2), with >  10-year latency HR = 1.2 (95% CI = 1.002-1.5, p trend = 0.02). For astrocytoma  grade I-II (low-grade), the results were, HR = 0.5 (95% CI = 0.3-0.9) and for astrocytoma grade IV (glioblastoma), HR = 1.1 (95% CI = 0.95-1.4), with > 10  year latency HR = 1.3 (95% CI = 1.03-1.7). In the highest tertile (> 426 h) of  cumulative use, HR = 1.2 (95% CI = 0.95-1.5) was found for glioblastoma. The results were similar for mobile and cordless phones. CONCLUSIONS: Decreased survival of glioma cases with long-term and high  cumulative use of wireless phones was found. A survival disadvantage for  ,  Context: CI=0.9-1.6. The risk for ipsilateral use was significantly increased for  astrocytoma for all studied phone types, analogue phones OR=1.8,95% CI=1.1-3.2,  digital phones OR=1.8, 95% CI=1.1-2.8, cordless phones OR=1.8, 95% CI=1.1-2.9.  Use of a telephone on the opposite side of the brain was not associated with a  significantly increased risk for brain tumours. Regarding anatomical area of the  tumour and exposure to microwaves, the risk was increased for tumours located in  the temporal area on the same side of the brain that was used during phone  calls, significantly so for analogue cellular telephones OR=2.3, 95% CI=1.2-4.1.  For acoustic neurinoma OR=4.4, 95% CI=2.1-9.2 was calculated among analogue cellular telephone users. When duration of use was analysed as a continuous  variable in the total material, the risk increased per year for analogue phones  with OR=1.04, 95% CI=1.01-1.08. For astrocytoma and ipsilateral use the trend was for analogue phones OR=1.10, 95% CI=1.02-1.19, digital phones OR=1.11, 95%  CI=1.01-1.22, and cordless phones OR=1.09, 95% CI=1.01-1.19. There was a  tendency of a shorter tumour induction period for ipsilateral exposure to  ","23095687, 12527940","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042"
What is the applicability of the No Promoter Left Behind method?,The No Promoter Left Behind (NPLB) method is organism-independent and can be applied to identify novel architectures in any genome. It has been tested as a case study on the fly genome.," Context: Promoters have diverse regulatory architectures and thus activate genes  differently. For example, some have a TATA-box, many others do not. Even the  ones with it can differ in its position relative to the transcription start site  (TSS). No Promoter Left Behind (NPLB) is an efficient, organism-independent  method for characterizing such diverse architectures directly from  experimentally identified genome-wide TSSs, without relying on known promoter elements. As a test case, we show its application in identifying novel  architectures in the fly genome. AVAILABILITY AND IMPLEMENTATION: Web-server at http://nplb.ncl.res.in Standalone also at https://github.com/computationalBiology/NPLB/ (Mac OSX/Linux). CONTACT: l.narlikar@ncl.res.in SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online.  ,  Context: fluorescence-activated cell sorting-based approaches that rely on tissue  protoplasting to isolate distinct cell populations. Additionally, no tissue  fixation is necessary as in laser capture microdissection-based techniques,  which allows high-quality RNA to be obtained. However, sampling from  subpopulations of cells and only isolating polysome-associated RNA severely  limits RNA yields. It is, therefore, necessary to apply sufficiently sensitive  library preparation methods for successful data acquisition by RNA-seq. TRAP  offers an ideal tool for plant research as many developmental processes involve  cell wall-related and mechanical signaling pathways. The use of promoters to target specific cell populations is bridging the gap between organ and  single-cell level that in turn suffer from little resolution or very high costs.  Here, we apply TRAP to study cell-cell communication in lateral root formation.  ","26530723, 32478741","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723
Does the Oncotype DX test work with paraffin embedded tissues?,"Yes, the Oncotype DX test works with formalin-fixed paraffin-embedded (FFPE) tumour blocks."," Context: formalin-fixed paraffin-embedded (FFPE) tumour blocks that are obtained during  initial surgery (lumpectomy, mastectomy, or core biopsy) of women with early  breast cancer that is newly diagnosed. The panel of 21 genes include genes  associated with tumour proliferation and invasion, as well as other genes  related to HER-2/neu expression, ER expression, and progesterone receptor (PR)  expression. RESEARCH QUESTIONS: What is the laboratory performance of Oncotype-DX?How  reliable is Oncotype-DX (i.e., how repeatable and reproducible is  Oncotype-DX)?How often does Oncotype-DX fail to give a useable result?What is  the prognostic value of Oncotype-DX?Is Oncotype-DX recurrence score associated with the risk of distant recurrence or death due to any cause in women with  early breast cancer receiving tamoxifen?What is the predictive value of  Oncotype-DX?Does Oncoytpe-DX recurrence score predict significant benefit in terms of improvements in 10-year distant recurrence or death due to any cause  for women receiving tamoxifen plus chemotherapy in comparison to women receiving  tamoxifen alone?How does Oncotype-DX compare to other known predictors of risk  ,  Context: from the familiar slide-based assays of immunohistochemistry and fluorescence in  situ hybridization to the nonmorphology-driven molecular platforms of  quantitative multiplex real-time polymerase chain reaction and genomic  microarray profiling. In this review, 14 multigene assays are evaluated as to  their scientific validation, current clinical utility, regulatory approval  status, and estimated cost-benefit ratio. Emphasis is placed on two tests:  oncotype DX and MammaPrint. Current evidence indicates that the oncotype DX test  has the advantages of earlier commercial launch, wide acceptance for payment by  third-party payors in the U.S., ease of use of formalin-fixed paraffin-embedded tissues, recent listing by the American Society of Clinical Oncology Breast  Cancer Tumor Markers Update Committee as recommended for use, continuous scoring  system algorithm, ability to serve as both a prognostic test and predictive test for certain hormonal and chemotherapeutic agents, demonstrated  cost-effectiveness in one published study, and a high accrual rate for the  prospective validation clinical trial (Trial Assigning Individualized Options  ","23074401, 18515733","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,Parkinson disease and dementia with Lewy bodies are characterized by the widespread distribution of Lewy bodies in virtually every brain area.," Context: Lewy body diseases include Parkinson disease and dementia with Lewy bodies and  are characterized by the widespread distribution of Lewy bodies in virtually  every brain area. The main component of Lewy bodies is alpha-synuclein (AS).  Accumulating evidence suggests that AS oligomerization and aggregation are  strongly associated with the pathogenesis of Lewy body diseases. AS is a small  soluble protein with aggregation-prone properties under certain conditions. These properties are enhanced by posttranslational modifications such as  phosphorylation, ubiquitination, nitration, and truncation. Accordingly, Lewy  bodies contain abundant phosphorylated, nitrated, and monoubiquitinated AS. However, alternative splicing of the AS gene is also known to modify AS  aggregation propensities. Splicing gives rise to four related forms of the  protein, the main transcript and those that lack exon 4, exon 6, or both. Since  ,  Context: multiple system atrophy linked to degeneration of affected brain regions. The  synucleinopathies include (1) Lewy body disorders and dementia with Lewy bodies,  (2) multiple system atrophy (MSA), and (3) Hallervorden-Spatz disease. (1) The  pathological diagnosis of Lewy body disorders and dementia with Lewy bodies is  established by validated consensus criteria based on semiquantitative assessment  of subcortical and cortical Lewy bodies as their common hallmarks. They are  accompanied by subcortical multisystem degeneration with neuronal loss and  gliosis with or without Alzheimer pathologic state. Lewy bodies also occur in  numerous other disorders, including pure autonomic failure, neuroaxonal dystrophies, and various amyloidoses and tauopathies. (2) Multiple system  atrophy, a sporadic, adult-onset degenerative movement disorder of unknown  cause, is characterized by alpha-synuclein-positive glial cytoplasmic and rare neuronal inclusions throughout the central nervous system associated with  striatonigral degeneration, olivopontocerebellar atrophy, and involvement of  medullar and spinal autonomic nuclei. (3) In neurodegeneration with brain iron  ","22923347, 14502650",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999"
The NoSAS Score can be used for screening of which disorders?,The NoSAS score is a simple and efficient screening tool for Obstructive Sleep Apnea Syndrome (OSAS) in individuals with Major Depressive Episodes (MDE).," Context: Switzerland) underwent a psychiatric evaluation (PsyCoLaus) and a complete  polysomnography at home (HypnoLaus). The effectiveness of the NoSAS score in  detecting the risk of significant OSAS among current MDE participants was  assessed and compared with STOP-BANG and Berlin scores. RESULTS: Among the 1761 subjects (58,75 ± 11y.o.; 47,8%men) who underwent  polysomnography, significant OSAS was present in 24.0% with and 26.1% without  current MDE. Using a threshold of ≥ 8 points, the NoSAS score identified OSAS in  MDE participants with a sensitivity of 0.79, a specificity of 0.66, a negative  predictive value of 0.91, and a positive predictive value of 0.41. The area under the ROC curve was 0.72 for NoSAS, 0.66 for STOP-BANG and 0.69 for the  Berlin score (NS). LIMITATIONS: Only 44% of the PsyCoLaus participants had a polysomnography. The  studied population was mainly of Caucasian ancestry and above 40 years of age. CONCLUSIONS: This is the first study assessing the performance of screening  tools for OSAS in MDE. The NoSAS score is a simple and efficient screening tool  for OSAS in this population, and may be a helpful instrument for clinicians.  ,  Context: INTERPRETATION: The NoSAS score is a simple, efficient, and easy to implement  score enabling identification of individuals at risk of sleep-disordered  breathing. Because of its high discrimination power, the NoSAS score can help  clinicians to decide which patients to further investigate with a nocturnal  recording. FUNDING: Faculty of Biology and Medicine of the University of Lausanne, Lausanne  University Hospital, Swiss National Science Foundation, Leenaards Foundation,  GlaxoSmithKline, and Vaud Pulmonary League.  ","29055261, 27321086","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086"
What species is associated with Tetrodotoxin?,"Dinoflagellates, cyanobacteria, bacteria, and diatoms may produce tetrodotoxin."," Context: Marine organisms, and specially phytoplankton species, are able to produce a  diverse array of toxic compounds that are not yet fully understood in terms of  their main targets and biological function. Toxins such as saxitoxins,  tetrodotoxin, palytoxin, nodularin, okadaic acid, domoic acid, may be produced  in large amounts by dinoflagellates, cyanobacteria, bacteria and diatoms and  accumulate in vectors that transfer the toxin along food chains. These may affect top predator organisms, including human populations, leading in some  cases to death. Nevertheless, these toxins may also affect the reproduction of  aquatic organisms that may be in contact with the toxins, either by decreasing the amount or quality of gametes or by affecting embryonic development. Adults  of some species may be insensitive to toxins but early stages are more prone to  intoxication because they lack effective enzymatic systems to detoxify the  ,  Context: which gives a negative blanching test but is readily neutralized by a human  serum which gives a positive blanching test. It is not neutralized by normal  horse serum, but is completely neutralized by Dochez's scarlatinal  antistreptococcic serum. In a limited number of observations on the urine of  patients with scarlet fever a similar toxic substance has been found in two out  of five cases studied. Since the toxic substance described appears to resemble  the toxic substance found in the filtrates of scarlatinal hemolytic  streptococcus cultures by Dick and Dick and since it is neutralized not only by  a blanching human serum but also by Dochez's scarlatinal antistreptococcic horse serum, the experiments reported support the conception that scarlet fever is a  local infection of the throat by a particular type of Streptococcus haemolyticus  capable of producing a toxin which is absorbed and is the cause of the general manifestations of the disease.  ","20161971, 19868926","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694"
Does a selective sweep increase genetic variation?,"No, a selective sweep does not increase genetic variation. In fact, it leads to a reduction in linked variation due to genetic hitchhiking, creating regions of reduced variation around the adaptive site."," Context: in a sweep and hitchhike with the adaptive allele. We show that the interplay  between mutation and exponential amplification through hitchhiking results in a  characteristic frequency spectrum of the resulting novel haplotype variation  that depends only on the ratio of the mutation rate and the selection  coefficient of the sweep. On the basis of this result, we develop an estimator  for the selection coefficient driving a sweep. Since this estimator utilizes the  novel variation arising from mutations during a sweep, it does not rely on  preexisting variation and can also be applied to loci that lack recombination.  Compared with standard approaches that infer selection coefficients from the size of dips in genetic diversity around the adaptive site, our estimator  requires much shorter sequences but sampled at high population depth to capture  low-frequency variants; given such data, it consistently outperforms standard approaches. We investigate analytically and numerically how the accuracy of our  estimator is affected by the decay of the sweep pattern over time as a  consequence of random genetic drift and discuss potential effects of  ,  Context:  Positive selection occurs when an allele is favored by natural selection. The  frequency of the favored allele increases in the population and due to genetic  hitchhiking the neighboring linked variation diminishes, creating so-called selective sweeps. Detecting traces of positive selection in genomes is achieved  by searching for signatures introduced by selective sweeps, such as regions of  reduced variation, a specific shift of the site frequency spectrum, and particular LD patterns in the region. A variety of methods and tools can be used  for detecting sweeps, ranging from simple implementations that compute summary  statistics such as Tajima's D, to more advanced statistical approaches that use  ","22491190, 28405579","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120"
List markers for autophagy.,"ATG8-like proteins (MAP1LC3B, GABARAP, and GABARAPL1) and SQSTM1 are markers for autophagy."," Context: Macroautophagy (hereafter referred to as autophagy) is an evolutionarily  conserved catabolic process necessary for normal recycling of cellular  constituents and for appropriate response to cellular stress. Although several  genes belonging to the core molecular machinery involved in autophagosome  formation have been discovered, relatively little is known about the nature of  signaling networks controlling autophagy upon intracellular or extracellular stimuli. We discovered ATG8-like proteins (MAP1LC3B, GABARAP and GABARAPL1) as  novel interactors of MAPK15/ERK8, a MAP kinase involved in cell proliferation  and transformation. Based on the role of these proteins in the autophagic process, we demonstrated that MAPK15 is indeed localized to autophagic  compartments and increased, in a kinase-dependent fashion, ATG8-like proteins  lipidation, autophagosome formation and SQSTM1 degradation, while decreasing  ,  Context: Autophagy is important in cellular homeostasis for the cell survival mechanism.  Deficiency or excess of autophagy is generally related to some of diseases such  as cancer and neurodegeneration. Although autophagy is a cell survival  mechanism, it can mediate programmed cell death in several conditions.  Autophagy-related genes (ATGs) regulate the autophagy and also control the  crosstalk with autophagy-associated cell death and apoptosis in some condition.  Various methods have been used to detect the marker genes and the proteins  involved in these processes. Quantitative real-time PCR (qRT-PCR) method for  monitoring the expression of genes involved in autophagy or autophagic cell death is often preferred because of its sensitivity, high efficiency potential,  accurate quantification, and high-grade potential automation. The detection of  the markers for autophagy-related process by immunohistochemistry in paraffin sections of various patient tissues has become a reliable method for monitoring  autophagy. Here, we introduce protocols for detecting autophagy and  autophagy-associated cell death in HeLa cells by using gene expression assays  ","22948227, 28889353",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619"
