question,answer,contexts,contexts_ids,ground_truth,goldPassages
Was Abraham Lincoln the sixteenth President of the United States?,Yes," Context: Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination  . As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now ."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232 .  Writing of the Cooper Union  speech, Holzer notes, ""Cooper Union proved a unique confluence of political culture, rhetorical opportunity, technological innovation, and human genius, and it brought Abraham Lincoln to the center stage of American politics at precisely the right time and place, and with precisely the right message: that slavery was wrong, and ought to be confined to the areas where it already existed, and placed on the 'course of ultimate extinction  ,  Context:  On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party . He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states . Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes  ","278, 319",yes,
Did Lincoln sign the National Banking Act of 1863?,Yes," Context: . The Pacific Railway Acts of 1862 and 1864 granted federal support for the construction of the United States' First Transcontinental Railroad, which was completed in 1869  . Other important legislation involved economic matters, including the first income tax and higher tariffs  . Also included was the creation of the system of national banks by the National Banking Acts of 1863, 1864, and 1865, which allowed the creation of a strong national financial system .  Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889.  ,  Context: Grant's willingness to fight and ability to win impressed President Lincoln, who appointed him lieutenant general in the regular army a rank not awarded since George Washington (or Winfield Scott's  brevet appointment), recently re-authorized by the U.S  . Congress with Grant in mind on March 2, 1864. On March 12, Grant became general-in-chief of all the armies of the United States.  ","360, 1797",yes,
Did his mother die of pneumonia?,No," Context: Alice Hathaway Lee Roosevelt (July 29, 1861 in Chestnut Hill, Massachusetts â February 14 1884 in Manhattan, New York) was the first wife of Theodore Roosevelt and mother of their only child together, Alice Lee Roosevelt  .  Alice Roosevelt died of an undiagnosed case of Bright's Disease two days after Alice Lee was born.  Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884 .  After the simultaneous deaths of his mother and wife, Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory.  ,  Context:  An autopsy performed after his death revealed grave problems with his stomach and other organs of his abdomen, along with damage to his brain . Despite the autopsy, the cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. Muir, 103 .  The headaches which afflicted Pascal are generally attributed to his brain lesion.  ","2894, 262",no,
How many long was Lincoln's formal education?,About 18 months of schooling.," Context: Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking  .  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric . He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme . Lincoln avoided hunting and fishing because he did not like killing animals, even for food  ,  Context:  There were few people who strongly or directly influenced Lincolnâs moral and intellectual development and perspectives . There was no teacher, mentor, church leader, community leader, or peer that Lincoln would credit in later years as a strong influence on his intellectual development . Lacking a formal education, Lincolnâs personal philosophy was shaped by ""an amazingly retentive memory and a passion for reading and learning  ","287, 376",18 months,
When did Lincoln begin his political career?,"Lincoln began his political career in 1832, at age 23."," Context: . In fact, in 1848 he campaigned vigorously for Zachary Taylor, the successful general whose atrocities he had denounced in January. Regardless, his statements were not easily forgotten, and would haunt him during the Civil War  . These statements were also held against him when he applied for a position in the new Taylor administration. Instead, Taylor's people offered Lincoln various positions in the remote Oregon Territory, primarily the governorship  . Acceptance of this offer would have ended his career in the rapidly growing state of Illinois, so Lincoln declined the position. Returning to Springfield, Lincoln gave up politics for several years and turned his energies to his law practice . During this time, he made many trips on horseback between various counties' courthouses. Beveridge, (1928) 1: 428-33; Donald (1995) p. 140-43.  ,  Context:  Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates .  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.  ","302, 289",1832,
What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history."," Context:  The Legal Tender Act of 1862 established the United States Note, the first paper currency in United States history.  This was done to increase the money supply to pay for fighting the war.  ,  Context: In July 1862, Congress moved to free the slaves by passing the Second Confiscation Act. The goal was to weaken the rebellion, which was led and controlled by slave owners  . While it did not abolish the legal institution of slavery (the Thirteenth Amendment did that), the Act showed that Lincoln had the support of Congress in liberating slaves owned by rebels . This new law was implemented with Lincoln's ""Emancipation Proclamation.""  ","361, 330","the United States Note, the first paper currency in United States history",
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell," Context:  While Lincoln is usually portrayed bearded, he first grew a beard in 1860 at the suggestion of 11-year-old Grace Bedell  ,  Context:  Young Abraham Lincoln  ","382, 288",11-year-old Grace Bedell,
When did the Gettysburg address argue that America was born?,1776," Context: In his Gettysburg Address Lincoln redefined the American nation, arguing that it was born not in 1789 but in 1776, ""conceived in Liberty, and dedicated to the proposition that all men are created equal  ."" He declared that the sacrifices of battle had rededicated the nation to the propositions of democracy and equality, ""that this nation shall have a new birth of freedom â and that government of the people, by the people, for the people, shall not perish from the earth  ."" By emphasizing the centrality of the nation, he rebuffed the claims of state sovereignty. While some critics say Lincoln moved too far and too fast,  H.L. Mencken said ""It is difficult to imagine anything more untrue . The Union soldiers in the battle actually fought against self-determination; it was the Confederates who fought for the right of their people to govern themselves."" Mencken did not mention the right of self-determination rights for blacks .   they agree that he dedicated the nation to values that marked ""a new founding of the nation.""  Wills (1992) p. 39.  ,  Context: Lincoln's powerful rhetoric defined the issues of the war for the nation, the world, and posterity  . His extraordinary command of the English language was evidenced in the Gettysburg Address, a speech dedicating the cemetery at Gettysburg that he delivered on November 19, 1863  . The speech defied Lincoln's own prediction that ""the world will little note, nor long remember what we say here."" Lincoln's second inaugural address is also greatly admired and often quoted . In these speeches, Lincoln articulated better than anyone else the rationale behind the Union cause.  ","358, 355",1776,
Did Lincoln beat John C. Breckinridge in the 1860 election?,"Yes, Lincoln won 180 electoral votes while Breckenridge won only 72 electoral votes."," Context: On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party  . He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states  . Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes . There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.  ,  Context:  United States presidential election, 1856  ","319, 202",yes,
Was Abraham Lincoln the first President of the United States?,No," Context: Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination  . As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now  ."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232 .  Writing of the Cooper Union  speech, Holzer notes, ""Cooper Union proved a unique confluence of political culture, rhetorical opportunity, technological innovation, and human genius, and it brought Abraham Lincoln to the center stage of American politics at precisely the right time and place, and with precisely the right message: that slavery was wrong, and ought to be confined to the areas where it already existed, and placed on the 'course of ultimate extinction ... .'""  Lincoln won the Republican Party nomination in 1860 and was elected president later that year. During his term, he helped preserve the United States by leading the defeat of the secessionist Confederate States of America in the American Civil War  ,  Context: The other Lincoln children were born in Springfield, Illinois, and died either during childhood or their teen years. Edward Baker Lincoln was born on March 10, 1846, and died on 1 February, 1850, also in Springfield  . William Wallace Lincoln was born on December 21, 1850, and died on February 20, 1862 in Washington, D.C., during Pres. Lincoln's first term. Thomas ""Tad"" Lincoln was born on 4 April, 1853, and died on July 16, 1871 in Chicago.  ","278, 297",No,
