question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Histone lysine methylation, particularly at H3K9 and H3K27, plays a critical role in medulloblastoma. Defective control of the histone code contributes to the development of this tumor. Restoration of expression of"," Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro. ,  Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro. ,  Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels ,  Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels ,  Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the ,  Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the ","19270706, 19270706, 23179372, 23179372, 19270706, 19270706","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
What is the role of STAG1/STAG2 proteins in differentiation?,There is no mention of the role of STAG1/STAG2 proteins in differentiation. The provided information only discusses their involvement in proliferation and as a potential therapeutic target in cancers with inactivating alterations of STAG2.," Context: with inactivating alterations of STAG2. ,  Context: with inactivating alterations of STAG2. ,  Context: proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers ,  Context: proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers ,  Context: proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers ,  Context: proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers ","28430577, 28430577, 28430577, 28430577, 28430577, 28430577",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799"
What is the association between cell phone use and glioblastoma?,"There is an increased hazard ratio (HR) of 1.2 for glioblastoma multiforme (astrocytoma WHO grade IV) associated with wireless phone use, with a 95% confidence interval of 1.002-"," Context: be caused by RF-EMF exposure leading to tumour-associated symptoms and earlier  detection and surgery with better prognosis. Some studies show increasing  incidence of brain tumours whereas other studies do not. It is concluded that ,  Context: be caused by RF-EMF exposure leading to tumour-associated symptoms and earlier  detection and surgery with better prognosis. Some studies show increasing  incidence of brain tumours whereas other studies do not. It is concluded that ,  Context: RESULTS: Regular cell phone use was not associated with an increased risk of  neuroma (OR=0,92; 95% confidence interval=[0.53-1.59]), meningioma (OR=0,74; 95%  confidence interval=[0.43-1.28]) or glioma (OR=1.15; 95% confidence ,  Context: RESULTS: Regular cell phone use was not associated with an increased risk of  neuroma (OR=0,92; 95% confidence interval=[0.53-1.59]), meningioma (OR=0,74; 95%  confidence interval=[0.43-1.28]) or glioma (OR=1.15; 95% confidence ,  Context: (HR)=1.2, 95% CI=1.002-1.5 for use of wireless phones. This increased HR was  based on results for astrocytoma WHO grade IV (glioblastoma multiforme).  Decreased HR was found for low-grade astrocytoma, WHO grades I-II, which might ,  Context: (HR)=1.2, 95% CI=1.002-1.5 for use of wireless phones. This increased HR was  based on results for astrocytoma WHO grade IV (glioblastoma multiforme).  Decreased HR was found for low-grade astrocytoma, WHO grades I-II, which might ","23261330, 23261330, 17851009, 17851009, 23261330, 23261330","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042"
What is the applicability of the No Promoter Left Behind method?,"The No Promoter Left Behind (NPLB) method is organism-independent, meaning it can be applied to any organism."," Context: also at https://github.com/computationalBiology/NPLB/ (Mac OSX/Linux). CONTACT: l.narlikar@ncl.res.in SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online. ,  Context: also at https://github.com/computationalBiology/NPLB/ (Mac OSX/Linux). CONTACT: l.narlikar@ncl.res.in SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online. ,  Context: (TSS). No Promoter Left Behind (NPLB) is an efficient, organism-independent  method for characterizing such diverse architectures directly from  experimentally identified genome-wide TSSs, without relying on known promoter ,  Context: (TSS). No Promoter Left Behind (NPLB) is an efficient, organism-independent  method for characterizing such diverse architectures directly from  experimentally identified genome-wide TSSs, without relying on known promoter ,  Context: Promoters have diverse regulatory architectures and thus activate genes  differently. For example, some have a TATA-box, many others do not. Even the  ones with it can differ in its position relative to the transcription start site ,  Context: Promoters have diverse regulatory architectures and thus activate genes  differently. For example, some have a TATA-box, many others do not. Even the  ones with it can differ in its position relative to the transcription start site ","26530723, 26530723, 26530723, 26530723, 26530723, 26530723","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723
Does the Oncotype DX test work with paraffin embedded tissues?,"Yes, the Oncotype DX Colon Cancer Assay uses fixed paraffin embedded (FPE) primary colon tumor tissue."," Context: BACKGROUND: The Oncotype DX Colon Cancer Assay is a new diagnostic test for  determining the likelihood of recurrence in stage II colon cancer patients after  surgical resection using fixed paraffin embedded (FPE) primary colon tumor ,  Context: BACKGROUND: The Oncotype DX Colon Cancer Assay is a new diagnostic test for  determining the likelihood of recurrence in stage II colon cancer patients after  surgical resection using fixed paraffin embedded (FPE) primary colon tumor ,  Context: biomarker for 88.4% of the clinical samples. The success rates decreased and  tissue consumption increased with testing of additional biomarkers.  Investigational Oncomine Dx Target Tests were permitted 1 tissue slide each and ,  Context: biomarker for 88.4% of the clinical samples. The success rates decreased and  tissue consumption increased with testing of additional biomarkers.  Investigational Oncomine Dx Target Tests were permitted 1 tissue slide each and ,  Context: tissue. Like the Oncotype DX Breast Cancer Assay, this is a high complexity,  multi-analyte, reverse transcription (RT) polymerase chain reaction (PCR) assay  that measures the expression levels of specific cancer-related genes. By ,  Context: tissue. Like the Oncotype DX Breast Cancer Assay, this is a high complexity,  multi-analyte, reverse transcription (RT) polymerase chain reaction (PCR) assay  that measures the expression levels of specific cancer-related genes. By ","21176237, 21176237, 30243889, 30243889, 21176237, 21176237","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,Lewy body disease is a disorder characterized by the presence of numerous Lewy bodies throughout the cerebral cortex and the brainstem.," Context: accompanied by subcortical multisystem degeneration with neuronal loss and  gliosis with or without Alzheimer pathologic state. Lewy bodies also occur in  numerous other disorders, including pure autonomic failure, neuroaxonal ,  Context: accompanied by subcortical multisystem degeneration with neuronal loss and  gliosis with or without Alzheimer pathologic state. Lewy bodies also occur in  numerous other disorders, including pure autonomic failure, neuroaxonal ,  Context: Pathological studies have also individualized a new disorder characterized by  the presence of numerous Lewy bodies throughout the cerebral cortex and the  brainstem: Lewy body disease. The clinical syndrome associates dementia, ,  Context: Pathological studies have also individualized a new disorder characterized by  the presence of numerous Lewy bodies throughout the cerebral cortex and the  brainstem: Lewy body disease. The clinical syndrome associates dementia, ,  Context: pathological diagnosis of Lewy body disorders and dementia with Lewy bodies is  established by validated consensus criteria based on semiquantitative assessment  of subcortical and cortical Lewy bodies as their common hallmarks. They are ,  Context: pathological diagnosis of Lewy body disorders and dementia with Lewy bodies is  established by validated consensus criteria based on semiquantitative assessment  of subcortical and cortical Lewy bodies as their common hallmarks. They are ","14502650, 14502650, 1534893, 1534893, 14502650, 14502650",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999"
The NoSAS Score can be used for screening of which disorders?,The NoSAS score can be used for screening of OSAHS (Obstructive Sleep Apnea Hypopnea Syndrome).," Context: is necessary to further evaluate the diagnostic value of NoSAS score. ,  Context: is necessary to further evaluate the diagnostic value of NoSAS score. ,  Context: 34.8% and 44.4%). The NoSAS score ≥ 7 had higher sensitivity and negative  predictive value(75.0% and 47.1%, 78.1% and 66.5%, 82.7% and 81.9%)than the  NoSAS socre ≥ 8. With AHI≥5 events/h as the standard diagnosis of OSAHS, the ,  Context: 34.8% and 44.4%). The NoSAS score ≥ 7 had higher sensitivity and negative  predictive value(75.0% and 47.1%, 78.1% and 66.5%, 82.7% and 81.9%)than the  NoSAS socre ≥ 8. With AHI≥5 events/h as the standard diagnosis of OSAHS, the ,  Context: Obesity, Snoring, Age, Sex) score test is a simple, efficient, and easily  employed tool enabling identification of individuals at risk for the disease.  The score ranges from 0 to 17 and the patient has a high probability of OSA if ,  Context: Obesity, Snoring, Age, Sex) score test is a simple, efficient, and easily  employed tool enabling identification of individuals at risk for the disease.  The score ranges from 0 to 17 and the patient has a high probability of OSA if ","29518851, 29518851, 29518851, 29518851, 31196834, 31196834","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086"
What species is associated with Tetrodotoxin?,Pufferfish is a species associated with Tetrodotoxin (TTX).," Context: Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An ,  Context: Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An ,  Context: Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An ,  Context: Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An ,  Context: To elucidate innervation in the upper esophageal sphincter (UES) muscle of the  eel, a key muscle in swallowing, repetitive electrical field stimulation (EFS;  30 mA, 40 V, 300 micros, 10 Hz, 10 trains) was employed. Anatomically, the eel ,  Context: To elucidate innervation in the upper esophageal sphincter (UES) muscle of the  eel, a key muscle in swallowing, repetitive electrical field stimulation (EFS;  30 mA, 40 V, 300 micros, 10 Hz, 10 trains) was employed. Anatomically, the eel ","20411115, 20411115, 20411115, 20411115, 12624651, 12624651","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694"
Does a selective sweep increase genetic variation?,"No, a selective sweep is typically associated with a local reduction of genetic diversity around the adaptive site."," Context: approaches. We investigate analytically and numerically how the accuracy of our  estimator is affected by the decay of the sweep pattern over time as a  consequence of random genetic drift and discuss potential effects of ,  Context: approaches. We investigate analytically and numerically how the accuracy of our  estimator is affected by the decay of the sweep pattern over time as a  consequence of random genetic drift and discuss potential effects of ,  Context: Selective sweeps are typically associated with a local reduction of genetic  diversity around the adaptive site. However, selective sweeps can also quickly  carry neutral mutations to observable population frequencies if they arise early ,  Context: Selective sweeps are typically associated with a local reduction of genetic  diversity around the adaptive site. However, selective sweeps can also quickly  carry neutral mutations to observable population frequencies if they arise early ,  Context: size of dips in genetic diversity around the adaptive site, our estimator  requires much shorter sequences but sampled at high population depth to capture  low-frequency variants; given such data, it consistently outperforms standard ,  Context: size of dips in genetic diversity around the adaptive site, our estimator  requires much shorter sequences but sampled at high population depth to capture  low-frequency variants; given such data, it consistently outperforms standard ","22491190, 22491190, 22491190, 22491190, 22491190, 22491190","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120"
List markers for autophagy.,GFP-LC3 and GFP-Atg5 are used as markers for monitoring autophagy.," Context: autophagosome-lysosome fusion by promoting F-actin remodeling in a  cortactin-dependent manner. Remarkably, HDAC6 and cortactin are dispensable for  starvation-induced autophagy. These findings reveal that autophagosomes ,  Context: autophagosome-lysosome fusion by promoting F-actin remodeling in a  cortactin-dependent manner. Remarkably, HDAC6 and cortactin are dispensable for  starvation-induced autophagy. These findings reveal that autophagosomes ,  Context: monitoring autophagy, including the use of GFP-LC3 and GFP-Atg5, are discussed. ,  Context: monitoring autophagy, including the use of GFP-LC3 and GFP-Atg5, are discussed. ,  Context: potential of this unique machinery. ,  Context: potential of this unique machinery. ","20404488, 20404488, 21175768, 21175768, 20404488, 20404488",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619"
