question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"Histone H3 lysine 27 (H3K27) demethylases are frequently mutated in medulloblastomas of Group 3 and Group 4, suggesting a role for H3K27 methylation in these tumors."," Context: known tumor suppressor genes (TSG), most not previously implicated in  medulloblastoma. Notably, we identified previously unknown amplifications and  homozygous deletions, including recurrent, mutually exclusive, highly focal ,  Context: critical genes in its development, we profiled the promoter methylation status  of 11 candidate tumour-suppressor genes (TSGs; p14(ARF), p15(INK4b), p16(INK4a),  CASP8, HIC1, EDNRB, TIMP3, TP73, TSLC1, RIZ1 and RASSF1A) in medulloblastoma ,  Context: remodeling of the fundamental nucleosomal structure of chromatin or covalent  histone marks located in core histones regulate main cellular processes  including DNA methylation, replication, DNA-damage repair as well as gene ,  Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels ,  Context: A host of cancer types exhibit aberrant histone modifications. Recently,  distinct and recurrent mutations in a specific histone variant, histone H3.3,  have been implicated in a high proportion of malignant pediatric brain cancers. ,  Context: Epigenetic mechanisms are increasingly recognized as a major factor contributing  to pathogenesis of cancer including glioblastoma, the most common and most  malignant primary brain tumour in adults. Enzymatic modifications of histone ","19270706, 14688019, 23114751, 23179372, 24229707, 24838514","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
What is the role of STAG1/STAG2 proteins in differentiation?,"The role of STAG1/STAG2 proteins in differentiation is not explicitly stated, but it is mentioned that alterations of STAG2 are associated with inactivating changes."," Context: with inactivating alterations of STAG2. ,  Context: viewed as a kind of incomplete apoptosis. Analysis of well-known apoptotic  targets of caspases implicates that the cleavage of a limited number of selected  substrates plays a major role during non-apoptotic functions of caspases. ,  Context: role for Ihh in skeletal development. Mutants display markedly reduced  chondrocyte proliferation, maturation of chondrocytes at inappropriate position,  and a failure of osteoblast development in endochondral bones. Together, the ,  Context: Therefore we suggest that regulated expression of stg mRNA controls the timing  and location of these embryonic cell divisions. ,  Context: dynamic regulation than previously thought, such as cell cycle dependent  activation and oscillating gene expression. We discuss here recent advances in  understanding how Notch signaling is regulated in the developing nervous system ,  Context: the Notch pathway. Here, we have studied the function of Hes1 during embryonic  development of the mouse ovary. We find that Hes1 protein is present in somatic  cells and oocyte cytoplasm and decreases between E15.5 and P0. Conventional Hes1 ","28430577, 14555221, 10465785, 2702688, 19783418, 23274689",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799"
What is the association between cell phone use and glioblastoma?,"There is no direct mention of an association between cell phone use and glioblastoma in the provided text. However, it is mentioned that for astrocytoma grade I-II (low-grade), the results were HR = 0.5 ("," Context: CONCLUSION: No significant increased risk for glioma, meningioma or neuroma was  observed among cell phone users participating in Interphone. The statistical  power of the study is limited, however. Our results, suggesting the possibility ,  Context: Previous studies have shown a consistent association between long-term use of  mobile and cordless phones and glioma and acoustic neuroma, but not for  meningioma. When used these phones emit radiofrequency electromagnetic fields ,  Context: cellphone radiation plume are treated as exposed, (9) exclusion of brain tumor  cases because of death or illness, (10) recall accuracy of cellphone use, and  (11) funding bias. The Interphone studies have all 11 flaws, and the Swedish ,  Context: gave a hazard ratio (HR) = 1.1 (95% confidence interval, CI = 0.9-1.2), with >  10-year latency HR = 1.2 (95% CI = 1.002-1.5, p trend = 0.02). For astrocytoma  grade I-II (low-grade), the results were, HR = 0.5 (95% CI = 0.3-0.9) and for ,  Context: and glioblastoma (GBM) at 5.73/10(5)/year and 3.69/10(5)/year, respectively. A  male to female ratio of 1.25 was obtained in the GBM group. IRs of glioma and  GBM for both males and females were higher in the age group 60-79. The most ,  Context: connection between cell phone radiation and brain tumour incidence. It is also  used to estimate more accurately survival times from detection. Finally, based  on patient parameters, the solution of the model equation of the tumour growth ","17851009, 24064953, 19356911, 23095687, 19494549, 22882019","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042"
What is the applicability of the No Promoter Left Behind method?,The No Promoter Left Behind method can be applied in identifying novel architectures in the fly genome.," Context: elements. As a test case, we show its application in identifying novel  architectures in the fly genome. AVAILABILITY AND IMPLEMENTATION: Web-server at http://nplb.ncl.res.in Standalone ,  Context: may improve developmental outcome. ,  Context: expression regulation, cancer genetic analysis, and genetic experiments.  Finally, it will form a comprehensive summary of related knowledge of genetics  through class discussion on the Barr body. We found that this teaching method ,  Context: adults with advanced HIV disease. However, neither of these interventions has a  clear effect on overall mortality. Further research is needed to better  understand these interventions and the populations in which they may be most  effective. ,  Context: its further development and application. ","26530723, 19203856, 22522168, 16034947, 23483940","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723
Does the Oncotype DX test work with paraffin embedded tissues?,"Yes, the Oncotype DX test works with formalin-fixed paraffin-embedded (FFPE) tissues."," Context: formalin-fixed paraffin-embedded (FFPE) tumour blocks that are obtained during  initial surgery (lumpectomy, mastectomy, or core biopsy) of women with early  breast cancer that is newly diagnosed. The panel of 21 genes include genes ,  Context: BACKGROUND: The Oncotype DX Colon Cancer Assay is a new diagnostic test for  determining the likelihood of recurrence in stage II colon cancer patients after  surgical resection using fixed paraffin embedded (FPE) primary colon tumor ,  Context: biomarker for 88.4% of the clinical samples. The success rates decreased and  tissue consumption increased with testing of additional biomarkers.  Investigational Oncomine Dx Target Tests were permitted 1 tissue slide each and ,  Context: oncotype DX and MammaPrint. Current evidence indicates that the oncotype DX test  has the advantages of earlier commercial launch, wide acceptance for payment by  third-party payors in the U.S., ease of use of formalin-fixed paraffin-embedded ,  Context: prevalent. Both assays proved highly sensitive and specific when applied to  clinical specimens, and were applicable to both fresh-frozen and formalin-fixed  paraffin-embedded archival tissues. These assays would serve as a suitable ,  Context: assay requires a fresh-frozen tissue sample, which is not always feasible. The  oncotype DX® genomic assay has also been used to help prognosis estimation and  treatment decisions. It is currently under evaluation in conjunction with the ","23074401, 21176237, 30243889, 18515733, 19430299, 21278441","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,Lewy body disease (LBD) is a disorder characterized by the presence of numerous Lewy bodies throughout the cerebral cortex and the brainstem.," Context: accompanied by subcortical multisystem degeneration with neuronal loss and  gliosis with or without Alzheimer pathologic state. Lewy bodies also occur in  numerous other disorders, including pure autonomic failure, neuroaxonal ,  Context: attain the substantia nigra. However, it seems that Braak staging can not  explain difference in severity of autonomic failure between DLB and PD. As a  possibility, in DLB patients with significant autonomic failure, Lewy bodies may ,  Context: as the disease progresses, and prion-like cell-to-cell transmission of  aggregated α-synuclein is thought to be the underlying mechanism for this  pathological spreading. LRRK2 is another protein linked to the pathogenesis of ,  Context: Pathological studies have also individualized a new disorder characterized by  the presence of numerous Lewy bodies throughout the cerebral cortex and the  brainstem: Lewy body disease. The clinical syndrome associates dementia, ,  Context: We proposed the term 'Lewy body disease' (LBD) in 1980. Subsequently, we  classified LBD into three types according to the distribution pattern of Lewy  bodies: a brainstem type, a transitional type and a diffuse type. Later, we ,  Context: certain neurological diseases. ","14502650, 24291999, 24465140, 1534893, 24597591, 21271304",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999"
The NoSAS Score can be used for screening of which disorders?,The NoSAS score is a simple and efficient screening tool for Obstructive Sleep Apnea Syndrome (OSA) in patients with Major Depressive Episodes (MDE).," Context: sleep-disordered breathing. The NoSAS score was externally validated in an  independent sleep cohort (EPISONO). We compared its performance to existing  screening scores (STOP-Bang and Berlin scores). ,  Context: CONCLUSIONS: This is the first study assessing the performance of screening  tools for OSAS in MDE. The NoSAS score is a simple and efficient screening tool  for OSAS in this population, and may be a helpful instrument for clinicians. ,  Context: is necessary to further evaluate the diagnostic value of NoSAS score. ,  Context: OSA was 0.538 and 0.624, respectively. The sensitivity and specificity of NoSAS  combined with improved Mallampati grading for screening OSA were 0.813 and  0.710, respectively. Conclusion:As a new screening tool, NoSAS questionnaire is ,  Context: for an AHI ≥ 15 event/h, respectively. AUC percentages for the NoSAS score,  STOP-Bang questionnaire, Berlin questionnaire, and ESS were 0.740, 0.737, 0.626,  and 0.571 for an AHI ≥ 5 events/h and 0.715, 0.704, 0.574, and 0.621 for an AHI ,  Context: and 22 lipids initially selected, those with the best association with OSA were  glutamic acid, deoxy sugar and arachidonic acid (metabolites), and  glycerophosphoethanolamines, sphingomyelin and lyso-phosphocholines (lipids). ","27321086, 29055261, 29518851, 32842224, 32967411, 30050090","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086"
What species is associated with Tetrodotoxin?,"Pufferfish is a species associated with Tetrodotoxin (TTX). Additionally, other species such as Lagocephalus lunaris (LL) and Lagocephalus spadiceus (LS) are also found to possess T"," Context: Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An ,  Context: diversification of TTX-bearing organisms, and to the sudden occurrence of other  forms of TTX poisoning due to their ingestion. ,  Context: Tetrodotoxin is a potent low weight marine toxin found in warm waters,  especially of the Indian and Pacific Oceans. Intoxications are usually linked to  the consumption of the puffer fish, although TTX was already detected in several ,  Context: lunaris(LL), and 363 Lagocephalus spadiceus (LS)) and 100 edible fishes were  caught in Thailand from June 2011-February 2012. Screening of TTX from their  flesh by TTX-IC revealed that 69 samples (17.8%) of LL possessed TTX at ,  Context: ovary contained the most toxin (1810 mouse unit [MU]/g), followed by liver  (341 MU/g), muscle (135 MU/g), skin (79 MU/g), and intestine (72 MU/g). Liquid  chromatography/mass spectrometry analysis revealed that TTX was the major toxin. ,  Context: associated bacteria and TTX are widely produced amongst a diversity of bacterial  species. ","20411115, 23724281, 22690139, 24295175, 22028709, 22163191","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694"
Does a selective sweep increase genetic variation?,"No, a selective sweep reduces linked genetic variation due to strong positive selection."," Context: novel variation arising from mutations during a sweep, it does not rely on  preexisting variation and can also be applied to loci that lack recombination.  Compared with standard approaches that infer selection coefficients from the ,  Context: A selective sweep describes the reduction of linked genetic variation due to  strong positive selection. If s is the fitness advantage of a homozygote for the  beneficial allele and h its dominance coefficient, it is usually assumed that ,  Context: naturally occurring recombination events allowed the establishment of haplotype  diversity after the sweep. However, recombination did not have sufficient time  to erase the signal of the selective sweep. ,  Context: Organisms can often adapt surprisingly quickly to evolutionary challenges, such  as the application of pesticides or antibiotics, suggesting an abundant supply  of adaptive genetic variation. In these situations, adaptation should commonly ,  Context: close to the gene. This reduction in allelic diversity around flanking regions  of pfcrt gene was reported in worldwide chloroquine resistant isolates and  referred as selective sweep. In Plasmodium falciparum isolates of India, the ,  Context: a greater reduction in expected heterozygosity occurs in the subpopulation from  which the beneficial mutation originates than in its neighboring subpopulations.  This raises a possibility of detecting a ""hidden"" geographic structure of ","22491190, 21076829, 18346126, 24075201, 24126360, 21705748","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120"
List markers for autophagy.,"AMPK is a marker for autophagy, specifically in relation to cardiac dysfunction and decreased cardiac autophagy in diabetic OVE26 mice. Additionally, ATG (autophagy-related genes) are also markers for autophagy, as seen"," Context: Mitochondrial dysfunction is an early sign of many neurodegenerative diseases.  Very recently, two Parkinson disease (PD) associated genes, PINK1 and Parkin,  were shown to mediate the degradation of damaged mitochondria via selective ,  Context: Various methods have been used to detect the marker genes and the proteins  involved in these processes. Quantitative real-time PCR (qRT-PCR) method for  monitoring the expression of genes involved in autophagy or autophagic cell ,  Context: We have recently shown that in diabetic OVE26 mice (type I diabetes), the  AMP-activated protein kinase (AMPK) is reduced along with cardiac dysfunction  and decreased cardiac autophagy. Genetic inhibition of AMPK in cardiomyocytes ,  Context: leaf surface of host plant and destroy the plant defense. Yeast, an autophagy  model, has been used to compare the multi-valued functions of ATG  (autophagy-related genes) in different filamentous fungi. The autophagy ,  Context: between the ubiquitin system and autophagy of bacteria (and interestingly  mitochondria, which are incidentally organelles of bacterial evolutionary  origin) via a growing list of modifier and adapter proteins including ,  Context: responses to viral and bacterial infections. Some viruses encode virulence  factors for blocking autophagy, whereas others utilize some autophagy components  for their intracellular growth or cellular budding. The ""core"" autophagy-related ","20798600, 28889353, 21685727, 22554685, 20116986, 21175768",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619"
Which package is available for analysing genomic interactions in R/Bioconductor?,CNVRanger is a Bioconductor package available for analyzing genomic interactions in R/Bioconductor. It can be found at http://bioconductor.org/packages/CNVRanger.," Context: AVAILABILITY AND IMPLEMENTATION: The traseR R package preloaded with up-to-date  collection of trait-associated SNPs are freely available in Bioconductor CONTACT: zhaohui.qin@emory.edu ,  Context: Bioconductor packages, including those for sequence analysis, differential  expression analysis and visualization. ,  Context: for purification of specific genomic regions retaining molecular interactions.  We showed that enChIP using the CRISPR system efficiently isolates specific  genomic regions. In this form of enChIP, specific genomic regions are ,  Context: The Biological General Repository for Interaction Datasets (BioGRID:  https://thebiogrid.org) is an open access database dedicated to the annotation  and archival of protein, genetic and chemical interactions for all major model ,  Context: from common genomic data formats including Browser Extensible Data (BED),  bedGraph and Browser Extensible Data Paired-End (BEDPE). Sushi.R is open source  and made publicly available through GitHub (https://github.com/dphansti/Sushi)  and Bioconductor ,  Context: AVAILABILITY AND IMPLEMENTATION: http://bioconductor.org/packages/CNVRanger. ","26685307, 23950696, 23942116, 27980099, 24903420, 31392308","r3Cseq is an R/Bioconductor package designed to perform 3C-seq data analysis in a number of different experimental designs. The package reads a common aligned read input format, provides data normalization, allows the visualization of candidate interaction regions and detects statistically significant chromatin interactions, thus greatly facilitating hypothesis generation and the interpretation of experimental results.",23671339
Can a circRNA be translated into protein?,"Yes, some circRNAs can generate proteins in vivo, which expands the landscape of transcriptome and proteome."," Context: have been suggested to be potential mechanism for circRNA translation. To date,  several translated circRNAs have been uncovered to play pivotal roles in human  cancers. In this review, we introduced the properties and functions of circRNAs, ,  Context: found widespread circular RNA expression in Drosophila melanogaster and estimate  that in humans, circular RNA may account for 1% as many molecules as poly(A)  RNA. Analysis of data from the ENCODE consortium revealed that the repertoire of ,  Context: to be noncoding. However, the latest research findings revealed that some  circRNAs could generate proteins in vivo, which expands the landscape of  transcriptome and proteome. To gain insights into the new area of circRNA ,  Context: Circular RNA (circRNA) is a long non‑coding RNA molecule with a closed loop  structure lacking a 5'cap and 3'tail. circRNA is stable, difficult to cleave and  resistant to RNA exonuclease or RNase R degradation. circRNA molecules have ,  Context: Circular RNAs (circRNAs) are a subclass of noncoding RNAs widely expressed in  mammalian cells. We report here the tumorigenic capacity of a circRNA derived  from angiomotin-like1 (circ-Amotl1). Circ-Amotl1 is highly expressed in patient ,  Context: Circular RNAs are new players in regulation of post transcriptional gene  expression. Animal genomes express many circular RNAs from diverse genomic  locations. A recent study has validated a fairly large number of circular RNAs ","32059672, 24039610, 29028266, 33650643, 28622299, 24339831","Circ-ZNF609 is associated with heavy polysomes, and it is translated into a protein in a splicing-dependent and cap-independent manner, providing an example of a protein-coding circRNA in eukaryotes. Circular RNAs (circRNAs) represent a large class of noncoding RNAs (ncRNAs) that have recently emerged as regulators of gene expression  However, whether circRNAs encode functional proteins remains elusive, although translation of several circRNAs was recently reported","27892769, 29028266, 27255916, 26649774, 28344080, 26874353, 28344082, 27617908, 28903484, 27612318"
"There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?","No. Truvada is a drug approved to prevent HIV infections, and it is the key pharmaceutical component of pre-exposure prophylaxis (PrEP)."," Context: BACKGROUND: The potential impact of antiretroviral therapy (ART) and  pre-exposure prophylaxis (PrEP) with overlapping and nonoverlapping  antiretrovirals (ARVs) on human immunodeficiency virus (HIV) transmission and  drug resistance is unknown. ,  Context: Truvada is getting a new lease on life as a preventive agent. It is the only  drug approved to prevent HIV infections, and Truvada is the key pharmaceutical  component of pre-exposure prophylaxis, which is aimed at preventing, rather than ,  Context: Findley Spirography Scale, the Washington Heights-Inwood Genetic Study of  Essential Tremor Rating Scale, and the Tremor Research Group Essential Tremor  Rating Assessment Scale), one ADL/disability scale (the Bain and Findley Tremor ,  Context: treatment and prevention of HIV infection. ,  Context: Daily oral pre-exposure prophylaxis (PrEP) is the use of antiretroviral drugs by  HIV-negative people to prevent HIV infection. WHO released new guidelines in  2015 recommending PrEP for all populations at substantial risk of HIV infection. ,  Context: Pre-exposure prophylaxis (PrEP) is an experimental approach to HIV prevention  and consists of antiretroviral drugs to be taken before potential HIV exposure  in order to reduce the risk of HIV infection and continued during periods of ","23570850, 29068302, 24038576, 29746267, 27900502, 21799568",Pre-exposure prophylaxis (PrEP) with the drug combination Truvada can substantially decrease HIV transmission in individuals at risk.,"28370177, 23570850, 26746652, 25987851, 27177804, 29278542, 28657199, 21799568, 27900502, 23972284"
What is the purpose of HaploReg v4?,"HaploReg v4 aims to incorporate regulator binding data, expand regulatory motif disruption annotations, and integrate expression quantitative trait locus (eQTL) variants and their tissue-specific target genes from GTEx, Geuvadis, and other recent studies"," Context: incorporating regulator binding data, expanding regulatory motif disruption  annotations, and integrating expression quantitative trait locus (eQTL) variants  and their tissue-specific target genes from GTEx, Geuvadis, and other recent ,  Context: becoming a time-consuming procedure. We developed the Variant InsPector and  Expert Rating tool (VIPER) to speed up this process by integrating the  Integrative Genomics Viewer into a web application. Analysts can then quickly ,  Context: Jiangsu Province and Jiangsu Province Hospital from 2003 to 2009. Controls were  randomly selected from individuals who visited the same hospital or a  community-based health examination program during the same time period. A 5 ml ,  Context: SNP loci in 270 individuals representing four populations. Phase III provides  dense genotype data on ∼1.5 million SNPs, generated by Illumina and Affymetrix  platforms in a larger set of individuals. Release 3 of phase III of the HapMap ,  Context: BACKGROUND: The UK Biobank is a unique resource for biomedical research, with  extensive phenotypic and genetic data on half a million adults from the general  population. We aimed to examine the effect of neurodevelopmental copy number ,  Context: typically have low frequencies and moderate to large effects. Detecting such  variants is of interest to the genetics community, and relevant statistical  methods for detecting and quantifying their effects are sorely needed. We ","26657631, 29346510, 27539526, 20869033, 27773354, 22140526","HaploReg v4 enables the systematic mining of putative causal variants, cell types, regulators and target genes for human complex traits and disease.","27539526, 26657631"
Does oncogene-induced DNA replication stress inhibit genomic instability?,"No, it does not. In fact, DNA repair processes and genomic instability can be initiated by structural changes in chromosomes that frequently lead to activation of proto-oncogenes and elimination of tumor-suppressor genes."," Context: However, the origin of single-nucleotide substitutions (SNS) in nonfamilial  cancers is strongly debated. Some argue that cancers have a mutator phenotype,  whereas others argue that the normal DNA replication error rates are sufficient ,  Context: that experience transient Mad2 overexpression and consequent chromosome  instability recur at markedly elevated rates. The recurrent tumours are highly  aneuploid and have varied activation of pro-proliferative pathways. Thus, early ,  Context: approaches to better understand the role of PR-Set7 and H4K20 methylation in  regulating DNA replication and genome stability in Drosophila cells. We find  that deregulation of H4K20 methylation had no impact on origin activation ,  Context: DNA repair, telomere maintenance and replication fork stability in response to  DNA replication stress. ,  Context: Hutchinson Gilford progeria syndrome (HGPS) is a devastating accelerated aging  disease caused by LMNA gene mutation. The truncated lamin A protein produced  ""progerin"" has a dominant toxic effect in cells, causing disruption of nuclear ,  Context: immediate family members. As structural changes in chromosomes frequently lead  to activation of proto-oncogenes and elimination of tumor-suppressor genes, they  represent important mechanisms for the initiation of DNA repair processes and ","23204322, 20173739, 27131378, 28623093, 31834988, 10886022","No, oncogene-induced DNA replication stress is thought to drive genomic instability.",23204322
Do IEG create a ripple effect of transcription?,"Rapid induction of immediate-early genes (IEGs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes. This suggests that IEGs can indeed create a ripple effect of transcription, influencing the expression of"," Context: frequently spills over into its physical neighbouring loci. Rapid induction of  immediate-early genes (IEGs) in response to growth factor stimulations is  accompanied by co-upregulation of their neighbouring genes. Profiling the ,  Context: their transcription following primary infection or reactivation in the presence  of inhibitors of protein synthesis. This chapter describes an approach to  identify IE genes in a novel herpesvirus genome. Transcription of IE genes is ,  Context: effect on ERG2 transcription. ,  Context: transcripts and govern their fate. However, natural IGs manage to maintain  satisfactory expression levels. Different mechanisms by which IGs solve the  problem of mRNA processing and nuclear export are discussed here, along with ,  Context: Pioneer transcription factors can engage nucleosomal DNA, which leads to local  chromatin remodeling and to the establishment of transcriptional competence.  However, the impact of enhancer priming by pioneer factors on the temporal ,  Context: also replication, and its role in controlling epigenetic events such as DNA  methylation and the functionality of the insulator protein CCCTC-binding factor. ","19160492, 15507712, 10734216, 22732409, 30518940, 22969794",Rapid induction of immediate-early genes (IEGs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes. Profiling the primary transcripts in the nucleus with whole-genome tiling arrays delineated simultaneous activation of transcription centred on IEGs.,19160492
What is Hemophilic Pseudotumor?,"Hemophilic pseudotumor is a condition characterized by giant abdominal masses involving soft tissue density that may be associated with extra-osseous lesions. It can also occur within the joint space, leading to intra-articular bleeding."," Context: With the continuation of the second wave of a novel coronavirus disease  (COVID-19), which is likely to be even more devastating, there are several  associated health problems. COVID-19 is usually mild and non-fatal in children. ,  Context: osseous hemorrhage. Radiographs may demonstrate expansile lesions of the bones  or increased soft tissue density that may be associated with extra osseous  lesions. Bleeding may also occur within the joint space. These intra-articular ,  Context: pseudotumor. The objective of this article is to report surgical treatment and  follow-up outcomes of three unusual cases with giant abdominal hemophilic  pseudotumor.We describe 3 patients with giant hemophilic pseudotumor involving ,  Context: Prevention is essential for avoiding the complications of muscle hematomas  (pseudotumors, compartment syndromes and peripheral nerve lesions) in hemophilic  patients. This is achieved through early diagnosis of muscle hematomas and ,  Context: assisted with the availability of specimen repositories. METHODS: Cryopreservation of erythrocytes was evaluated as a means to preserve  G6PD activity. Blood specimens from 31 patients including ten specimens with ,  Context: glycosphosphatidylinositol-anchored proteins (GPI-AP). The lack of one of the  GPI-AP complement regulatory proteins (CD55, CD59) leads to hemolysis. The  disease is diagnosed with hemolytic anemia, marrow failure and thrombosis. ","33679227, 16296204, 31725667, 32490041, 23961874, 26205796","Hemophilic Pseudotumor is a rare complication of hemophilia. It  is an encapsulated haematoma in patients with haemophilia  which has a tendency to progress and produce clinical symptoms related to its anatomical location. The lesion most frequently occurs in the long bones, pelvis, small bones of the hands and feet, or rarely in the maxillofacial region.","17721227, 18284939, 25332621, 16296204, 25290383, 17306128, 28211222, 8938781, 29095073, 33083429, 8819627, 28590380, 8246062, 15454768, 26000180, 20460342, 32530103, 32490041, 18799938, 24942018, 18836937, 2093257, 16721483, 27615056, 31970256, 32700372, 20671836, 18092253, 31725667, 23095268, 1395299, 25006951, 25404776, 22677741, 28852852, 15662330, 25629563"
