question,answer,contexts,contexts_ids,ground_truth,goldPassages
Was Abraham Lincoln the sixteenth President of the United States?,"Yes, according to the context provided, Abraham Lincoln was indeed the sixteenth President of the United States.","Context:  Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination . As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now ."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232, Context:  On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party . He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states . Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes, Context:  Photograph showing the March 4, 1861, inauguration of Abraham Lincoln in front of United States Capitol, Context:  Abraham Lincoln's birthday, February 12, was formerly a national holiday, now commemorated as Presidents' Day. However, it is still observed in Illinois and many other states as a separate legal holiday, Lincoln's Birthday . A dozen states have legal holidays celebrating the third Monday in February as 'Presidents' Day' as a combination Washington-Lincoln Day","278, 319, 322, 387",yes,
Did Lincoln sign the National Banking Act of 1863?,"Yes, based on the context provided, Lincoln signed the National Banking Acts of 1863, 1864, and 1865.","Context: . The Pacific Railway Acts of 1862 and 1864 granted federal support for the construction of the United States' First Transcontinental Railroad, which was completed in 1869  . Other important legislation involved economic matters, including the first income tax and higher tariffs  . Also included was the creation of the system of national banks by the National Banking Acts of 1863, 1864, and 1865, which allowed the creation of a strong national financial system .  Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889, Context:  Lincoln did not show the pledge to his cabinet, but asked them to sign the sealed envelope, Context: The Panic of 1873 hit the country hard during his presidency, and he never attempted decisive action, one way or the other, to alleviate distress  . The first law that he signed, in March 1869, established the value of the greenback currency issued during the Civil War, pledging to redeem the bills in gold . In 1874, he vetoed a bill to increase the amount of a legal tender currency, which defused the currency crisis on Wall Street but did little to help the economy as a whole . The depression led to Democratic victories in the 1874 off-year elections, as that party took control of the House for the first time since 1856, Context:  He signed the Interstate Commerce Act, the first law attempting Federal regulation of the railroads","360, 338, 1817, 488",yes,
Did his mother die of pneumonia?,"No, Coolidge's mother died young in 1884, possibly due to tuberculosis.","Context: . It is through this ancestor that Coolidge claimed to be descended in part from American Indians. McCoy, 5  Coolidge's father was also a farmer, but spent some time as a schoolteacher and justice of the peace  . Fuess, 16  His mother, Victoria Josephine Moor Coolidge, was the daughter of another Plymouth Notch farmer  . Fuess, 17  Coolidge's mother was chronically ill, possibly suffering from tuberculosis, and died young in 1884, but Coolidge's father lived to see him become President. McCoy, 5; White, 11, Context: Alice Hathaway Lee Roosevelt (July 29, 1861 in Chestnut Hill, Massachusetts â February 14 1884 in Manhattan, New York) was the first wife of Theodore Roosevelt and mother of their only child together, Alice Lee Roosevelt  .  Alice Roosevelt died of an undiagnosed case of Bright's Disease two days after Alice Lee was born.  Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884 .  After the simultaneous deaths of his mother and wife, Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory, Context: As Ford approached his ninetieth year, he began to experience significant health problems associated with old age. He suffered two minor strokes at the 2000 Republican National Convention, but made a quick recovery.  Gerald Ford recovering after strokes  . BBC, August 2, 2000.  Retrieved on December 31, 2006.  In January 2006, he spent 11 days at the Eisenhower Medical Center near his residence at Rancho Mirage, California, for treatment of pneumonia.  Former President Ford, 92, hospitalized with pneumonia . Associated Press, January 17, 2006. Retrieved on October 19, 2007.  On April 23, President George W. Bush visited Ford at his home in Rancho Mirage for a little over an hour . This was Ford's last public appearance and produced the last known public photos, video footage and voice recording. While vacationing in Vail, Colorado, he was hospitalized for two days in July, 2006 for shortness of breath, Context: Lincoln was just seven years old when, in 1816, the family was forced to make a new start in Perry County (now in Spencer County), Indiana  . He later noted that this move was ""partly on account of slavery,"" and partly because of difficulties with land deeds in Kentucky: Unlike land in the Northwest Territory, Kentucky never had a proper U.S  . survey, and farmers often had difficulties proving title to their property. Lincoln was only nine when his mother, then thirty-four years old, died of milk sickness. Soon afterwards, his father remarried  to Sarah Bush Johnston . Sarah Lincoln raised young Lincoln like one of her own children. Years later she compared Lincoln to her own son, saying ""Both were good boys, but I must say â both now being dead that Abe was the best boy I ever saw or ever expect to see ."" Lincoln was affectionate toward his stepmother, whom he would call ""Mother"" for the rest of his life, but he was distant from his father.  Donald, (1995) pp. 28, 152","404, 2894, 2096, 285",no,
How many long was Lincoln's formal education?,Lincoln's formal education consisted of about 18 months of schooling.,"Context:  Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking .  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric . He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme, Context: There were few people who strongly or directly influenced Lincolnâs moral and intellectual development and perspectives  . There was no teacher, mentor, church leader, community leader, or peer that Lincoln would credit in later years as a strong influence on his intellectual development  . Lacking a formal education, Lincolnâs personal philosophy was shaped by ""an amazingly retentive memory and a passion for reading and learning ."" It was Lincolnâs reading, rather than his relationships, that were most influential in shaping his personal beliefs. Guelzo pg. 20. Miller pg. 57-59  Lincolnâs reading and study of the Bible was an integral part of his intellectual roots, Context:  Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates .  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish, Context: He served four successive terms in the Illinois House of Representatives as a representative from Sangamon County, and became a leader of the Illinois Whig party  . In 1837, he made his first protest against slavery in the Illinois House, stating that the institution was ""founded on both injustice and bad policy.""  Protest in Illinois Legislature on Slavery, p  .75, March 3, 1837  It was also in this same year that Lincoln met Joshua Fry Speed, who would become his most intimate friend","287, 376, 289, 293",18 months,
When did Lincoln begin his political career?,"Yes, according to the context, Lincoln began his political career in 1832.","Context:  Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates .  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish, Context:  A Whig and an admirer of party leader Henry Clay,  Lincoln was elected to a term in the U.S. House of Representatives in 1846. As a freshman House member, he was not a particularly powerful or influential figure . He spoke out against the Mexican-American War, which he attributed to President Polk's desire for ""military glory â that attractive rainbow, that rises in showers of blood ."" He also challenged the President's claims regarding the Texas boundary and offered Spot Resolutions demanding to know on what ""spot"" on US soil that blood was first spilt.  Congressional Globe, 30th Session (1848) pp, Context:  On May 9-10, 1860, the Illinois Republican State Convention was held in Decatur. At this convention, Lincoln received his first endorsement to run for the presidency, Context:  Lincoln returned to politics in response to the Kansas-Nebraska Act (1854), which expressly repealed the limits on slavery's extent as determined by the Missouri Compromise (1820). Illinois Democrat Stephen A . Douglas, the most powerful man in the Senate, proposed popular sovereignty as the solution to the slavery impasse, and incorporated it into the Kansas-Nebraska Act . Douglas argued that in a democracy the people should have the right to decide whether or not to allow slavery in their territory, rather than have such a decision imposed on them by Congress.  Donald, (1995) ch. 7","289, 300, 314, 308",1832,
What did The Legal Tender Act of 1862 establish?,"Yes, the Legal Tender Act of 1862 established the United States Note, which was the first paper currency in the history of the United States. This act was implemented to increase the money supply in order to pay for fighting the war","Context:  The Legal Tender Act of 1862 established the United States Note, the first paper currency in United States history.  This was done to increase the money supply to pay for fighting the war, Context:  In July 1862, Congress moved to free the slaves by passing the Second Confiscation Act. The goal was to weaken the rebellion, which was led and controlled by slave owners . While it did not abolish the legal institution of slavery (the Thirteenth Amendment did that), the Act showed that Lincoln had the support of Congress in liberating slaves owned by rebels . This new law was implemented with Lincoln's ""Emancipation Proclamation."", Context: The Panic of 1873 hit the country hard during his presidency, and he never attempted decisive action, one way or the other, to alleviate distress  . The first law that he signed, in March 1869, established the value of the greenback currency issued during the Civil War, pledging to redeem the bills in gold  . In 1874, he vetoed a bill to increase the amount of a legal tender currency, which defused the currency crisis on Wall Street but did little to help the economy as a whole . The depression led to Democratic victories in the 1874 off-year elections, as that party took control of the House for the first time since 1856, Context: Canada's constitution consists of written text and unwritten traditions and conventions  .    The  Constitution Act, 1867 (formerly the British North America Act) established governance based on parliamentary precedent  ""similar in principle to that of the United Kingdom"" and divided powers between the federal and provincial governments . The Constitution Act, 1982 added a Canadian Charter of Rights and Freedoms, which guarantees basic rights and freedoms for Canadians that generally cannot be overridden by legislation of any level of government in Canada . However, a notwithstanding clause, allows the federal parliament and the provincial legislatures to override certain sections of the Charter temporarily, for a period of five years","361, 330, 1817, 2301","the United States Note, the first paper currency in United States history",
Who suggested Lincoln grow a beard?,"Grace Bedell, an 11-year-old girl, suggested Lincoln grow a beard. This suggestion was made in 1860. The context does not provide any other information suggesting that someone else prompted Lincoln to grow a beard","Context:  While Lincoln is usually portrayed bearded, he first grew a beard in 1860 at the suggestion of 11-year-old Grace Bedell, Context: He found in the Declaration justification for Whig economic policy and opposition to territorial expansion and the nativist platform of the Know Nothings  . In claiming that all men were created free, Lincoln and the Whigs argued that this freedom required economic advancement, expanded education, territory to grow, and the ability of the nation to absorb the growing immigrant population. Guelzo pg.194-195, Context: .  The farm site is now preserved as part of Abraham Lincoln Birthplace National Historic Site.  The family belonged to a Baptist church that had seceded from a larger church over the issue of slavery  . Though Lincoln was exposed to his parents' anti-slavery sentiment from a very young age, he never joined their church, or any other church for that matter.  As a youth he had little use for religion. Life of Abraham Lincoln, Colonel Ward H  . Lamon, 1872 - portions reprinted in  Chapter VIII: Abraham Lincoln, Deist, and Admirer of Thomas Paine, From the book Religious Beliefs of Our Presidents by Franklin Steiner (1936), Context:  Abraham Lincoln's official White House portrait","382, 380, 284, 373",11-year-old Grace Bedell,
When did the Gettysburg address argue that America was born?,"Yes, according to the Gettysburg Address, America was born in 1776 when it was conceived in Liberty and dedicated to the proposition that all men are created equal.","Context:  In his Gettysburg Address Lincoln redefined the American nation, arguing that it was born not in 1789 but in 1776, ""conceived in Liberty, and dedicated to the proposition that all men are created equal ."" He declared that the sacrifices of battle had rededicated the nation to the propositions of democracy and equality, ""that this nation shall have a new birth of freedom â and that government of the people, by the people, for the people, shall not perish from the earth ."" By emphasizing the centrality of the nation, he rebuffed the claims of state sovereignty. While some critics say Lincoln moved too far and too fast,  H.L. Mencken said ""It is difficult to imagine anything more untrue, Context: Lincoln's powerful rhetoric defined the issues of the war for the nation, the world, and posterity  . His extraordinary command of the English language was evidenced in the Gettysburg Address, a speech dedicating the cemetery at Gettysburg that he delivered on November 19, 1863 . The speech defied Lincoln's own prediction that ""the world will little note, nor long remember what we say here."" Lincoln's second inaugural address is also greatly admired and often quoted . In these speeches, Lincoln articulated better than anyone else the rationale behind the Union cause, Context:  On March 4 1865, Lincoln delivered his second inaugural address, his favorite of all his speeches. At this time, a victory over the rebels was at hand, slavery was dead, and Lincoln was looking to the future, Context: Lincolnâs religious skepticism was fueled by his exposure to the ideas of the Lockean Enlightenment and classical liberalism, especially economic liberalism. Guelzo pg  . 20  Consistent with the common practice of the Whig party, Lincoln would often use the Declaration of Independence as the philosophical and moral expression of these two philosophies. Guelzo pg  .194  In a February 22, 1861 speech at Independence Hall in Philadelphia Lincoln said,","358, 355, 341, 379",1776,
Did Lincoln beat John C. Breckinridge in the 1860 election?,"Yes, Lincoln did beat John C. Breckinridge in the 1860 election, receiving 1,865,908 votes to Breckinridge's 848,019. However","Context:  On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party . He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states . Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes, Context: ."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232  .  Writing of the Cooper Union  speech, Holzer notes, ""Cooper Union proved a unique confluence of political culture, rhetorical opportunity, technological innovation, and human genius, and it brought Abraham Lincoln to the center stage of American politics at precisely the right time and place, and with precisely the right message: that slavery was wrong, and ought to be confined to the areas where it already existed, and placed on the 'course of ultimate extinction  ... .'""  Lincoln won the Republican Party nomination in 1860 and was elected president later that year. During his term, he helped preserve the United States by leading the defeat of the secessionist Confederate States of America in the American Civil War . He introduced measures that resulted in the abolition of slavery, issuing his Emancipation Proclamation in 1863 and promoting the passage of the Thirteenth Amendment to the Constitution in 1865, Context:  Entering the presidential nomination process as a distinct underdog, Lincoln was eventually chosen as the Republican candidate for the 1860 election for several reasons . His expressed views on slavery were seen as more moderate than those of rivals William H. Seward and Salmon P. Chase . His ""Western"" origins also appealed to the newer states: other contenders, especially those with more governmental experience, had acquired enemies within the party and were weak in the critical western states, while Lincoln was perceived as a moderate who could win the West, Context:  The 1858 campaign featured the Lincoln-Douglas debates, a nationally famous contest on slavery . Lincoln warned that the ""Slave Power"" was threatening the values of republicanism, while Douglas emphasized the supremacy of democracy, as set forth in his Freeport Doctrine, which said that local settlers should be free to choose whether to allow slavery or not . Though the Republican legislative candidates won more popular votes, the Democrats won more seats, and the legislature reelected Douglas to the Senate. Nevertheless, Lincoln's eloquence transformed him into a national political star","319, 278, 317, 312",yes,
Was Abraham Lincoln the first President of the United States?,"No, Abraham Lincoln was the sixteenth President of the United States.","Context:  Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination . As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now ."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232, Context:  On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party . He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states . Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes, Context: For some time, Lincoln continued earlier plans to set up colonies for the newly freed slaves. He commented favorably on colonization in the Emancipation Proclamation, but all attempts at such a massive undertaking failed  . As Frederick Douglass observed, Lincoln was, ""The first great man that I talked with in the United States freely who in no single instance reminded me of the difference between himself and myself, of the difference of color ."" Life and Times of Frederick Douglass, by Frederick Douglass, 1895, Context:  Photograph showing the March 4, 1861, inauguration of Abraham Lincoln in front of United States Capitol","278, 319, 334, 322",No,
