question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,The implication of histone lysine methylation in medulloblastoma is that defective control of the histone code contributes to carcinogenesis.,"Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels, Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the, Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro., Context: concordant methylation phenotype in this disease. We conclude that epigenetic  TSG inactivation is a significant feature of medulloblastoma, and identify  RASSF1A, HIC1 and CASP8 as potentially critical genes in its pathogenesis.","23179372, 19270706, 19270706, 14688019","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
What is the role of STAG1/STAG2 proteins in differentiation?,I don't know the answer.,"Context: with inactivating alterations of STAG2., Context: and what outcome each type of regulation of Notch signaling leads to. We  highlight the role of Notch signaling in proliferation and differentiation of  neural progenitor cells., Context: remain neural progenitor cells. Thus, differentiation of neurons and maintenance  of neural progenitor cells are well balanced owing to Notch signaling. Recent  studies revealed that Notch signaling is under the control of more complex and, Context: proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers","28430577, 19783418, 19783418, 28430577",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799"
What is the association between cell phone use and glioblastoma?,No significant association was found. The results were similar for mobile and cordless phones.,"Context: results were similar for mobile and cordless phones. CONCLUSIONS: Decreased survival of glioma cases with long-term and high  cumulative use of wireless phones was found. A survival disadvantage for, Context: frequent anatomic location was the frontal lobe. 46.5% of the patients  originated from the low, 25% from the middle and 28.5% from the high  socioeconomic class. There was no significant association between glioma and, Context: and glioblastoma (GBM) at 5.73/10(5)/year and 3.69/10(5)/year, respectively. A  male to female ratio of 1.25 was obtained in the GBM group. IRs of glioma and  GBM for both males and females were higher in the age group 60-79. The most, Context: RESULTS: Regular cell phone use was not associated with an increased risk of  neuroma (OR=0,92; 95% confidence interval=[0.53-1.59]), meningioma (OR=0,74; 95%  confidence interval=[0.43-1.28]) or glioma (OR=1.15; 95% confidence","23095687, 19494549, 19494549, 17851009","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042"
What is the applicability of the No Promoter Left Behind method?,The No Promoter Left Behind (NPLB) method is applicable for library preparation methods for successful data acquisition by RNA-seq. It offers an ideal tool for plant research as many developmental processes involve cell wall-related and mechanical signaling pathways.,"Context: library preparation methods for successful data acquisition by RNA-seq. TRAP  offers an ideal tool for plant research as many developmental processes involve  cell wall-related and mechanical signaling pathways. The use of promoters to, Context: also at https://github.com/computationalBiology/NPLB/ (Mac OSX/Linux). CONTACT: l.narlikar@ncl.res.in SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online., Context: Promoters have diverse regulatory architectures and thus activate genes  differently. For example, some have a TATA-box, many others do not. Even the  ones with it can differ in its position relative to the transcription start site, Context: replication, their tight mutants are unable to enter S phase. This is the case  for dpb11-iAID and mcm10-iAID cells after the addition of tetracycline and  auxin. Both the 'Tet-OFF' promoter and the AID system have been shown to work in","32478741, 26530723, 26530723, 26081484","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723
Does the Oncotype DX test work with paraffin embedded tissues?,Yes. The context mentions that the Oncotype-DX Colon Cancer Assay is used with fixed paraffin embedded (FPE) primary colon tumor samples.,"Context: biomarker for 88.4% of the clinical samples. The success rates decreased and  tissue consumption increased with testing of additional biomarkers.  Investigational Oncomine Dx Target Tests were permitted 1 tissue slide each and, Context: associated with tumour proliferation and invasion, as well as other genes  related to HER-2/neu expression, ER expression, and progesterone receptor (PR)  expression. RESEARCH QUESTIONS: What is the laboratory performance of Oncotype-DX?How, Context: BACKGROUND: The Oncotype DX Colon Cancer Assay is a new diagnostic test for  determining the likelihood of recurrence in stage II colon cancer patients after  surgical resection using fixed paraffin embedded (FPE) primary colon tumor, Context: a moderate failure rate of Oncotype-DX testing; however, the failure rate  observed across clinical trials included in this review is likely inflated; the  current Ontario experience suggests an acceptably lower rate of test failure.In","30243889, 23074401, 21176237, 23074401","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,"Parkinson's disease.   The context mentions that Parkinson's disease (PD) and related Lewy body diseases are characterized by deposition of α-synuclein aggregates in both the central nervous system and peripheral nervous system, with Lewy bodies also occurring","Context: accompanied by subcortical multisystem degeneration with neuronal loss and  gliosis with or without Alzheimer pathologic state. Lewy bodies also occur in  numerous other disorders, including pure autonomic failure, neuroaxonal, Context: Parkinson's disease (PD) and related Lewy body diseases are characterized by  deposition of α-synuclein aggregates in both the central nervous system and  peripheral nervous system. Synucleinopathy lesions spread to larger brain areas, Context: PD, and its presence in Lewy bodies has attracted much attention as to whether  LRRK2 and α-synuclein interplay during the pathogenesis of PD. However, the  relationship between these two crucial proteins still remains unclear. In this, Context: Pathological studies have also individualized a new disorder characterized by  the presence of numerous Lewy bodies throughout the cerebral cortex and the  brainstem: Lewy body disease. The clinical syndrome associates dementia,","14502650, 24465140, 24465140, 1534893",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999"
The NoSAS Score can be used for screening of which disorders?,"Sleep Disorders (SDB), specifically Obstructive Sleep Apnea (OSA) and other sleep clinical population.","Context: is necessary to further evaluate the diagnostic value of NoSAS score., Context: Lausanne, Switzerland, who had a clinical assessment and polysomnography at  home, to build a clinical score (the NoSAS score) using multiple factor analysis  and logistic regression to identify people likely to have clinically significant, Context: sleep clinical population in Turkey. Not only in moderate to severe SDB but also  in mild SDB, the NoSAS score performed better than the other 3 screening tools., Context: OSA was 0.538 and 0.624, respectively. The sensitivity and specificity of NoSAS  combined with improved Mallampati grading for screening OSA were 0.813 and  0.710, respectively. Conclusion:As a new screening tool, NoSAS questionnaire is","29518851, 27321086, 32967411, 32842224","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086"
What species is associated with Tetrodotoxin?,Puffer fish. The context mentions that intoxications are usually linked to the consumption of the puffer fish.,"Context: Tetrodotoxin is a potent low weight marine toxin found in warm waters,  especially of the Indian and Pacific Oceans. Intoxications are usually linked to  the consumption of the puffer fish, although TTX was already detected in several, Context: was identified as Raoultella terrigena. The TTX production ability of the strain  was confirmed by mouse bioassay, ELISA and mass spectrometry (MALDI-TOF). Our  results reiterate that the TTX found in puffer fish was likely produced by the, Context: gutB01) was isolated from the intestine of the puffer fish and was shown to  produce tetrodotoxin (TTX). Based on the Microbial Identification (MIDI) and  16S-23S rDNA internal transcribed spacer (ITS) phylogenetic analysis, the strain, Context: Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An","22690139, 22163191, 22163191, 20411115","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694"
Does a selective sweep increase genetic variation?,No.   Selective sweeps are typically associated with a local reduction of genetic diversity around the adaptive site.,"Context: A selective sweep describes the reduction of linked genetic variation due to  strong positive selection. If s is the fitness advantage of a homozygote for the  beneficial allele and h its dominance coefficient, it is usually assumed that, Context: in a sweep and hitchhike with the adaptive allele. We show that the interplay  between mutation and exponential amplification through hitchhiking results in a  characteristic frequency spectrum of the resulting novel haplotype variation, Context: that depends only on the ratio of the mutation rate and the selection  coefficient of the sweep. On the basis of this result, we develop an estimator  for the selection coefficient driving a sweep. Since this estimator utilizes the, Context: Selective sweeps are typically associated with a local reduction of genetic  diversity around the adaptive site. However, selective sweeps can also quickly  carry neutral mutations to observable population frequencies if they arise early","21076829, 22491190, 22491190, 22491190","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120"
List markers for autophagy.,"p62/SQSTM1, NDP52, Atg32, Parkin, Nix/BNIP3L are some of the markers for autophagy.","Context: Radiosensitivity was analysed using colony formation assays. Western blotting  and co-immunoprecipitation were implemented to detect protein expression and  interaction. MDC staining and GFP-LC3 relocalization were used to detect  autophagy., Context: p62/SQSTM1, NDP52, Atg32, Parkin, and Nix/BNIP3L., Context: mechanism, it can mediate programmed cell death in several conditions.  Autophagy-related genes (ATGs) regulate the autophagy and also control the  crosstalk with autophagy-associated cell death and apoptosis in some condition., Context: responses to viral and bacterial infections. Some viruses encode virulence  factors for blocking autophagy, whereas others utilize some autophagy components  for their intracellular growth or cellular budding. The ""core"" autophagy-related","26269117, 20116986, 28889353, 21175768",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619"
