question,answer,contexts,contexts_ids,ground_truth,goldPassages
What is the implication of histone lysine methylation in medulloblastoma?,"According to the given context, the implication of histone lysine methylation in medulloblastoma is that it contributes to the disease's pathogenesis. Specifically, mutations in histone H3 lysine 27 (H3K27) demethylases were found in Group 3 and Group 4 medulloblastomas, suggesting a role for H3K27 methylation in these tumors."," Context: Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels ,  Context: concordant methylation phenotype in this disease. We conclude that epigenetic  TSG inactivation is a significant feature of medulloblastoma, and identify  RASSF1A, HIC1 and CASP8 as potentially critical genes in its pathogenesis. ,  Context: genetic events in genes targeting histone lysine methylation, particularly that  of histone 3, lysine 9 (H3K9). Post-translational modification of histone  proteins is critical for regulation of gene expression, can participate in ,  Context: determination of stem cell fates and has been implicated in carcinogenesis.  Consistent with our genetic data, restoration of expression of genes controlling  H3K9 methylation greatly diminishes proliferation of medulloblastoma in vitro. ,  Context: Copy number aberrations of genes with critical roles in writing, reading,  removing and blocking the state of histone lysine methylation, particularly at  H3K9, suggest that defective control of the histone code contributes to the ,  Context: critical genes in its development, we profiled the promoter methylation status  of 11 candidate tumour-suppressor genes (TSGs; p14(ARF), p15(INK4b), p16(INK4a),  CASP8, HIC1, EDNRB, TIMP3, TP73, TSLC1, RIZ1 and RASSF1A) in medulloblastoma ","23179372, 14688019, 19270706, 19270706, 19270706, 14688019","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418"
What is the role of STAG1/STAG2 proteins in differentiation?,"According to the given context, there is no mention of the role of STAG1/STAG2 proteins in differentiation. The context only discusses the inhibition of STAG1 and STAG2 genes in cancer cell lines and their synthetic lethal interaction with Notch signaling, but it does not provide information about their role in differentiation."," Context: We inhibited STAG1 and STAG2 in several cancer cell lines where the two genes  have variable mutation and copy number status. In all cases, we observed that  the simultaneous blocking of STAG1 and STAG2 significantly reduces cell ,  Context: proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers ,  Context: with inactivating alterations of STAG2. ,  Context: and what outcome each type of regulation of Notch signaling leads to. We  highlight the role of Notch signaling in proliferation and differentiation of  neural progenitor cells. ,  Context: remain neural progenitor cells. Thus, differentiation of neurons and maintenance  of neural progenitor cells are well balanced owing to Notch signaling. Recent  studies revealed that Notch signaling is under the control of more complex and ,  Context: dynamic regulation than previously thought, such as cell cycle dependent  activation and oscillating gene expression. We discuss here recent advances in  understanding how Notch signaling is regulated in the developing nervous system ","28430577, 28430577, 28430577, 19783418, 19783418, 19783418",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799"
What is the association between cell phone use and glioblastoma?,"According to the provided context, there was a survival disadvantage for glioma cases with long-term and high cumulative use of wireless phones (OR=1.15). This suggests an association between cell phone use and glioblastoma."," Context: RESULTS: Regular cell phone use was not associated with an increased risk of  neuroma (OR=0,92; 95% confidence interval=[0.53-1.59]), meningioma (OR=0,74; 95%  confidence interval=[0.43-1.28]) or glioma (OR=1.15; 95% confidence ,  Context: results were similar for mobile and cordless phones. CONCLUSIONS: Decreased survival of glioma cases with long-term and high  cumulative use of wireless phones was found. A survival disadvantage for ,  Context: higher ORs indicating that the results were unlikely to be explained by recall  or observational bias. This study confirmed previous results of an association  between mobile and cordless phone use and malignant brain tumours. These ,  Context: frequent anatomic location was the frontal lobe. 46.5% of the patients  originated from the low, 25% from the middle and 28.5% from the high  socioeconomic class. There was no significant association between glioma and ,  Context: and glioblastoma (GBM) at 5.73/10(5)/year and 3.69/10(5)/year, respectively. A  male to female ratio of 1.25 was obtained in the GBM group. IRs of glioma and  GBM for both males and females were higher in the age group 60-79. The most ,  Context: gave a hazard ratio (HR) = 1.1 (95% confidence interval, CI = 0.9-1.2), with >  10-year latency HR = 1.2 (95% CI = 1.002-1.5, p trend = 0.02). For astrocytoma  grade I-II (low-grade), the results were, HR = 0.5 (95% CI = 0.3-0.9) and for ","17851009, 23095687, 24064953, 19494549, 19494549, 23095687","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042"
What is the applicability of the No Promoter Left Behind method?,"Based on the provided context, there is no mention of the ""No Promoter Left Behind"" method. Therefore, I must say that I am uncertain about its applicability as it is not mentioned in the given context."," Context: replication, their tight mutants are unable to enter S phase. This is the case  for dpb11-iAID and mcm10-iAID cells after the addition of tetracycline and  auxin. Both the 'Tet-OFF' promoter and the AID system have been shown to work in ,  Context: library preparation methods for successful data acquisition by RNA-seq. TRAP  offers an ideal tool for plant research as many developmental processes involve  cell wall-related and mechanical signaling pathways. The use of promoters to ,  Context: Promoters have diverse regulatory architectures and thus activate genes  differently. For example, some have a TATA-box, many others do not. Even the  ones with it can differ in its position relative to the transcription start site ,  Context: Currently DNA profiling methods only compare a suspect's DNA with DNA left at  the crime scene. When there is no suspect, it would be useful for the police to  be able to predict what the person of interest looks like by analysing the DNA ,  Context: promoters. GUS was used for quantitative analysis of promoter function, whereas,  EGFP allowed visual qualitative evaluation. In addition, the GUS and EGFP genes  placed in downstream positions were modified by translational fusion with ,  Context: also at https://github.com/computationalBiology/NPLB/ (Mac OSX/Linux). CONTACT: l.narlikar@ncl.res.in SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online. ","26081484, 32478741, 26530723, 18378481, 15198202, 26530723","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723
Does the Oncotype DX test work with paraffin embedded tissues?,"According to the provided context, yes, the Oncotype DX Colon Cancer Assay works with fixed paraffin-embedded (FPE) primary colon tumor."," Context: BACKGROUND: The Oncotype DX Colon Cancer Assay is a new diagnostic test for  determining the likelihood of recurrence in stage II colon cancer patients after  surgical resection using fixed paraffin embedded (FPE) primary colon tumor ,  Context: oncotype DX and MammaPrint. Current evidence indicates that the oncotype DX test  has the advantages of earlier commercial launch, wide acceptance for payment by  third-party payors in the U.S., ease of use of formalin-fixed paraffin-embedded ,  Context: associated with tumour proliferation and invasion, as well as other genes  related to HER-2/neu expression, ER expression, and progesterone receptor (PR)  expression. RESEARCH QUESTIONS: What is the laboratory performance of Oncotype-DX?How ,  Context: a moderate failure rate of Oncotype-DX testing; however, the failure rate  observed across clinical trials included in this review is likely inflated; the  current Ontario experience suggests an acceptably lower rate of test failure.In ,  Context: biomarker for 88.4% of the clinical samples. The success rates decreased and  tissue consumption increased with testing of additional biomarkers.  Investigational Oncomine Dx Target Tests were permitted 1 tissue slide each and ,  Context: reliable is Oncotype-DX (i.e., how repeatable and reproducible is  Oncotype-DX)?How often does Oncotype-DX fail to give a useable result?What is  the prognostic value of Oncotype-DX?Is Oncotype-DX recurrence score associated ","21176237, 18515733, 23074401, 23074401, 30243889, 23074401","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,"According to the provided context, Parkinson's disease (PD) and related Lewy body diseases are characterized by the deposition of α-synuclein aggregates in both the central nervous system and peripheral nervous system. Additionally, Lewy body disease (LBD) is a disorder that associates dementia with subcortical multisystem degeneration and neuronal loss, featuring Lewy bodies throughout the cerebral cortex and brainstem."," Context: Parkinson's disease (PD) and related Lewy body diseases are characterized by  deposition of α-synuclein aggregates in both the central nervous system and  peripheral nervous system. Synucleinopathy lesions spread to larger brain areas ,  Context: Pathological studies have also individualized a new disorder characterized by  the presence of numerous Lewy bodies throughout the cerebral cortex and the  brainstem: Lewy body disease. The clinical syndrome associates dementia, ,  Context: accompanied by subcortical multisystem degeneration with neuronal loss and  gliosis with or without Alzheimer pathologic state. Lewy bodies also occur in  numerous other disorders, including pure autonomic failure, neuroaxonal ,  Context: We proposed the term 'Lewy body disease' (LBD) in 1980. Subsequently, we  classified LBD into three types according to the distribution pattern of Lewy  bodies: a brainstem type, a transitional type and a diffuse type. Later, we ,  Context: PD, and its presence in Lewy bodies has attracted much attention as to whether  LRRK2 and α-synuclein interplay during the pathogenesis of PD. However, the  relationship between these two crucial proteins still remains unclear. In this ,  Context: as the disease progresses, and prion-like cell-to-cell transmission of  aggregated α-synuclein is thought to be the underlying mechanism for this  pathological spreading. LRRK2 is another protein linked to the pathogenesis of ","24465140, 1534893, 14502650, 24597591, 24465140, 24465140",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999"
The NoSAS Score can be used for screening of which disorders?,"According to the given context, the NoSAS Score can be used for screening Obstructive Sleep Apnea Syndrome (OSAS)."," Context: CONCLUSIONS: This is the first study assessing the performance of screening  tools for OSAS in MDE. The NoSAS score is a simple and efficient screening tool  for OSAS in this population, and may be a helpful instrument for clinicians. ,  Context: OSA was 0.538 and 0.624, respectively. The sensitivity and specificity of NoSAS  combined with improved Mallampati grading for screening OSA were 0.813 and  0.710, respectively. Conclusion:As a new screening tool, NoSAS questionnaire is ,  Context: sleep clinical population in Turkey. Not only in moderate to severe SDB but also  in mild SDB, the NoSAS score performed better than the other 3 screening tools. ,  Context: Lausanne, Switzerland, who had a clinical assessment and polysomnography at  home, to build a clinical score (the NoSAS score) using multiple factor analysis  and logistic regression to identify people likely to have clinically significant ,  Context: is necessary to further evaluate the diagnostic value of NoSAS score. ,  Context: for an AHI ≥ 15 event/h, respectively. AUC percentages for the NoSAS score,  STOP-Bang questionnaire, Berlin questionnaire, and ESS were 0.740, 0.737, 0.626,  and 0.571 for an AHI ≥ 5 events/h and 0.715, 0.704, 0.574, and 0.621 for an AHI ","29055261, 32842224, 32967411, 27321086, 29518851, 32967411","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086"
What species is associated with Tetrodotoxin?,"According to the given context, pufferfish is the species associated with Tetrodotoxin (TTX)."," Context: Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An ,  Context: Tetrodotoxin (TTX) is a highly potent neurotoxin that blocks the action  potential by selectively binding to voltage-gated sodium channels (Na(v)). The  skeletal muscle Na(v) (Na(v)1.4) channels in most pufferfish species and certain ,  Context: gutB01) was isolated from the intestine of the puffer fish and was shown to  produce tetrodotoxin (TTX). Based on the Microbial Identification (MIDI) and  16S-23S rDNA internal transcribed spacer (ITS) phylogenetic analysis, the strain ,  Context: Tetrodotoxin is a potent low weight marine toxin found in warm waters,  especially of the Indian and Pacific Oceans. Intoxications are usually linked to  the consumption of the puffer fish, although TTX was already detected in several ,  Context: of 1 microM tetrodotoxin.(ABSTRACT TRUNCATED AT 250 WORDS) ,  Context: was identified as Raoultella terrigena. The TTX production ability of the strain  was confirmed by mouse bioassay, ELISA and mass spectrometry (MALDI-TOF). Our  results reiterate that the TTX found in puffer fish was likely produced by the ","20411115, 21734837, 22163191, 22690139, 8026537, 22163191","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694"
Does a selective sweep increase genetic variation?,"According to the given context, a selective sweep typically reduces linked genetic variation due to strong positive selection. Therefore, based on the provided information, a selective sweep does not increase genetic variation."," Context: A selective sweep describes the reduction of linked genetic variation due to  strong positive selection. If s is the fitness advantage of a homozygote for the  beneficial allele and h its dominance coefficient, it is usually assumed that ,  Context: Selective sweeps are typically associated with a local reduction of genetic  diversity around the adaptive site. However, selective sweeps can also quickly  carry neutral mutations to observable population frequencies if they arise early ,  Context: novel variation arising from mutations during a sweep, it does not rely on  preexisting variation and can also be applied to loci that lack recombination.  Compared with standard approaches that infer selection coefficients from the ,  Context: in a sweep and hitchhike with the adaptive allele. We show that the interplay  between mutation and exponential amplification through hitchhiking results in a  characteristic frequency spectrum of the resulting novel haplotype variation ,  Context: that depends only on the ratio of the mutation rate and the selection  coefficient of the sweep. On the basis of this result, we develop an estimator  for the selection coefficient driving a sweep. Since this estimator utilizes the ,  Context: Positive selection occurs when an allele is favored by natural selection. The  frequency of the favored allele increases in the population and due to genetic  hitchhiking the neighboring linked variation diminishes, creating so-called ","21076829, 22491190, 22491190, 22491190, 22491190, 28405579","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120"
List markers for autophagy.,"Based on the provided context, markers for autophagy mentioned include:  * GFP-LC3 (Green Fluorescent Protein-LC3) * GFP-Atg5 (Green Fluorescent Protein-Atg5)  These markers are used to detect and monitor autophagy in cells."," Context: Various methods have been used to detect the marker genes and the proteins  involved in these processes. Quantitative real-time PCR (qRT-PCR) method for  monitoring the expression of genes involved in autophagy or autophagic cell ,  Context: monitoring autophagy, including the use of GFP-LC3 and GFP-Atg5, are discussed. ,  Context: Radiosensitivity was analysed using colony formation assays. Western blotting  and co-immunoprecipitation were implemented to detect protein expression and  interaction. MDC staining and GFP-LC3 relocalization were used to detect  autophagy. ,  Context: responses to viral and bacterial infections. Some viruses encode virulence  factors for blocking autophagy, whereas others utilize some autophagy components  for their intracellular growth or cellular budding. The ""core"" autophagy-related ,  Context: mechanism, it can mediate programmed cell death in several conditions.  Autophagy-related genes (ATGs) regulate the autophagy and also control the  crosstalk with autophagy-associated cell death and apoptosis in some condition. ,  Context: p62/SQSTM1, NDP52, Atg32, Parkin, and Nix/BNIP3L. ","28889353, 21175768, 26269117, 21175768, 28889353, 20116986",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619"
